dtype,batch,seq,heads,dim,rows,method,group,order,repeats,kernel_us,logical_io_bytes,logical_GBs,input_working_set_bytes,seed,input_read_only,scale,block_dim,warmup,timer,vector_scale_enabled,kernel_ms
fp16,1,16384,1,128,16384,scalar_transform,0,0,5,7796.29592896,8388608,1.07597352338,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,7.79629592896
fp16,1,16384,1,128,16384,vector_transform,0,1,5,2165.8039093,8388608,3.87320752538,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,2.1658039093
fp16,1,16384,1,128,16384,scalar_split,0,2,5,11152.7877808,13697024,1.22812558342,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,11.1527877808
fp16,1,16384,1,128,16384,vector_split,0,3,5,5520.81604004,13697024,2.48097815625,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,5.52081604004
fp16,1,16384,1,128,16384,scalar_fused,0,4,5,10519.8036194,5308416,0.504611701137,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,10.5198036194
fp16,1,16384,1,128,16384,vector_fused,0,5,5,5253.77998352,5308416,1.01039937277,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,5.25377998352
fp16,1,16384,1,128,16384,quant_only,0,6,5,3357.26394653,5308416,1.58117326625,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,3.35726394653
fp16,1,16384,1,128,16384,vector_transform,1,0,5,2164.220047,8388608,3.87604209269,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,2.164220047
fp16,1,16384,1,128,16384,scalar_split,1,1,5,11152.3880005,13697024,1.22816960811,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,11.1523880005
fp16,1,16384,1,128,16384,vector_split,1,2,5,5527.95982361,13697024,2.47777198769,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,5.52795982361
fp16,1,16384,1,128,16384,scalar_fused,1,3,5,10520.9960938,5308416,0.504554507263,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,10.5209960938
fp16,1,16384,1,128,16384,vector_fused,1,4,5,5254.4921875,5308416,1.01026242129,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,5.2544921875
fp16,1,16384,1,128,16384,quant_only,1,5,5,3356.60018921,5308416,1.58148593838,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,3.35660018921
fp16,1,16384,1,128,16384,scalar_transform,1,6,5,7795.07980347,8388608,1.07614138809,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,7.79507980347
fp16,1,16384,1,128,16384,scalar_split,2,0,5,11153.7162781,13697024,1.22802334742,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,11.1537162781
fp16,1,16384,1,128,16384,vector_split,2,1,5,5520.99609375,13697024,2.48089724525,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,5.52099609375
fp16,1,16384,1,128,16384,scalar_fused,2,2,5,10519.2436218,5308416,0.50463856441,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,10.5192436218
fp16,1,16384,1,128,16384,vector_fused,2,3,5,5255.22384644,5308416,1.01012176743,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,5.25522384644
fp16,1,16384,1,128,16384,quant_only,2,4,5,3357.26394653,5308416,1.58117326625,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,3.35726394653
fp16,1,16384,1,128,16384,scalar_transform,2,5,5,7796.14028931,8388608,1.07599500377,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,7.79614028931
fp16,1,16384,1,128,16384,vector_transform,2,6,5,2165.74802399,8388608,3.87330747026,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,2.16574802399
fp16,1,16384,1,128,16384,vector_split,3,0,5,5522.21984863,13697024,2.48034746451,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,5.52221984863
fp16,1,16384,1,128,16384,scalar_fused,3,1,5,10518.7477112,5308416,0.504662355801,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,10.5187477112
fp16,1,16384,1,128,16384,vector_fused,3,2,5,5254.57992554,5308416,1.01024555249,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,5.25457992554
fp16,1,16384,1,128,16384,quant_only,3,3,5,3356.42814636,5308416,1.58156700174,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,3.35642814636
fp16,1,16384,1,128,16384,scalar_transform,3,4,5,7795.14007568,8388608,1.07613306734,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,7.79514007568
fp16,1,16384,1,128,16384,vector_transform,3,5,5,2166.64791107,8388608,3.87169874585,4194304,2909,true,1,32,3,acl_timeline_event_ms,false,2.16664791107
