dim,rows,mode,dtype,round,method,median_ms
1,1,hadamard_int4,fp16,2,original_pos3,0.0067144655
1,1,hadamard_int4,fp16,2,original_pos_full,0.0067078115
1,1,hadamard_int4,fp16,2,auto_pos_full,0.0067211729999999996
1,1,hadamard_int4,fp16,2,packed_pos_full,0.0066902065
1,1,hadamard_int4,fp16,2,original_kwrow,0.0071840975
1,1,hadamard_int4,fp16,2,auto_kwrow,0.007220025
1,1,hadamard_int4,fp16,2,packed_kwrow,0.0071720905000000005
16,65,hadamard_int4,fp16,2,original_pos3,0.0064497085
16,65,hadamard_int4,fp16,2,original_pos_full,0.0064293395
16,65,hadamard_int4,fp16,2,auto_pos_full,0.0065436445
16,65,hadamard_int4,fp16,2,packed_pos_full,0.0064854134999999995
16,65,hadamard_int4,fp16,2,original_kwrow,0.006982903
16,65,hadamard_int4,fp16,2,auto_kwrow,0.007043475499999999
16,65,hadamard_int4,fp16,2,packed_kwrow,0.0069614939999999995
2,4096,hadamard,fp16,2,original_pos3,0.0051689414999999996
2,4096,hadamard,fp16,2,original_pos_full,0.0051755685
2,4096,hadamard,fp16,2,auto_pos_full,0.0052245495
2,4096,hadamard,fp16,2,packed_pos_full,0.005138501
2,4096,hadamard,fp16,2,original_kwrow,0.005641421000000001
2,4096,hadamard,fp16,2,auto_kwrow,0.005687345999999999
2,4096,hadamard,fp16,2,packed_kwrow,0.005666885
8,4096,hadamard_int4,fp16,2,original_pos3,0.006886117
8,4096,hadamard_int4,fp16,2,original_pos_full,0.006887243
8,4096,hadamard_int4,fp16,2,auto_pos_full,0.0069211215
8,4096,hadamard_int4,fp16,2,packed_pos_full,0.0068928725
8,4096,hadamard_int4,fp16,2,original_kwrow,0.0074763305
8,4096,hadamard_int4,fp16,2,auto_kwrow,0.0075493395
8,4096,hadamard_int4,fp16,2,packed_kwrow,0.0075074245
16,65,hadamard_int4,bf16,2,original_pos3,0.0069094875
16,65,hadamard_int4,bf16,2,original_pos_full,0.0068973310000000005
16,65,hadamard_int4,bf16,2,auto_pos_full,0.006891727
16,65,hadamard_int4,bf16,2,packed_pos_full,0.00695569
16,65,hadamard_int4,bf16,2,original_kwrow,0.0073968875
16,65,hadamard_int4,bf16,2,auto_kwrow,0.007441817
16,65,hadamard_int4,bf16,2,packed_kwrow,0.007406595
16,4096,hadamard,bf16,2,original_pos3,0.0053487075
16,4096,hadamard,bf16,2,original_pos_full,0.005444627499999999
16,4096,hadamard,bf16,2,auto_pos_full,0.0054436675
16,4096,hadamard,bf16,2,packed_pos_full,0.005365354500000001
16,4096,hadamard,bf16,2,original_kwrow,0.0058008575
16,4096,hadamard,bf16,2,auto_kwrow,0.005882531
16,4096,hadamard,bf16,2,packed_kwrow,0.00588025
4,17,hadamard_int4,fp16,2,original_pos3,0.006837768
4,17,hadamard_int4,fp16,2,original_pos_full,0.006857999
4,17,hadamard_int4,fp16,2,auto_pos_full,0.006942399
4,17,hadamard_int4,fp16,2,packed_pos_full,0.006863722
4,17,hadamard_int4,fp16,2,original_kwrow,0.007376557
4,17,hadamard_int4,fp16,2,auto_kwrow,0.007349913
4,17,hadamard_int4,fp16,2,packed_kwrow,0.0073637764999999996
2,4096,hadamard,bf16,2,original_pos3,0.0053715095
2,4096,hadamard,bf16,2,original_pos_full,0.0053692955
2,4096,hadamard,bf16,2,auto_pos_full,0.005412401
2,4096,hadamard,bf16,2,packed_pos_full,0.0054353945
2,4096,hadamard,bf16,2,original_kwrow,0.0058361325
2,4096,hadamard,bf16,2,auto_kwrow,0.0058559485
2,4096,hadamard,bf16,2,packed_kwrow,0.0059367725
16,4096,hadamard,fp16,2,original_pos3,0.005376578999999999
16,4096,hadamard,fp16,2,original_pos_full,0.0053891905
16,4096,hadamard,fp16,2,auto_pos_full,0.005440279
16,4096,hadamard,fp16,2,packed_pos_full,0.005316602
16,4096,hadamard,fp16,2,original_kwrow,0.005842236
16,4096,hadamard,fp16,2,auto_kwrow,0.0058511735
16,4096,hadamard,fp16,2,packed_kwrow,0.00587001
1,1,hadamard_int4,bf16,2,original_pos3,0.0068327985
1,1,hadamard_int4,bf16,2,original_pos_full,0.006885748499999999
1,1,hadamard_int4,bf16,2,auto_pos_full,0.0068774955
