dim,rows,mode,dtype,scale,activated,round,original128_ms,original256_ms,auto_ms,baseline_ms,reduction_percent
1,4097,hadamard,fp16,1.0,True,1,0.0023336000740528107,0.001974399946630001,0.0015216000378131867,0.001974399946630001,22.933545434382463
16,4096,hadamard,bf16,1.0,True,1,0.0024095999076962473,0.002070399932563305,0.0018448000773787498,0.002070399932563305,10.8964384917288
4,15,hadamard_int4,fp16,1.0,False,1,0.0019447999075055122,0.0019503999501466751,0.001945599913597107,0.0019447999075055122,-0.04113565043413203
2,257,hadamard,fp16,1.0,True,1,0.0016039999201893807,0.0015607999637722969,0.0014543999917805196,0.0015607999637722969,6.8170152781538595
4,4097,hadamard,fp16,1.0,True,1,0.002343199960887432,0.001992800086736679,0.0016127999871969223,0.001992800086736679,19.06865129467292
8,4096,hadamard,bf16,1.0,True,1,0.0023792000487446786,0.0020360000431537627,0.0017759999260306357,0.0020360000431537627,12.770143006499502
2,16384,hadamard_int4,fp16,1.0,True,1,0.0064191997051239015,0.005914400145411491,0.002035200037062168,0.005914400145411491,65.58907096197885
2,2,hadamard_int4,fp16,1.0,True,1,0.001899999938905239,0.001889600045979023,0.0017696000635623933,0.001889600045979023,6.350549295973185
1,4096,hadamard,bf16,1.0,True,1,0.0023344000801444054,0.001973599940538406,0.001524799969047308,0.001973599940538406,22.74016948787827
1,2,hadamard_int4,fp16,1.0,True,1,0.001841600053012371,0.0018352000042796135,0.0017192000523209572,0.0018352000042796135,6.320834333486758
2,1,hadamard_int4,fp16,1.0,True,1,0.0018936000764369965,0.0018831999972462655,0.0017656000331044198,0.0018831999972462655,6.244687994573484
2,256,hadamard,fp16,1.0,True,1,0.0015984000638127327,0.0015599999576807022,0.0014456000179052352,0.0015599999576807022,7.33332967172311
2,4096,hadamard_int4,fp16,1.0,True,1,0.0031120000407099725,0.0029112000018358232,0.0018648000434041024,0.0029112000018358232,35.94393919249291
1,4096,hadamard,fp16,1.0,True,1,0.002339999936521053,0.0019783999770879744,0.001512799970805645,0.0019783999770879744,23.53416961557241
8,65,hadamard_int4,bf16,1.0,True,1,0.002043999917805195,0.002029599994421005,0.0019071999937295913,0.002029599994421005,6.030745025023099
4,17,hadamard_int4,bf16,1.0,True,1,0.0019392000511288642,0.001942400075495243,0.0018128000199794769,0.0019392000511288642,6.5181532496250805
32,17,hadamard,bf16,1.0,False,1,0.0015576000325381756,0.0015344000421464443,0.001556800026446581,0.0015576000325381756,0.05136145832579375
8,4095,hadamard,bf16,1.0,False,1,0.0023816000670194627,0.0020336000248789786,0.0023792000487446786,0.0023816000670194627,0.10077335435195733
4,4096,hadamard,bf16,1.0,True,1,0.002343199960887432,0.0019967999309301377,0.0016256000846624375,0.0019967999309301377,18.589736533834422
1,4096,hadamard_int4,bf16,1.0,True,1,0.002961600013077259,0.0027607999742031097,0.0016736000776290893,0.0027607999742031097,39.379886508722336
16,4096,hadamard,fp16,1.0,True,1,0.0024111999198794367,0.0020616000518202783,0.0018424000591039658,0.0020616000518202783,10.632517811724496
16,16384,hadamard,bf16,1.0,True,1,0.004788799956440925,0.0035447999835014343,0.00253519993275404,0.0035447999835014343,28.481157059534446
16,4096,hadamard_int4,fp16,1.0,False,1,0.003180000185966492,0.0029103999957442285,0.0031784001737833025,0.003180000185966492,0.05031484558555288
8,4096,hadamard_int4,fp16,1.0,True,1,0.003123999945819378,0.002881599962711334,0.0020136000588536263,0.002881599962711334,30.12215141205776
16,4096,hadamard_int4,bf16,1.0,False,1,0.0031968001276254654,0.0029279999434947968,0.003200000151991844,0.0031968001276254654,-0.10010085831533289
2,16384,hadamard_int4,bf16,1.0,True,1,0.00642080008983612,0.006029599905014038,0.002048799954354763,0.006029599905014038,66.02096346971477
16,65,hadamard_int4,fp16,1.0,False,1,0.0020503999665379526,0.002022399939596653,0.002049599960446358,0.0020503999665379526,0.039017074943947794
64,65,hadamard_int4,fp16,1.0,False,1,0.0019656000658869743,0.0019592000171542168,0.0019656000658869743,0.0019656000658869743,0.0
1,1,hadamard_int4,fp16,1.0,True,1,0.001907999999821186,0.0018983999267220496,0.001785599999129772,0.0018983999267220496,5.941842180064139
1,4095,hadamard,fp16,1.0,False,1,0.0023360000923275948,0.0019727999344468115,0.0023336000740528107,0.0023360000923275948,0.10274050427766523
4,17,hadamard_int4,fp16,1.0,True,1,0.0019416000694036483,0.0019432000815868377,0.0018120000138878822,0.0019416000694036483,6.674909913634897
16,4097,hadamard,fp16,1.0,True,1,0.002412799932062626,0.0020632000640034677,0.0018408000469207764,0.0020632000640034677,10.779372343132954
1,16384,hadamard_int4,fp16,1.0,True,1,0.005901600047945976,0.00554639995098114,0.0017440000548958779,0.00554639995098114,68.55617931794893
256,17,hadamard,fp16,1.0,False,1,0.0017551999539136887,0.0019648000597953796,0.0017575999721884728,0.0017551999539136887,-0.1367375990087405
8,16384,hadamard_int4,fp16,1.0,True,1,0.006344799697399139,0.006140799820423126,0.002423200011253357,0.006140799820423126,60.53934207081206
256,17,hadamard,bf16,1.0,False,1,0.0017551999539136887,0.001966400071978569,0.001754399947822094,0.0017551999539136887,0.045579199669576465
4,4096,hadamard,fp16,1.0,True,1,0.0023383999243378637,0.0019896000623703,0.001621600054204464,0.0019896000623703,18.496179967315708
64,65,hadamard_int4,bf16,1.0,False,1,0.0019592000171542168,0.0019511999562382698,0.0019600000232458115,0.0019592000171542168,-0.04083330362341098
8,16384,hadamard,fp16,1.0,True,1,0.00472560003399849,0.003413600102066994,0.002029599994421005,0.003413600102066994,40.54370946403337
1,16384,hadamard_int4,bf16,1.0,True,1,0.005883999913930893,0.00554560013115406,0.001746400073170662,0.00554560013115406,68.50836641899693
8,4095,hadamard,fp16,1.0,False,1,0.0023760000243783,0.002024799957871437,0.0023760000243783,0.0023760000243783,0.0
4,4095,hadamard,bf16,1.0,False,1,0.0023423999547958372,0.0019943999126553536,0.002339999936521053,0.0023423999547958372,0.10245979854424103
2,257,hadamard,bf16,1.0,True,1,0.0015984000638127327,0.0015607999637722969,0.0014472000300884246,0.0015607999637722969,7.278314730948132
2,4096,hadamard,bf16,1.0,True,1,0.0023336000740528107,0.0019943999126553536,0.001556800026446581,0.0019943999126553536,21.941431276245392
16,65,hadamard_int4,bf16,1.0,False,1,0.002040800079703331,0.002012000046670437,0.0020392000675201415,0.002040800079703331,0.07840122112411363
16,4097,hadamard,bf16,1.0,True,1,0.002406400069594383,0.002075199969112873,0.0018440000712871552,0.002075199969112873,11.141090076468796
2,255,hadamard,fp16,1.0,False,1,0.0016047999262809754,0.0015615999698638916,0.001603199914097786,0.0016047999262809754,0.09970166105984779
8,65,hadamard_int4,fp16,1.0,True,1,0.002016800083220005,0.002008800022304058,0.0018559999763965607,0.002008800022304058,7.606533463308029
8,4096,hadamard_int4,bf16,1.0,True,1,0.0031376000493764876,0.0028984000906348228,0.0020176000893116,0.0028984000906348228,30.389179332736827
8,16384,hadamard,bf16,1.0,True,1,0.004707999899983406,0.00339680016040802,0.002024799957871437,0.00339680016040802,40.390960249241736
8,64,hadamard_int4,fp16,1.0,True,1,0.0020152000710368157,0.0020152000710368157,0.0016936000436544418,0.0020152000710368157,15.958714571546807
4,4096,hadamard_int4,fp16,1.0,True,1,0.0030616000294685364,0.0028543999418616296,0.0019527999684214592,0.0028543999418616296,31.586322582817527
4,4097,hadamard,bf16,1.0,True,1,0.002343199960887432,0.0019943999126553536,0.0016248000785708428,0.0019943999126553536,18.531881782547
32,17,hadamard,fp16,1.0,False,1,0.001563199982047081,0.0015359999611973762,0.0015623999759554863,0.001563199982047081,0.05117746294668324
4,4095,hadamard,fp16,1.0,False,1,0.002339999936521053,0.001990400068461895,0.002340799942612648,0.002339999936521053,-0.03418829544004076
16,4095,hadamard,fp16,1.0,False,1,0.0024143999442458155,0.002065600082278252,0.0024143999442458155,0.0024143999442458155,0.0
4,16,hadamard_int4,bf16,1.0,True,1,0.001945599913597107,0.0019471999257802963,0.0016400000080466271,0.001945599913597107,15.70723268513483
1,4096,hadamard_int4,fp16,1.0,True,1,0.002969600073993206,0.002756799943745136,0.0016704000532627105,0.002756799943745136,39.40800611764893
2,256,hadamard,bf16,1.0,True,1,0.0016039999201893807,0.001565600000321865,0.0014480000361800193,0.001565600000321865,7.511494897653859
4,16384,hadamard,bf16,1.0,True,1,0.004688800126314163,0.003319999948143959,0.0017999999225139617,0.003319999948143959,45.78313401720837
4,15,hadamard_int4,bf16,1.0,False,1,0.0019447999075055122,0.001947999931871891,0.001942400075495243,0.0019447999075055122,0.12339737373534554
8,64,hadamard_int4,bf16,1.0,True,1,0.002014400064945221,0.0020104000344872476,0.0016912000253796577,0.0020104000344872476,15.87743750656081
2,4096,hadamard_int4,bf16,1.0,True,1,0.0031328000128269195,0.002900799922645092,0.001902399957180023,0.002900799922645092,34.41809128823606
4,16384,hadamard,fp16,1.0,True,1,0.0046847999095916745,0.003306400030851364,0.0017976000905036925,0.003306400030851364,45.63271008557216
1,1,hadamard_int4,bf16,1.0,True,1,0.001847199909389019,0.0018368000164628029,0.0017263999208807946,0.0018368000164628029,6.010458111526484
2,255,hadamard,bf16,1.0,False,1,0.0016047999262809754,0.0015599999576807022,0.001603199914097786,0.0016047999262809754,0.09970166105984779
8,16384,hadamard_int4,bf16,1.0,True,1,0.006398399919271469,0.006145599856972694,0.0025335999205708505,0.006145599856972694,58.773757167149924
8,63,hadamard_int4,bf16,1.0,False,1,0.002016800083220005,0.0020136000588536263,0.002016800083220005,0.002016800083220005,0.0
1,4095,hadamard,bf16,1.0,False,1,0.0023367999121546744,0.0019807999953627585,0.0023383999243378637,0.0023367999121546744,-0.0684702260928205
8,63,hadamard_int4,fp16,1.0,False,1,0.0020112000405788422,0.0020072000101208688,0.0020128000527620316,0.0020112000405788422,-0.0795550989910021
2,16384,hadamard,fp16,1.0,True,1,0.004679200053215027,0.003296000137925148,0.0017327999696135521,0.003296000137925148,47.42718758791193
2,16384,hadamard,bf16,1.0,True,1,0.004680800065398216,0.00331679992377758,0.0017456000670790673,0.00331679992377758,47.37095672955266
8,4097,hadamard,bf16,1.0,True,1,0.002375200018286705,0.002035200037062168,0.001770400069653988,0.002035200037062168,13.011004450964025
1,16384,hadamard,bf16,1.0,True,1,0.0046408001333475115,0.0032311998307704925,0.0015944000333547592,0.0032311998307704925,50.65609937920279
8,4097,hadamard,fp16,1.0,True,1,0.0023792000487446786,0.0020304000005126,0.0017656000331044198,0.0020304000005126,13.041763560940122
4,16384,hadamard_int4,fp16,1.0,True,1,0.006308799982070923,0.006042400002479553,0.002078399993479252,0.006042400002479553,65.60307174919963
2,2,hadamard_int4,bf16,1.0,True,1,0.0019112000241875648,0.001899999938905239,0.0017783999443054198,0.001899999938905239,6.39999992157283
4,16,hadamard_int4,fp16,1.0,True,1,0.0019408000633120536,0.0019432000815868377,0.001635199971497059,0.0019408000633120536,15.746088306153283
