dim,rows,mode,dtype,round,comparison,baseline_ms,candidate_ms,reduction_percent
8,4096,hadamard_int4,fp16,2,auto_vs_original_positional,0.0073981459999999995,0.0074566515,-0.7908129955802368
8,4096,hadamard_int4,fp16,2,auto_positional_vs_legacy,0.007357423,0.0074566515,-1.348685538401151
16,65,hadamard_int4,bf16,2,remove_keyword_auto,0.008127884,0.0073333800000000005,9.775041080802826
16,65,hadamard_int4,bf16,2,auto_vs_original_positional,0.007279912,0.0073333800000000005,-0.7344594275315419
16,65,hadamard_int4,bf16,2,auto_positional_vs_legacy,0.0072631545,0.0073333800000000005,-0.9668732779951394
16,4096,hadamard,bf16,2,remove_keyword_auto,0.0064264685,0.005809684,9.597565132389585
16,4096,hadamard,bf16,2,auto_vs_original_positional,0.00575163,0.005809684,-1.009348654207587
16,4096,hadamard,bf16,2,auto_positional_vs_legacy,0.0057644865,0.005809684,-0.7840681038978836
4,17,hadamard_int4,fp16,2,remove_keyword_auto,0.0081404165,0.0073515085,9.691248598889269
4,17,hadamard_int4,fp16,2,auto_vs_original_positional,0.007327165,0.0073515085,-0.3322362741933649
4,17,hadamard_int4,fp16,2,auto_positional_vs_legacy,0.0073234549999999995,0.0073515085,-0.38306373153109696
2,4096,hadamard,bf16,2,remove_keyword_auto,0.0064291425,0.005771322,10.231854403600494
2,4096,hadamard,bf16,2,auto_vs_original_positional,0.0057232674999999995,0.005771322,-0.8396340027790217
2,4096,hadamard,bf16,2,auto_positional_vs_legacy,0.0057293890000000005,0.005771322,-0.73189305177217
16,4096,hadamard,fp16,2,remove_keyword_auto,0.0065167160000000005,0.0058536615,10.174672334961354
16,4096,hadamard,fp16,2,auto_vs_original_positional,0.005771943,0.0058536615,-1.4157884095528983
16,4096,hadamard,fp16,2,auto_positional_vs_legacy,0.0058003305,0.0058536615,-0.9194476073389302
1,1,hadamard_int4,bf16,2,remove_keyword_auto,0.0080735965,0.0072500595,10.200373526222172
1,1,hadamard_int4,bf16,2,auto_vs_original_positional,0.00724545,0.0072500595,-0.06361923690041404
1,1,hadamard_int4,bf16,2,auto_positional_vs_legacy,0.0072286040000000005,0.0072500595,-0.29681387996907116
2,4096,hadamard,bf16,3,remove_keyword_auto,0.0072606745,0.0066448365,8.481829064228119
2,4096,hadamard,bf16,3,auto_vs_original_positional,0.0065239425,0.0066448365,-1.8530819362678308
2,4096,hadamard,bf16,3,auto_positional_vs_legacy,0.0065914895,0.0066448365,-0.8093314872154478
4,17,hadamard_int4,fp16,3,remove_keyword_auto,0.0089275765,0.008177839,8.397995805468595
4,17,hadamard_int4,fp16,3,auto_vs_original_positional,0.0080788785,0.008177839,-1.224928682861126
4,17,hadamard_int4,fp16,3,auto_positional_vs_legacy,0.0081450675,0.008177839,-0.4023478012920023
16,65,hadamard_int4,fp16,3,remove_keyword_auto,0.0089175235,0.008318457500000001,6.717851654666218
16,65,hadamard_int4,fp16,3,auto_vs_original_positional,0.008722780000000001,0.008318457500000001,4.6352481662956135
16,65,hadamard_int4,fp16,3,auto_positional_vs_legacy,0.008067492,0.008318457500000001,-3.110824280953728
4,17,hadamard_int4,bf16,3,remove_keyword_auto,0.008781770000000001,0.0082596515,5.945481377899919
4,17,hadamard_int4,bf16,3,auto_vs_original_positional,0.007980658,0.0082596515,-3.4958708918487735
4,17,hadamard_int4,bf16,3,auto_positional_vs_legacy,0.007983954,0.0082596515,-3.453144895373894
16,4096,hadamard,fp16,3,remove_keyword_auto,0.0074991104999999995,0.006707727,10.553031589546514
16,4096,hadamard,fp16,3,auto_vs_original_positional,0.0066144030000000005,0.006707727,-1.4109209856127514
16,4096,hadamard,fp16,3,auto_positional_vs_legacy,0.006638743000000001,0.006707727,-1.0391123741346764
8,4096,hadamard_int4,fp16,3,remove_keyword_auto,0.0089330265,0.0083351445,6.6929388376940295
