dim,rows,mode,dtype,round,comparison,baseline_ms,candidate_ms,reduction_percent
4,17,hadamard_int4,fp16,1,packed_vs_original_positional,0.006587971,0.0065921719999999994,-0.06376773668250735
2,4096,hadamard,bf16,1,auto_vs_original_positional,0.0052156525,0.0052524875,-0.7062395357052553
2,4096,hadamard,bf16,1,auto_vs_original_keyword,0.00574887,0.005817078999999999,-1.186476646714918
2,4096,hadamard,bf16,1,remove_keyword_auto,0.005817078999999999,0.0052524875,9.705756101988639
2,4096,hadamard,bf16,1,original_keyword_vs_legacy,0.005233498499999999,0.00574887,-9.847552263557557
2,4096,hadamard,bf16,1,auto_positional_vs_legacy,0.005233498499999999,0.0052524875,-0.3628356824789458
2,4096,hadamard,bf16,1,packed_vs_original_positional,0.0052156525,0.005257332500000001,-0.799132994385654
1,1,hadamard_int4,bf16,1,auto_vs_original_positional,0.0065868965,0.006543529,0.658390487842031
1,1,hadamard_int4,bf16,1,auto_vs_original_keyword,0.007074598,0.007153947,-1.121604365364659
1,1,hadamard_int4,bf16,1,remove_keyword_auto,0.007153947,0.006543529,8.532604448984593
1,1,hadamard_int4,bf16,1,original_keyword_vs_legacy,0.0065643195,0.007074598,-7.773517117806339
1,1,hadamard_int4,bf16,1,auto_positional_vs_legacy,0.0065643195,0.006543529,0.3167198062190568
1,1,hadamard_int4,bf16,1,packed_vs_original_positional,0.0065868965,0.0065964215000000005,-0.1446052780698981
8,4096,hadamard_int4,bf16,2,auto_vs_original_positional,0.0065645389999999994,0.006570125,-0.08509356102537335
8,4096,hadamard_int4,bf16,2,auto_vs_original_keyword,0.007083376000000001,0.007129111,-0.6456666990429349
8,4096,hadamard_int4,bf16,2,remove_keyword_auto,0.007129111,0.006570125,7.840893485877832
8,4096,hadamard_int4,bf16,2,original_keyword_vs_legacy,0.0065744645,0.007083376000000001,-7.740729301983462
8,4096,hadamard_int4,bf16,2,auto_positional_vs_legacy,0.0065744645,0.006570125,0.06600537579906085
8,4096,hadamard_int4,bf16,2,packed_vs_original_positional,0.0065645389999999994,0.0065462435,0.2787019773970334
4,17,hadamard_int4,bf16,2,auto_vs_original_positional,0.0066121015,0.0066578525,-0.6919282772655633
4,17,hadamard_int4,bf16,2,auto_vs_original_keyword,0.0070852465000000005,0.007132478,-0.6666175975669875
4,17,hadamard_int4,bf16,2,remove_keyword_auto,0.007132478,0.0066578525,6.654426413933557
4,17,hadamard_int4,bf16,2,original_keyword_vs_legacy,0.0065653694999999995,0.0070852465000000005,-7.918472829290124
4,17,hadamard_int4,bf16,2,auto_positional_vs_legacy,0.0065653694999999995,0.0066578525,-1.4086488201463965
4,17,hadamard_int4,bf16,2,packed_vs_original_positional,0.0066121015,0.0065814345,0.4638011077113702
1,1,hadamard_int4,fp16,2,auto_vs_original_positional,0.0067078115,0.0067211729999999996,-0.19919313475043054
1,1,hadamard_int4,fp16,2,auto_vs_original_keyword,0.0071840975,0.007220025,-0.500097611425776
1,1,hadamard_int4,fp16,2,remove_keyword_auto,0.007220025,0.0067211729999999996,6.909283555112344
1,1,hadamard_int4,fp16,2,original_keyword_vs_legacy,0.0067144655,0.0071840975,-6.994331864539327
1,1,hadamard_int4,fp16,2,auto_positional_vs_legacy,0.0067144655,0.0067211729999999996,-0.09989626128841245
1,1,hadamard_int4,fp16,2,packed_vs_original_positional,0.0067078115,0.0066902065,0.26245519868886014
16,65,hadamard_int4,fp16,2,auto_vs_original_positional,0.0064293395,0.0065436445,-1.7778653623750973
16,65,hadamard_int4,fp16,2,auto_vs_original_keyword,0.006982903,0.007043475499999999,-0.8674400890288592
16,65,hadamard_int4,fp16,2,remove_keyword_auto,0.007043475499999999,0.0065436445,7.096368830984067
16,65,hadamard_int4,fp16,2,original_keyword_vs_legacy,0.0064497085,0.006982903,-8.266955010447386
16,65,hadamard_int4,fp16,2,auto_positional_vs_legacy,0.0064497085,0.0065436445,-1.4564379149848428
16,65,hadamard_int4,fp16,2,packed_vs_original_positional,0.0064293395,0.0064854134999999995,-0.8721580187202704
2,4096,hadamard,fp16,2,auto_vs_original_positional,0.0051755685,0.0052245495,-0.9463887880142963
2,4096,hadamard,fp16,2,auto_vs_original_keyword,0.005641421000000001,0.005687345999999999,-0.8140679449379684
2,4096,hadamard,fp16,2,remove_keyword_auto,0.005687345999999999,0.0052245495,8.137301651772189
2,4096,hadamard,fp16,2,original_keyword_vs_legacy,0.0051689414999999996,0.005641421000000001,-9.14073993679365
2,4096,hadamard,fp16,2,auto_positional_vs_legacy,0.0051689414999999996,0.0052245495,-1.0758102021468208
2,4096,hadamard,fp16,2,packed_vs_original_positional,0.0051755685,0.005138501,0.7162015148673984
8,4096,hadamard_int4,fp16,2,auto_vs_original_positional,0.006887243,0.0069211215,-0.4919022023761821
8,4096,hadamard_int4,fp16,2,auto_vs_original_keyword,0.0074763305,0.0075493395,-0.9765352133643601
8,4096,hadamard_int4,fp16,2,remove_keyword_auto,0.0075493395,0.0069211215,8.32149620506536
8,4096,hadamard_int4,fp16,2,original_keyword_vs_legacy,0.006886117,0.0074763305,-8.57106406992505
8,4096,hadamard_int4,fp16,2,auto_positional_vs_legacy,0.006886117,0.0069211215,-0.5083343777051885
8,4096,hadamard_int4,fp16,2,packed_vs_original_positional,0.006887243,0.0068928725,-0.08173807719575876
16,65,hadamard_int4,bf16,2,auto_vs_original_positional,0.0068973310000000005,0.006891727,0.08124881928966987
16,65,hadamard_int4,bf16,2,auto_vs_original_keyword,0.0073968875,0.007441817,-0.6074108873495687
16,65,hadamard_int4,bf16,2,remove_keyword_auto,0.007441817,0.006891727,7.3918775481848
16,65,hadamard_int4,bf16,2,original_keyword_vs_legacy,0.0069094875,0.0073968875,-7.054068771381372
16,65,hadamard_int4,bf16,2,auto_positional_vs_legacy,0.0069094875,0.006891727,0.2570451136933105
16,65,hadamard_int4,bf16,2,packed_vs_original_positional,0.0068973310000000005,0.00695569,-0.84610989381253
16,4096,hadamard,bf16,2,auto_vs_original_positional,0.005444627499999999,0.0054436675,0.017632060228167656
16,4096,hadamard,bf16,2,auto_vs_original_keyword,0.0058008575,0.005882531,-1.4079556341454635
16,4096,hadamard,bf16,2,remove_keyword_auto,0.005882531,0.0054436675,7.460453672067347
16,4096,hadamard,bf16,2,original_keyword_vs_legacy,0.0053487075,0.0058008575,-8.453444126454857
16,4096,hadamard,bf16,2,auto_positional_vs_legacy,0.0053487075,0.0054436675,-1.7753821834527228
16,4096,hadamard,bf16,2,packed_vs_original_positional,0.005444627499999999,0.005365354500000001,1.455985740071264
4,17,hadamard_int4,fp16,2,auto_vs_original_positional,0.006857999,0.006942399,-1.2306796778477125
4,17,hadamard_int4,fp16,2,auto_vs_original_keyword,0.007376557,0.007349913,0.3611983205715097
4,17,hadamard_int4,fp16,2,remove_keyword_auto,0.007349913,0.006942399,5.544473791730587
4,17,hadamard_int4,fp16,2,original_keyword_vs_legacy,0.006837768,0.007376557,-7.879603402747781
4,17,hadamard_int4,fp16,2,auto_positional_vs_legacy,0.006837768,0.006942399,-1.5301923083672841
4,17,hadamard_int4,fp16,2,packed_vs_original_positional,0.006857999,0.006863722,-0.08344999758675975
2,4096,hadamard,bf16,2,auto_vs_original_positional,0.0053692955,0.005412401,-0.8028148199330731
2,4096,hadamard,bf16,2,auto_vs_original_keyword,0.0058361325,0.0058559485,-0.3395399264838561
2,4096,hadamard,bf16,2,remove_keyword_auto,0.0058559485,0.005412401,7.574306707103052
2,4096,hadamard,bf16,2,original_keyword_vs_legacy,0.0053715095,0.0058361325,-8.649765954989007
2,4096,hadamard,bf16,2,auto_positional_vs_legacy,0.0053715095,0.005412401,-0.761266455918963
2,4096,hadamard,bf16,2,packed_vs_original_positional,0.0053692955,0.0054353945,-1.2310553591248663
16,4096,hadamard,fp16,2,auto_vs_original_positional,0.0053891905,0.005440279,-0.9479809630036362
16,4096,hadamard,fp16,2,auto_vs_original_keyword,0.005842236,0.0058511735,-0.1529808107717745
16,4096,hadamard,fp16,2,remove_keyword_auto,0.0058511735,0.005440279,7.022428919600488
16,4096,hadamard,fp16,2,original_keyword_vs_legacy,0.005376578999999999,0.005842236,-8.660841773179563
16,4096,hadamard,fp16,2,auto_positional_vs_legacy,0.005376578999999999,0.005440279,-1.1847682327368547
16,4096,hadamard,fp16,2,packed_vs_original_positional,0.0053891905,0.005316602,1.346927706489498
1,1,hadamard_int4,bf16,2,auto_vs_original_positional,0.006885748499999999,0.0068774955,0.11985625092173491
1,1,hadamard_int4,bf16,2,auto_vs_original_keyword,0.0072377175,0.0073678075,-1.7973898539145772
1,1,hadamard_int4,bf16,2,remove_keyword_auto,0.0073678075,0.0068774955,6.654788415685409
1,1,hadamard_int4,bf16,2,original_keyword_vs_legacy,0.0068327985,0.0072377175,-5.926107728773222
1,1,hadamard_int4,bf16,2,auto_positional_vs_legacy,0.0068327985,0.0068774955,-0.6541536385128222
1,1,hadamard_int4,bf16,2,packed_vs_original_positional,0.006885748499999999,0.006889705,-0.05745925806033281
2,4096,hadamard,bf16,3,auto_vs_original_positional,0.0051897455,0.005193343,-0.06931939148075994
2,4096,hadamard,bf16,3,auto_vs_original_keyword,0.00569695,0.0056904385000000005,0.11429800156222969
2,4096,hadamard,bf16,3,remove_keyword_auto,0.0056904385000000005,0.005193343,8.735627315891403
2,4096,hadamard,bf16,3,original_keyword_vs_legacy,0.005136058,0.00569695,-10.920671067188103
2,4096,hadamard,bf16,3,auto_positional_vs_legacy,0.005136058,0.005193343,-1.1153495540743519
2,4096,hadamard,bf16,3,packed_vs_original_positional,0.0051897455,0.005202734499999999,-0.250282022499948
4,17,hadamard_int4,fp16,3,auto_vs_original_positional,0.006616951,0.006655071,-0.576096150628902
4,17,hadamard_int4,fp16,3,auto_vs_original_keyword,0.0071854894999999995,0.0072045600000000005,-0.2654029346226272
4,17,hadamard_int4,fp16,3,remove_keyword_auto,0.0072045600000000005,0.006655071,7.626961257870013
4,17,hadamard_int4,fp16,3,original_keyword_vs_legacy,0.0066338410000000006,0.0071854894999999995,-8.31567262465287
4,17,hadamard_int4,fp16,3,auto_positional_vs_legacy,0.0066338410000000006,0.006655071,-0.3200257588326316
4,17,hadamard_int4,fp16,3,packed_vs_original_positional,0.006616951,0.0066416835,-0.3737748700269883
16,65,hadamard_int4,fp16,3,auto_vs_original_positional,0.006595875,0.006586156,0.1473496693008891
16,65,hadamard_int4,fp16,3,auto_vs_original_keyword,0.007166871500000001,0.0071928075,-0.36188733117370475
16,65,hadamard_int4,fp16,3,remove_keyword_auto,0.0071928075,0.006586156,8.434140632847464
16,65,hadamard_int4,fp16,3,original_keyword_vs_legacy,0.006580954,0.007166871500000001,-8.903230443488908
16,65,hadamard_int4,fp16,3,auto_positional_vs_legacy,0.006580954,0.006586156,-0.07904629024910736
16,65,hadamard_int4,fp16,3,packed_vs_original_positional,0.006595875,0.0065813085,0.22084257206208546
4,17,hadamard_int4,bf16,3,auto_vs_original_positional,0.0066393745,0.0066921854999999995,-0.7954213156676104
4,17,hadamard_int4,bf16,3,auto_vs_original_keyword,0.0072157335,0.0072689435000000005,-0.7374163693822711
4,17,hadamard_int4,bf16,3,remove_keyword_auto,0.0072689435000000005,0.0066921854999999995,7.934550598721824
4,17,hadamard_int4,bf16,3,original_keyword_vs_legacy,0.006627167999999999,0.0072157335,-8.881101248678181
4,17,hadamard_int4,bf16,3,auto_positional_vs_legacy,0.006627167999999999,0.0066921854999999995,-0.9810751741920587
4,17,hadamard_int4,bf16,3,packed_vs_original_positional,0.0066393745,0.0066809305000000005,-0.6259023346250503
16,4096,hadamard,fp16,3,auto_vs_original_positional,0.005239494,0.0052481,-0.1642525022454544
16,4096,hadamard,fp16,3,auto_vs_original_keyword,0.005792289,0.0058351555,-0.7400614851917675
16,4096,hadamard,fp16,3,remove_keyword_auto,0.0058351555,0.0052481,10.060665906846856
16,4096,hadamard,fp16,3,original_keyword_vs_legacy,0.0052260675,0.005792289,-10.834561551300293
16,4096,hadamard,fp16,3,auto_positional_vs_legacy,0.0052260675,0.0052481,-0.42158850799383085
16,4096,hadamard,fp16,3,packed_vs_original_positional,0.005239494,0.0052279625,0.2200880466701527
8,4096,hadamard_int4,fp16,3,auto_vs_original_positional,0.006654341,0.0066813615,-0.40605824077846187
8,4096,hadamard_int4,fp16,3,auto_vs_original_keyword,0.0072349285,0.007287315999999999,-0.7240914682156152
8,4096,hadamard_int4,fp16,3,remove_keyword_auto,0.007287315999999999,0.0066813615,8.31519451057151
8,4096,hadamard_int4,fp16,3,original_keyword_vs_legacy,0.0065599225,0.0072349285,-10.28984717426158
8,4096,hadamard_int4,fp16,3,auto_positional_vs_legacy,0.0065599225,0.0066813615,-1.8512261387234386
