dtype,batch,seq,heads,dim,scale,method,rows,repeats,seed,input_read_only,input_working_set_bytes,logical_io_bytes,run1_count,run1_median_ms,run1_mean_ms,run1_minimum_ms,run1_maximum_ms,run1_population_stddev_ms,run1_cv_percent,run1_range_over_median_percent,run2_count,run2_median_ms,run2_mean_ms,run2_minimum_ms,run2_maximum_ms,run2_population_stddev_ms,run2_cv_percent,run2_range_over_median_percent,run3_count,run3_median_ms,run3_mean_ms,run3_minimum_ms,run3_maximum_ms,run3_population_stddev_ms,run3_cv_percent,run3_range_over_median_percent,across_run_medians_count,across_run_medians_median_ms,across_run_medians_mean_ms,across_run_medians_minimum_ms,across_run_medians_maximum_ms,across_run_medians_population_stddev_ms,across_run_medians_cv_percent,across_run_medians_range_over_median_percent,comparison_role,run1_baseline_over_candidate,run1_time_reduction_percent,run2_baseline_over_candidate,run2_time_reduction_percent,run3_baseline_over_candidate,run3_time_reduction_percent,minimum_time_reduction_percent,maximum_time_reduction_percent,stable_candidate_every_run_at_least_5_percent,every_run_faster,any_run_slowdown,every_run_slowdown,any_run_regression_over_3_percent,every_run_regression_over_3_percent
bf16,1,1,1,64,1.0,baseline_fused,1,100,2909,true,128,164,5,0.0225408005714,0.02255999994276,0.0225279998779,0.0226239991188,0.00003551842087862701,0.15743980925862394,0.4258909997269763,5,0.0225343990326,0.02256511974334,0.0225216007233,0.0226239991188,0.00004568699160477549,0.20246731293442313,0.45440925827159817,5,0.0225343990326,0.02255359983444,0.0225279998779,0.0225920009613,0.00002890676917653023,0.1281692030927531,0.2840150443213881,3,0.0225343990326,0.022536532878866666,0.0225343990326,0.0225408005714,0.000003017714330338592,0.013390322045359575,0.028407852327181026,baseline,,,,,,,,,,,,,,
bf16,1,1,1,64,1.0,baseline_split,1,100,2909,true,128,420,5,0.0360127997398,0.03598848009108,0.0358976006508,0.0360127997398,0.000045507258139122445,0.12644951391098547,0.31988373531727116,5,0.0360191988945,0.03599359989166,0.0358976006508,0.0360256004333,0.000048403232451684576,0.13447733096266368,0.35536543407005977,5,0.0360191988945,0.03600127983092,0.0359103989601,0.0360448002815,0.00004710025257638182,0.13082938383743062,0.3731380084095327,3,0.0360191988945,0.036017065842933334,0.0360127997398,0.0360191988945,0.0000030165904548205336,0.008375447539162601,0.01776595509173237,baseline,,,,,,,,,,,,,,
bf16,1,1,1,64,1.0,baseline_transform,1,100,2909,true,128,256,5,0.0162303996086,0.01623679995536,0.0161855995655,0.0162880003452,0.00004452515706469416,0.2742237213435384,0.630919645661359,5,0.0162432003021,0.01625471973418,0.0161855995655,0.016339199543,0.00006494028658538827,0.3995164951926764,0.9456263214345919,5,0.0162367999554,0.01624448013304,0.0161792004108,0.0162880003452,0.00004075955388794602,0.2509132551742563,0.67008237275114,3,0.0162367999554,0.016236799955366667,0.0162303996086,0.0162432003021,0.000005225861238127252,0.032185290528260614,0.07883753901730912,baseline,,,,,,,,,,,,,,
bf16,1,1,1,64,1.0,optimized_fused,1,100,2909,true,128,164,5,0.0177535998821,0.01772799992558,0.0176447999477,0.0177983999252,0.000054154716885028834,0.30547561548039137,0.8651765192413949,5,0.0177727997303,0.01773695993424,0.0176512002945,0.0177983999252,0.00006304545593337754,0.3554467967854658,0.8282298396073411,5,0.0177535998821,0.01773824000356,0.0176895999908,0.0177983999252,0.00004059829585330655,0.2288744308632571,0.6128330880639814,3,0.0177535998821,0.0177599998315,0.0177535998821,0.0177727997303,0.000009050895239981333,0.05096224845637794,0.10814622570917412,candidate_vs_matching_baseline,1.2696467601551995,21.237935512255255,1.2679149810134964,21.130358503954337,1.2692861832106637,21.215560901285745,21.130358503954337,21.237935512255255,True,True,False,False,False,False
bf16,1,1,1,64,1.0,optimized_split,1,100,2909,true,128,420,5,0.0310847997665,0.03106047964096,0.030956799984,0.0310911989212,0.00005205660252068787,0.16759754879007055,0.43236224202686235,5,0.0310847997665,0.031063039302820002,0.0309759998322,0.0310911989212,0.0000440808187802167,0.1419076167997988,0.3705962073596835,5,0.0310847997665,0.03106047964096,0.0309696006775,0.0310911989212,0.00004639831915885577,0.1493805623583143,0.39118232902708117,3,0.0310847997665,0.0310847997665,0.0310847997665,0.0310847997665,0.0000,0.0,0.0,candidate_vs_matching_baseline,1.158534074863525,13.684023483055551,1.158739936080199,13.699358340680545,1.158739936080199,13.699358340680545,13.684023483055551,13.699358340680545,True,True,False,False,False,False
bf16,1,1,1,64,1.0,optimized_transform,1,100,2909,true,128,256,5,0.0156991994381,0.01570559978486,0.0156288003922,0.0157568001747,0.00004489118441078033,0.28582916301009315,0.8153268133492231,5,0.0157055997849,0.01570303964616,0.0156224000454,0.0157439994812,0.00004445101324391245,0.2830726677480079,0.7742425470239662,5,0.0156991994381,0.01570303964616,0.0156224000454,0.015750399828,0.0000457229362946922,0.29117252025707785,0.8153268139862095,3,0.0156991994381,0.015701332887033335,0.0156991994381,0.0157055997849,0.0000030171524161502093,0.01921589993574285,0.04076861896834512,candidate_vs_matching_baseline,1.033836131109389,3.2728717918844796,1.0342298622505885,3.3096957939409033,1.0342438172990724,3.311000435903033,3.2728717918844796,3.311000435903033,False,True,False,False,False,False
bf16,1,1,1,64,1.0,warp32_fused,1,100,2909,true,128,164,5,0.0154688000679,0.01548160004616,0.0154560005665,0.015513600111,0.000023946502890152876,0.15467718335801137,0.3723594864964851,5,0.0154688000679,0.01547136020662,0.015443199873,0.0155200004578,0.000026107108570618997,0.1687447530272619,0.49648702202424333,5,0.0155007994175,0.0154777598381,0.015417599678,0.0155200004578,0.00004218200883627606,0.27253303628888836,0.6606161207685336,3,0.0154688000679,0.015479466517766667,0.0154688000679,0.0155007994175,0.000015084638063812458,0.09744934068948022,0.20686381270388765,candidate_vs_matching_baseline,1.4571783507743061,31.37422063204368,1.4567645152620559,31.354725521982452,1.4537572176541584,31.21272328995618,31.21272328995618,31.37422063204368,True,True,False,False,False,False
bf16,1,1,1,64,1.0,warp32_split,1,100,2909,true,128,420,5,0.03007999897,0.03005952024458,0.0299264001846,0.0301760005951,0.00010931827169195417,0.363672709352922,0.8297886271503457,5,0.0300735998154,0.03003647994994,0.0299264001846,0.0301760005951,0.0000969256513202086,0.32269311011726,0.8299651921689352,5,0.0301823997498,0.03003520011904,0.0296896004677,0.0301823997498,0.00019680354018920762,0.6552429796012891,1.6327372448350923,3,0.03007999897,0.030111999511733334,0.0300735998154,0.0301823997498,0.00004984898818619463,0.16554526100722955,0.3617019219598624,candidate_vs_matching_baseline,1.1972340748986403,16.474144783703927,1.1977016092385253,16.50674990444574,1.1933841971839458,16.20468895434335,16.20468895434335,16.50674990444574,True,True,False,False,False,False
bf16,1,1,1,64,1.0,warp32_transform,1,100,2909,true,128,256,5,0.015232000351,0.015237120151520001,0.0151872003078,0.0152831995487,0.00003561042200215554,0.23370834939962834,0.630247102730002,5,0.0152256000042,0.01519999980926,0.0150271999836,0.0152831995487,0.00008895757756587908,0.5852472281722345,1.6813758737217825,5,0.0152831995487,0.015248639583580001,0.0151935994625,0.0152831995487,0.000042375502682086195,0.2778969392634663,0.5862652379463452,3,0.015232000351,0.0152469333013,0.0152256000042,0.0152831995487,0.000025776884155493434,0.16906274623301212,0.3781482613753938,candidate_vs_matching_baseline,1.0655461682374798,6.151415132569982,1.0668348240870176,6.2647771311940215,1.0623953383361477,5.873080960037647,5.873080960037647,6.2647771311940215,True,True,False,False,False,False
bf16,1,1,1,128,1.0,baseline_fused,1,100,2909,true,256,324,5,0.0283455991745,0.02837119960782,0.0283392000198,0.0284159994125,0.000036653443090120676,0.12919243316034415,0.2709393871945013,5,0.0283455991745,0.02836223936082,0.02828799963,0.0284351992607,0.00005016549390915035,0.17687423503818842,0.5193032957032003,5,0.0283455991745,0.02837887954712,0.0283200001717,0.0284479999542,0.00005221395994547792,0.18398880004681792,0.45156844881639197,3,0.0283455991745,0.0283455991745,0.0283455991745,0.0283455991745,0.0000,0.0,0.0,baseline,,,,,,,,,,,,,,
