dtype,batch,seq,heads,dim,scale,method,rows,repeats,seed,input_read_only,input_working_set_bytes,logical_io_bytes,run1_count,run1_median_us,run1_mean_us,run1_minimum_us,run1_maximum_us,run1_population_stddev_us,run1_cv_percent,run1_range_over_median_percent,run2_count,run2_median_us,run2_mean_us,run2_minimum_us,run2_maximum_us,run2_population_stddev_us,run2_cv_percent,run2_range_over_median_percent,run3_count,run3_median_us,run3_mean_us,run3_minimum_us,run3_maximum_us,run3_population_stddev_us,run3_cv_percent,run3_range_over_median_percent,across_run_medians_count,across_run_medians_median_us,across_run_medians_mean_us,across_run_medians_minimum_us,across_run_medians_maximum_us,across_run_medians_population_stddev_us,across_run_medians_cv_percent,across_run_medians_range_over_median_percent,comparison_role,run1_baseline_over_candidate,run1_time_reduction_percent,run2_baseline_over_candidate,run2_time_reduction_percent,run3_baseline_over_candidate,run3_time_reduction_percent,minimum_time_reduction_percent,maximum_time_reduction_percent,stable_candidate_every_run_at_least_5_percent,every_run_faster,any_run_slowdown,every_run_slowdown,any_run_regression_over_3_percent,every_run_regression_over_3_percent
bf16,1,1,1,64,1.0,baseline_fused,1,100,2909,true,128,164,5,22.5408005714,22.55999994276,22.5279998779,22.6239991188,0.03551842087862701,0.15743980925862394,0.4258909997269763,5,22.5343990326,22.56511974334,22.5216007233,22.6239991188,0.04568699160477549,0.20246731293442313,0.45440925827159817,5,22.5343990326,22.55359983444,22.5279998779,22.5920009613,0.02890676917653023,0.1281692030927531,0.2840150443213881,3,22.5343990326,22.536532878866666,22.5343990326,22.5408005714,0.003017714330338592,0.013390322045359575,0.028407852327181026,baseline,,,,,,,,,,,,,,
bf16,1,1,1,64,1.0,baseline_split,1,100,2909,true,128,420,5,36.0127997398,35.98848009108,35.8976006508,36.0127997398,0.045507258139122445,0.12644951391098547,0.31988373531727116,5,36.0191988945,35.99359989166,35.8976006508,36.0256004333,0.048403232451684576,0.13447733096266368,0.35536543407005977,5,36.0191988945,36.00127983092,35.9103989601,36.0448002815,0.04710025257638182,0.13082938383743062,0.3731380084095327,3,36.0191988945,36.017065842933334,36.0127997398,36.0191988945,0.0030165904548205336,0.008375447539162601,0.01776595509173237,baseline,,,,,,,,,,,,,,
bf16,1,1,1,64,1.0,baseline_transform,1,100,2909,true,128,256,5,16.2303996086,16.23679995536,16.1855995655,16.2880003452,0.04452515706469416,0.2742237213435384,0.630919645661359,5,16.2432003021,16.25471973418,16.1855995655,16.339199543,0.06494028658538827,0.3995164951926764,0.9456263214345919,5,16.2367999554,16.24448013304,16.1792004108,16.2880003452,0.04075955388794602,0.2509132551742563,0.67008237275114,3,16.2367999554,16.236799955366667,16.2303996086,16.2432003021,0.005225861238127252,0.032185290528260614,0.07883753901730912,baseline,,,,,,,,,,,,,,
bf16,1,1,1,64,1.0,optimized_fused,1,100,2909,true,128,164,5,17.7535998821,17.72799992558,17.6447999477,17.7983999252,0.054154716885028834,0.30547561548039137,0.8651765192413949,5,17.7727997303,17.73695993424,17.6512002945,17.7983999252,0.06304545593337754,0.3554467967854658,0.8282298396073411,5,17.7535998821,17.73824000356,17.6895999908,17.7983999252,0.04059829585330655,0.2288744308632571,0.6128330880639814,3,17.7535998821,17.7599998315,17.7535998821,17.7727997303,0.009050895239981333,0.05096224845637794,0.10814622570917412,candidate_vs_matching_baseline,1.2696467601551995,21.237935512255255,1.2679149810134964,21.130358503954337,1.2692861832106637,21.215560901285745,21.130358503954337,21.237935512255255,True,True,False,False,False,False
bf16,1,1,1,64,1.0,optimized_split,1,100,2909,true,128,420,5,31.0847997665,31.06047964096,30.956799984,31.0911989212,0.05205660252068787,0.16759754879007055,0.43236224202686235,5,31.0847997665,31.063039302820002,30.9759998322,31.0911989212,0.0440808187802167,0.1419076167997988,0.3705962073596835,5,31.0847997665,31.06047964096,30.9696006775,31.0911989212,0.04639831915885577,0.1493805623583143,0.39118232902708117,3,31.0847997665,31.0847997665,31.0847997665,31.0847997665,0.0,0.0,0.0,candidate_vs_matching_baseline,1.158534074863525,13.684023483055551,1.158739936080199,13.699358340680545,1.158739936080199,13.699358340680545,13.684023483055551,13.699358340680545,True,True,False,False,False,False
bf16,1,1,1,64,1.0,optimized_transform,1,100,2909,true,128,256,5,15.6991994381,15.70559978486,15.6288003922,15.7568001747,0.04489118441078033,0.28582916301009315,0.8153268133492231,5,15.7055997849,15.70303964616,15.6224000454,15.7439994812,0.04445101324391245,0.2830726677480079,0.7742425470239662,5,15.6991994381,15.70303964616,15.6224000454,15.750399828,0.0457229362946922,0.29117252025707785,0.8153268139862095,3,15.6991994381,15.701332887033335,15.6991994381,15.7055997849,0.0030171524161502093,0.01921589993574285,0.04076861896834512,candidate_vs_matching_baseline,1.033836131109389,3.2728717918844796,1.0342298622505885,3.3096957939409033,1.0342438172990724,3.311000435903033,3.2728717918844796,3.311000435903033,False,True,False,False,False,False
bf16,1,1,1,64,1.0,warp32_fused,1,100,2909,true,128,164,5,15.4688000679,15.48160004616,15.4560005665,15.513600111,0.023946502890152876,0.15467718335801137,0.3723594864964851,5,15.4688000679,15.47136020662,15.443199873,15.5200004578,0.026107108570618997,0.1687447530272619,0.49648702202424333,5,15.5007994175,15.4777598381,15.417599678,15.5200004578,0.04218200883627606,0.27253303628888836,0.6606161207685336,3,15.4688000679,15.479466517766667,15.4688000679,15.5007994175,0.015084638063812458,0.09744934068948022,0.20686381270388765,candidate_vs_matching_baseline,1.4571783507743061,31.37422063204368,1.4567645152620559,31.354725521982452,1.4537572176541584,31.21272328995618,31.21272328995618,31.37422063204368,True,True,False,False,False,False
bf16,1,1,1,64,1.0,warp32_split,1,100,2909,true,128,420,5,30.07999897,30.05952024458,29.9264001846,30.1760005951,0.10931827169195417,0.363672709352922,0.8297886271503457,5,30.0735998154,30.03647994994,29.9264001846,30.1760005951,0.0969256513202086,0.32269311011726,0.8299651921689352,5,30.1823997498,30.03520011904,29.6896004677,30.1823997498,0.19680354018920762,0.6552429796012891,1.6327372448350923,3,30.07999897,30.111999511733334,30.0735998154,30.1823997498,0.04984898818619463,0.16554526100722955,0.3617019219598624,candidate_vs_matching_baseline,1.1972340748986403,16.474144783703927,1.1977016092385253,16.50674990444574,1.1933841971839458,16.20468895434335,16.20468895434335,16.50674990444574,True,True,False,False,False,False
bf16,1,1,1,64,1.0,warp32_transform,1,100,2909,true,128,256,5,15.232000351,15.237120151520001,15.1872003078,15.2831995487,0.03561042200215554,0.23370834939962834,0.630247102730002,5,15.2256000042,15.19999980926,15.0271999836,15.2831995487,0.08895757756587908,0.5852472281722345,1.6813758737217825,5,15.2831995487,15.248639583580001,15.1935994625,15.2831995487,0.042375502682086195,0.2778969392634663,0.5862652379463452,3,15.232000351,15.2469333013,15.2256000042,15.2831995487,0.025776884155493434,0.16906274623301212,0.3781482613753938,candidate_vs_matching_baseline,1.0655461682374798,6.151415132569982,1.0668348240870176,6.2647771311940215,1.0623953383361477,5.873080960037647,5.873080960037647,6.2647771311940215,True,True,False,False,False,False
bf16,1,1,1,128,1.0,baseline_fused,1,100,2909,true,256,324,5,28.3455991745,28.37119960782,28.3392000198,28.4159994125,0.036653443090120676,0.12919243316034415,0.2709393871945013,5,28.3455991745,28.36223936082,28.28799963,28.4351992607,0.05016549390915035,0.17687423503818842,0.5193032957032003,5,28.3455991745,28.37887954712,28.3200001717,28.4479999542,0.05221395994547792,0.18398880004681792,0.45156844881639197,3,28.3455991745,28.3455991745,28.3455991745,28.3455991745,0.0,0.0,0.0,baseline,,,,,,,,,,,,,,
