partition,case_id,rows,n,dtype,scale,round,old_wmma_ms,four_warp_wmma_ms,warp128_ms,old_over_new,warp128_over_new,reduction_vs_old,reduction_vs_warp128
holdout,n16_m1_bf16_normalized,1,16,bf16,normalized,1,0.002022399976849556,0.002017280012369156,0.0021401600539684294,1.002538053442758,1.060913725831725,0.00253162803550655,0.057416285932176514
holdout,n16_m1_bf16_normalized,1,16,bf16,normalized,2,0.0018943999707698822,0.0019046400487422943,0.002037919983267784,0.994623615113431,1.0699764423275147,-0.005405446648233614,0.06539998411114101
holdout,n16_m1_bf16_normalized,1,16,bf16,normalized,3,0.0019046400487422943,0.0019148799777030945,0.002053920030593872,0.9946524434533578,1.072610322584059,-0.005376306650467733,0.0676949690444254
holdout,n16_m1_bf16_unit,1,16,bf16,unit,1,0.0019404800236225129,0.0019456000626087188,0.001955839991569519,0.9973684010991751,1.005263121212625,-0.002638542486331774,0.005235565795227992
holdout,n16_m1_bf16_unit,1,16,bf16,unit,2,0.001884160041809082,0.001934240013360977,0.001884160041809082,0.9741087087404033,0.9741087087404033,-0.026579468007298823,-0.026579468007298823
holdout,n16_m1_bf16_unit,1,16,bf16,unit,3,0.00187391996383667,0.0019353599846363067,0.00187391996383667,0.9682539572547881,0.9682539572547881,-0.032786896978163504,-0.032786896978163504
holdout,n16_m1_fp16_normalized,1,16,fp16,normalized,1,0.0019865599274635315,0.002001120001077652,0.002007039934396744,0.9927240377357281,1.0029583100043495,-0.0073292899010155566,0.00294958421984326
holdout,n16_m1_fp16_normalized,1,16,fp16,normalized,2,0.0019046400487422943,0.0019464000314474107,0.0019148799777030945,0.9785450153974452,0.9838059734715084,-0.021925393584311115,-0.016460589755669552
holdout,n16_m1_fp16_normalized,1,16,fp16,normalized,3,0.001904960051178932,0.0019508799910545349,0.0019148799777030945,0.9764619350825464,0.9815467822128922,-0.02410546081907805,-0.018800140881217287
holdout,n16_m1_fp16_unit,1,16,fp16,unit,1,0.001987199932336807,0.0019966399669647215,0.002017280012369156,0.995272039634534,1.0103373896876418,-0.004750420163719404,0.010231621429785509
holdout,n16_m1_fp16_unit,1,16,fp16,unit,2,0.0019036800414323806,0.001955839991569519,0.0018888000398874284,0.9733311772118529,0.9657231920959481,-0.027399536162543425,-0.03549340865435724
holdout,n16_m1_fp16_unit,1,16,fp16,unit,3,0.0018943999707698822,0.0019456000626087188,0.0019046400487422943,0.9736841641698006,0.9789473619714505,-0.027027075923163668,-0.021505383074073237
screen,n16_m17_bf16_normalized,17,16,bf16,normalized,1,0.002027519941329956,0.0020377600193023683,0.002001919969916344,0.9949748361556735,0.9824120362326598,-0.005050543653689177,-0.017902838237595642
screen,n16_m17_bf16_normalized,17,16,bf16,normalized,2,0.0020166399329900743,0.0020377600193023683,0.0018943999707698822,0.9896356361336776,0.9296482180558406,-0.010472908904952227,-0.07567570246225497
screen,n16_m17_bf16_normalized,17,16,bf16,normalized,3,0.002017280012369156,0.0020377600193023683,0.0019148799777030945,0.9899497454365486,0.939698472619292,-0.01015228763862086,-0.06417114546608227
screen,n16_m17_bf16_unit,17,16,bf16,unit,1,0.002027200013399124,0.002067839950323105,0.001960960030555725,0.9803466719377237,0.9483132532811933,-0.02004732471160442,-0.05450387468483542
screen,n16_m17_bf16_unit,17,16,bf16,unit,2,0.002027519941329956,0.0020687999576330185,0.0018636800348758697,0.9800463954232229,0.9008507700319981,-0.020359857114887303,-0.11006176968076531
screen,n16_m17_bf16_unit,17,16,bf16,unit,3,0.002027519941329956,0.0020684799551963806,0.00187391996383667,0.9801980126693876,0.9059405961991838,-0.02020202762570933,-0.1038251340048526
screen,n16_m17_fp16_normalized,17,16,fp16,normalized,1,0.002836480140686035,0.002836480140686035,0.002841600030660629,1.0,1.0018050152726807,0.0,0.0018017630628346382
screen,n16_m17_fp16_normalized,17,16,fp16,normalized,2,0.0027033600211143496,0.0027081599831581117,0.0027033600211143496,0.9982275928772255,0.9982275928772255,-0.001775554127557033,-0.001775554127557033
