dtype,dim,rows,normalized,mode,shape,scale,scope,run1_original_us,run1_original_ms,run1_contiguous256_us,run1_contiguous256_ms,run1_original_over_contiguous256,run1_time_reduction_percent,run1_original_range_percent,run1_contiguous256_range_percent,run1_contiguous256_population_cv_percent,run2_original_us,run2_original_ms,run2_contiguous256_us,run2_contiguous256_ms,run2_original_over_contiguous256,run2_time_reduction_percent,run2_original_range_percent,run2_contiguous256_range_percent,run2_contiguous256_population_cv_percent,run3_original_us,run3_original_ms,run3_contiguous256_us,run3_contiguous256_ms,run3_original_over_contiguous256,run3_time_reduction_percent,run3_original_range_percent,run3_contiguous256_range_percent,run3_contiguous256_population_cv_percent,stable_at_least_5_percent,any_run_regression,every_run_regression,any_run_regression_over_3_percent,every_run_regression_over_3_percent,minimum_time_reduction_percent,maximum_time_reduction_percent,maximum_regression_percent,run1_dao_us,run1_dao_over_original,run1_dao_over_contiguous256,run1_time_reduction_vs_dao_percent,run1_near_tie_with_dao,run2_dao_us,run2_dao_over_original,run2_dao_over_contiguous256,run2_time_reduction_vs_dao_percent,run2_near_tie_with_dao,run3_dao_us,run3_dao_over_original,run3_dao_over_contiguous256,run3_time_reduction_vs_dao_percent,run3_near_tie_with_dao,all_runs_no_slower_than_dao,all_runs_faster_than_dao_by_more_than_1_percent,any_run_near_tie_with_dao
bf16,256,1,False,fused_int4,"[1, 256]",1.0,cuda_graph,1.5111999586224556,0.0015111999586224557,1.4119749888777733,0.0014119749888777734,1.0702738862418133,6.565972238057194,0.10587077122410375,0.16996938057904754,0.055831931617127004,1.5007499605417252,0.0015007499605417252,1.4015999622642994,0.0014015999622642994,1.0707405828673453,6.6066967105989916,0.05330708729826774,0.23544202108167245,0.08677851548689912,1.5023999847471714,0.0015023999847471714,1.4055999927222729,0.0014055999927222729,1.0688673822752537,6.44302402873016,0.05324854231340555,0.11383126006500573,0.042596606332174713,True,False,False,False,False,6.44302402873016,6.6066967105989916,0.0,,,,,,,,,,,,,,,,,,
bf16,256,1,False,transform,"[1, 256]",1.0,cuda_graph,1.095999963581562,0.001095999963581562,1.1095999740064144,0.0011095999740064143,0.9877433212477943,-1.2408769048138923,0.28969571413154593,0.21629581209509058,0.0736872571919047,1.0847999714314938,0.0010847999714314938,1.0999999940395355,0.0010999999940395355,0.9861817975541776,-1.4011820619781012,0.14749375233463807,0.21818348070807608,0.08476517372219186,1.0871999897062778,0.001087199989706278,1.1039000004529953,0.0011039000004529954,0.9848718083704462,-1.5360569264932789,0.2943363131601312,0.14494176850555418,0.06491647301346572,False,True,True,False,False,-1.5360569264932789,-1.2408769048138923,1.5360569264932789,1.063199993222952,0.9700730187513649,0.958183145394347,-4.3641818170828905,False,1.0544000193476677,0.9719764446124473,0.9585454773282218,-4.324731966533868,False,1.0576000437140465,0.9727741480201557,0.9580578342966308,-4.377832339752374,False,False,False,False
bf16,256,1,True,fused_int4,"[1, 256]",0.0625,cuda_graph,1.5111999586224556,0.0015111999586224557,1.4127999544143677,0.0014127999544143676,1.0696489293481586,6.511382140175881,0.1588092382370295,0.17341005406522844,0.06865318195008517,1.5056000091135502,0.0015056000091135501,1.4047999866306782,0.0014047999866306782,1.071754003019771,6.695006766253931,0.10627073415942849,0.17084412710882613,0.06831430864667087,1.5111999586224556,0.0015111999586224557,1.4096000231802464,0.0014096000231802464,1.0720771380330898,6.723129845425834,0.10587077122410375,0.22701648082830622,0.08492251043160441,True,False,False,False,False,6.511382140175881,6.723129845425834,0.0,,,,,,,,,,,,,,,,,,
bf16,256,1,True,transform,"[1, 256]",0.0625,cuda_graph,1.0951999574899673,0.0010951999574899673,1.110399980098009,0.001110399980098009,0.9863112185874678,-1.3878764790018705,0.14608465239523047,0.1440933187920417,0.045566308299559405,1.0904000140726566,0.0010904000140726567,1.104000024497509,0.001104000024497509,0.9876811502508412,-1.247249656028182,0.14673625848676652,0.1471978917016967,0.058292833553138794,1.0959000326693058,0.0010959000326693058,1.107999961823225,0.001107999961823225,0.989079485946905,-1.1041088414284639,0.14599982986515753,0.0022526575685637936,0.001103582265611754,False,True,True,False,False,-1.3878764790018705,-1.1041088414284639,1.3878764790018705,1.0648000054061413,0.9722425554567239,0.9589337396351151,-4.282491966599378,False,1.0576000437140465,0.9699193232434931,0.9579710328316507,-4.387289983509879,False,1.061525009572506,0.968633066819907,0.9580550958014077,-4.378130692317406,False,False,False,False
bf16,256,17,False,fused_int4,"[17, 256]",1.0,cuda_graph,1.565600000321865,0.001565600000321865,1.4688000082969666,0.0014688000082969666,1.0659041336316,6.182932550140386,0.2554950470842572,0.16339993608570602,0.055557401609217974,1.4175999909639359,0.0014175999909639358,1.3415999710559845,0.0013415999710559845,1.0566487936401274,5.361175253413553,0.16930151594824222,0.2981537376469249,0.11057218662916923,1.5584000386297703,0.0015584000386297703,1.4599749818444252,0.0014599749818444252,1.0674155776703804,6.315776074536405,0.11069017132593881,0.16438125121121852,0.06395507670116317,True,False,False,False,False,5.361175253413553,6.315776074536405,0.0,,,,,,,,,,,,,,,,,,
bf16,256,17,False,transform,"[17, 256]",1.0,cuda_graph,1.1512000113725662,0.0011512000113725663,1.1607999913394451,0.0011607999913394451,0.9917298586849561,-0.8339106907611082,0.20847969519411022,0.1378370257690251,0.051566784751723646,1.0456000454723835,0.0010456000454723835,1.0639999993145466,0.0010639999993145466,0.9827068102875782,-1.7597506734853274,0.23909229899764364,0.3007541699661949,0.11249807190147036,1.1471999809145927,0.0011471999809145928,1.154400035738945,0.001154400035738945,0.9937629464644434,-0.6276198521736553,0.07191122300548645,0.28152660739462354,0.1078548512687313,False,True,True,False,False,-1.7597506734853274,-0.6276198521736553,1.7597506734853274,1.0688000358641148,0.9284225376177623,0.9207443520315918,-8.60777997644333,False,0.9816000238060951,0.9387911066536208,0.9225564139459254,-8.39445532906067,False,1.0727999731898308,0.9351464357021281,0.929313877319069,-7.606270002644311,False,False,False,False
bf16,256,17,True,fused_int4,"[17, 256]",0.0625,cuda_graph,1.548799965530634,0.001548799965530634,1.464799977838993,0.001464799977838993,1.0573457051901143,5.423553045009378,0.1549538478782435,0.21675757573830903,0.07189946324850861,1.5552000142633915,0.0015552000142633915,1.4600000344216824,0.0014600000344216824,1.06520546410769,6.121397824626429,0.5626321312393506,0.6575328589414396,0.23069018008956693,1.4214499853551388,0.0014214499853551388,1.339150033891201,0.001339150033891201,1.0614568564993399,5.789859109490636,0.9004892514779328,1.726843022755246,0.6710551847316377,True,False,False,False,False,5.423553045009378,6.121397824626429,0.0,,,,,,,,,,,,,,,,,,
bf16,256,17,True,transform,"[17, 256]",0.0625,cuda_graph,1.1408000253140926,0.0011408000253140926,1.1607999913394451,0.0011607999913394451,0.9827705322410671,-1.7531526631800354,0.07889464552392486,0.20675553865353766,0.08266803131472725,1.0456000454723835,0.0010456000454723835,1.059999968856573,0.0010599999688565731,0.9864151662195586,-1.377192306613173,0.07650276631117092,0.07782693970116669,0.03424690059634939,1.0463999584317207,0.0010463999584317206,1.0607999749481678,0.0010607999749481678,0.9864253234761335,-1.3761484220650155,0.84097613005194,1.3574676523866502,0.5181041646263842,False,True,True,False,False,-1.7531526631800354,-1.3761484220650155,1.7531526631800354,1.0688000358641148,0.9368864061603134,0.9207443520315918,-8.60777997644333,False,0.9816000238060951,0.9387911066536208,0.9260377855151747,-7.98695427354279,False,0.9814499877393246,0.9379300714138605,0.9251979740924104,-8.084975108269976,False,False,False,False
bf16,256,64,False,fused_int4,"[64, 256]",1.0,cuda_graph,1.4535999856889248,0.0014535999856889249,1.363999955356121,0.001363999955356121,1.0656891739482575,6.164008751715722,0.27518096431995287,0.17595442473144932,0.06836670728721325,1.5760000795125961,0.001576000079512596,1.4791999943554401,0.00147919999435544,1.065440836618808,6.142137073184218,0.10152361056252117,0.21633480114858922,0.07945210495242472,1.5863999724388123,0.0015863999724388123,1.4895999804139137,0.0014895999804139138,1.0649838837927488,6.101865463101685,0.10085805666837308,0.16111830735370963,0.05475792953967819,True,False,False,False,False,6.101865463101685,6.164008751715722,0.0,,,,,,,,,,,,,,,,,,
bf16,256,64,False,transform,"[64, 256]",1.0,cuda_graph,1.0751999914646149,0.0010751999914646148,1.0816000401973724,0.0010816000401973724,0.9940827954004239,-0.5952426323999171,0.453404767068877,0.5177467918625004,0.20031180980253616,1.1624000035226345,0.0011624000035226345,1.1719999834895134,0.0011719999834895133,0.9918088906978515,-0.8258757689079799,0.20647094524353676,0.07039749833402918,0.027369005156158165,1.172799989581108,0.001172799989581108,1.184799987822771,0.0011847999878227711,0.989871709685181,-1.023192219327096,0.3410667201150113,0.13504491894278536,0.05399609188355922,False,True,True,False,False,-1.023192219327096,-0.5952426323999171,1.023192219327096,1.0328000411391258,0.9605655220776809,0.9548816593522487,-4.725019085439097,False,1.1312000453472137,0.9731590174803254,0.9651877655997726,-3.606783637440225,False,1.1296000331640244,0.963165111868296,0.9534098959941888,-4.886681395018289,False,False,False,False
