dtype,M,N,method,category,round1_reduction_pct,round2_reduction_pct,round3_reduction_pct,median_round_reduction_pct,min_round_reduction_pct,max_round_reduction_pct,all_rounds_faster,all_rounds_slower,classification
bf16,1,16,quant_only,control,-0.6479531169168328,2.0719742707723388,14.7967425010054,2.0719742707723388,-0.6479531169168328,14.7967425010054,False,False,mixed_or_unstable
bf16,1,16,scalar_fused,control,-1.6967707626684698,2.6604053803146956,5.389544796001861,2.6604053803146956,-1.6967707626684698,5.389544796001861,False,False,mixed_or_unstable
bf16,1,16,scalar_split,control,2.8262140824242534,2.4729478860846195,-8.402083704194505,2.4729478860846195,-8.402083704194505,2.8262140824242534,False,False,mixed_or_unstable
bf16,1,16,scalar_transform,control,0.6575290567871709,-1.3023855781218607,15.593218287774075,0.6575290567871709,-1.3023855781218607,15.593218287774075,False,False,mixed_or_unstable
bf16,1,16,vector_fused,vector_path,-1.5789545403769603,4.430063518121828,2.0206991372159586,2.0206991372159586,-1.5789545403769603,4.430063518121828,False,False,mixed_or_unstable
bf16,1,16,vector_split,vector_path,0.5886027585762943,4.440449788907842,-2.000002668835747,0.5886027585762943,-2.000002668835747,4.440449788907842,False,False,mixed_or_unstable
bf16,1,16,vector_transform,vector_path,1.1182119082611293,1.9459506699209113,-1.4636612358228793,1.1182119082611293,-1.4636612358228793,1.9459506699209113,False,False,mixed_or_unstable
bf16,1,64,quant_only,control,-2.9980661995753266,0.14881758061611147,-0.9576568375027437,-0.9576568375027437,-2.9980661995753266,0.14881758061611147,False,False,mixed_or_unstable
bf16,1,64,scalar_fused,control,-1.3509620717526964,2.012254238050235,0.9434033750470275,0.9434033750470275,-1.3509620717526964,2.012254238050235,False,False,mixed_or_unstable
bf16,1,64,scalar_split,control,-0.7874010993716118,1.297198334809576,0.9046639403254446,0.9046639403254446,-0.7874010993716118,1.297198334809576,False,False,mixed_or_unstable
bf16,1,64,scalar_transform,control,-0.4437903755791975,1.3852473204199134,3.1308266226883616,1.3852473204199134,-0.4437903755791975,3.1308266226883616,False,False,mixed_or_unstable
bf16,1,64,vector_fused,vector_path,7.251114348457041,8.704754520223103,11.922510634463192,8.704754520223103,7.251114348457041,11.922510634463192,True,False,stable_improvement_ge5
bf16,1,64,vector_split,vector_path,-1.5294113421494842,-0.8877148544536034,1.1431291280664213,-0.8877148544536034,-1.5294113421494842,1.1431291280664213,False,False,mixed_or_unstable
bf16,1,64,vector_transform,vector_path,0.03728762734034495,-0.7616133372634359,1.7414867593921746,0.03728762734034495,-0.7616133372634359,1.7414867593921746,False,False,mixed_or_unstable
bf16,1,128,quant_only,control,-4.437397781437711,-2.7852994135374014,1.0699284098452913,-2.7852994135374014,-4.437397781437711,1.0699284098452913,False,False,mixed_or_unstable
bf16,1,128,scalar_fused,control,7.732271625641536,0.6053657711798767,0.13101966749679766,0.6053657711798767,0.13101966749679766,7.732271625641536,True,False,all_faster_below_stability_rule
bf16,1,128,scalar_split,control,6.1571357535972,1.227432641182268,0.9452608349419984,1.227432641182268,0.9452608349419984,6.1571357535972,True,False,all_faster_below_stability_rule
bf16,1,128,scalar_transform,control,9.394782545729816,2.3359523491131777,0.021460998424740082,2.3359523491131777,0.021460998424740082,9.394782545729816,True,False,all_faster_below_stability_rule
bf16,1,128,vector_fused,vector_path,13.59321800189875,12.883332488543797,13.00102697520468,13.00102697520468,12.883332488543797,13.59321800189875,True,False,stable_improvement_ge5
bf16,1,128,vector_split,vector_path,6.042302413956318,7.120186815076535,6.732225011887988,6.732225011887988,6.042302413956318,7.120186815076535,True,False,stable_improvement_ge5
bf16,1,128,vector_transform,vector_path,10.119050522736002,10.40228522323255,10.731242141156558,10.40228522323255,10.119050522736002,10.731242141156558,True,False,stable_improvement_ge5
bf16,1,256,quant_only,control,8.816068870700173,-0.5057488513349768,0.2742835503849345,0.2742835503849345,-0.5057488513349768,8.816068870700173,False,False,mixed_or_unstable
bf16,1,256,scalar_fused,control,3.2519024938517758,0.887937949089351,0.6094038560318876,0.887937949089351,0.6094038560318876,3.2519024938517758,True,False,all_faster_below_stability_rule
bf16,1,256,scalar_split,control,1.254583774400838,0.8674616070051384,1.452458822946375,1.254583774400838,0.8674616070051384,1.452458822946375,True,False,all_faster_below_stability_rule
bf16,1,256,scalar_transform,control,5.0856244149669765,1.585607081405499,2.171587639103205,2.171587639103205,1.585607081405499,5.0856244149669765,True,False,all_faster_below_stability_rule
bf16,1,256,vector_fused,vector_path,13.14270273802908,12.408764545991612,13.564417940591083,13.14270273802908,12.408764545991612,13.564417940591083,True,False,stable_improvement_ge5
bf16,1,256,vector_split,vector_path,11.50604571701972,8.141913671855608,11.122838820534602,11.122838820534602,8.141913671855608,11.50604571701972,True,False,stable_improvement_ge5
bf16,1,256,vector_transform,vector_path,18.403813135396614,13.574103675751005,16.63359250802723,16.63359250802723,13.574103675751005,18.403813135396614,True,False,stable_improvement_ge5
bf16,17,16,quant_only,control,-0.7567574751118961,1.577294140744083,-6.044812387702585,-0.7567574751118961,-6.044812387702585,1.577294140744083,False,False,mixed_or_unstable
bf16,17,16,scalar_fused,control,-1.19731147523275,-1.090053510013944,2.0350170247098616,-1.090053510013944,-1.19731147523275,2.0350170247098616,False,False,mixed_or_unstable
bf16,17,16,scalar_split,control,-6.412312591611348,0.17688538711461435,-3.6303640323537008,-3.6303640323537008,-6.412312591611348,0.17688538711461435,False,False,mixed_or_unstable
