dtype,M,N,method,round,category,block_dim,off_median_ms,on_median_ms,off_over_on_ratio,latency_reduction_pct,improvement_ge5pct,regression_ge5pct
fp16,1,128,vector_transform,1,vector_path,32,0.0182760000229,0.0150759994984,1.2122579351929277,17.509304664534735,True,False
fp16,1,128,scalar_split,1,control,32,0.0289759993553,0.028503999114,1.0165590884076394,1.6289351594483228,False,False
fp16,1,128,vector_split,1,vector_path,32,0.026848000288,0.0250200003386,1.0730615477482557,6.808700572820851,True,False
fp16,1,128,scalar_fused,1,control,32,0.0259440004826,0.0244959995151,1.0591117323711332,5.581255552593518,True,False
fp16,1,128,vector_fused,1,vector_path,32,0.0238480001688,0.0203840002418,1.1699372000544146,14.525326662534589,True,False
fp16,1,128,quant_only,1,control,32,0.0106720000505,0.0108680002391,0.9819653860611038,-1.836583467696079,False,False
fp16,1,256,scalar_transform,1,control,32,0.0388839989901,0.0367439985275,1.0582408161430328,5.503550350222073,True,False
fp16,1,256,vector_transform,1,vector_path,32,0.0334199994802,0.0273880004883,1.2202424012105897,18.049069675999586,True,False
fp16,1,256,scalar_split,1,control,32,0.0543720006943,0.0536880016327,1.0127402592906978,1.2579986994514005,False,False
fp16,1,256,vector_split,1,vector_path,32,0.0489120006561,0.0441960006952,1.1067064867118663,9.641805482581189,True,False
fp16,1,256,scalar_fused,1,control,32,0.0493719995022,0.047947999835,1.0296988335717925,2.8842252320296367,False,False
fp16,1,256,vector_fused,1,vector_path,32,0.0450080007315,0.0391160011292,1.1506288841448475,13.091004946985638,True,False
fp16,1,256,quant_only,1,control,32,0.0186759993434,0.0173360005021,1.0772957315695555,7.1749779846375334,True,False
fp16,17,16,scalar_transform,1,control,32,0.00727600008249,0.00737200006843,0.9869777556906013,-1.319406058983248,False,False
fp16,17,16,vector_transform,1,vector_path,32,0.00755600035191,0.0074359998107,1.0161377816386339,1.5881489626938177,False,False
fp16,17,16,scalar_split,1,control,32,0.0131439998746,0.0127639994025,1.0297712699693147,2.8910565712521668,False,False
fp16,17,16,vector_split,1,vector_path,32,0.0137239992619,0.0131040006876,1.0473136860322885,4.517623197643375,False,False
fp16,17,16,scalar_fused,1,control,32,0.0080719999969,0.00813999995589,0.9916461966390067,-0.8424177281480965,False,False
fp16,17,16,vector_fused,1,vector_path,32,0.0078039996326,0.00808800011873,0.9648861916467684,-3.6391658060007006,False,False
fp16,17,16,quant_only,1,control,32,0.00744400024414,0.00744000002742,1.0005376635356529,0.05373746089206716,False,False
fp16,17,64,scalar_transform,1,control,32,0.0119240000844,0.0116319999099,1.0251031788825478,2.448844116346659,False,False
fp16,17,64,vector_transform,1,vector_path,32,0.0113519996405,0.0105640001595,1.074592906957822,6.941503752243706,True,False
fp16,17,64,scalar_split,1,control,32,0.0197119995952,0.0195879995823,1.0063304071648056,0.6290585199189758,False,False
fp16,17,64,vector_split,1,vector_path,32,0.0192159995437,0.0185399994254,1.0364617119337054,3.5179024477112133,False,False
fp16,17,64,scalar_fused,1,control,32,0.0148919999599,0.0148080006242,1.005672564300323,0.5640567816692543,False,False
fp16,17,64,vector_fused,1,vector_path,32,0.0146840006113,0.013259999454,1.1073907402666172,9.697637551200902,True,False
fp16,17,64,quant_only,1,control,32,0.00929600000381,0.0092239998281,1.0078057433924335,0.7745285679915015,False,False
fp16,17,128,scalar_transform,1,control,32,0.0203559994698,0.0214039996266,0.9510371811305028,-5.1483601105158465,False,True
fp16,17,128,vector_transform,1,vector_path,32,0.0180959999561,0.0172720000148,1.0477072684456885,4.553492171192428,False,False
fp16,17,128,scalar_split,1,control,32,0.0315200001001,0.03133200109,1.0060002235273764,0.5964435580677615,False,False
fp16,17,128,vector_split,1,vector_path,32,0.0294800013304,0.0287719994783,1.0246073218732672,2.401634396705079,False,False
fp16,17,128,scalar_fused,1,control,32,0.0261000007391,0.0274760007858,0.9499199298534329,-5.2720306809747814,False,True
fp16,17,128,vector_fused,1,vector_path,32,0.0246840000153,0.0234760001302,1.0514568017720363,4.893857901277094,False,False
fp16,17,128,quant_only,1,control,32,0.0118919998407,0.0134800001979,0.8821958209282973,-13.353518150623565,False,True
fp16,17,256,scalar_transform,1,control,32,0.0403759986162,0.0380600005388,1.06085123606446,5.736076274954971,True,False
fp16,17,256,vector_transform,1,vector_path,32,0.0334919989109,0.0275559991598,1.2154158779246778,17.723635328222006,True,False
fp16,17,256,scalar_split,1,control,32,0.0571879982948,0.0565079987049,1.0120336873625828,1.1890599604389869,False,False
fp16,17,256,vector_split,1,vector_path,32,0.0519680023193,0.0459479987621,1.13101775309887,11.584058052130054,True,False
fp16,17,256,scalar_fused,1,control,32,0.049864000082,0.0494320005178,1.008739269292661,0.8663556142499397,False,False
fp16,17,256,vector_fused,1,vector_path,32,0.0461600005627,0.0403160005808,1.1449548540954018,12.66031176486226,True,False
fp16,17,256,quant_only,1,control,32,0.0189239993691,0.0187999993563,1.0065957455875363,0.6552526787887809,False,False
fp16,257,16,scalar_transform,1,control,32,0.0190720006824,0.0189640000463,1.0056950345832272,0.5662784827795467,False,False
fp16,257,16,vector_transform,1,vector_path,32,0.0156479999423,0.0126519992948,1.2368005702254004,19.14622097742441,True,False
fp16,257,16,scalar_split,1,control,32,0.0346679985523,0.0352479994297,0.9835451405247332,-1.6730151771669488,False,False
fp16,257,16,vector_split,1,vector_path,32,0.0313479989767,0.028832000494,1.087264096822681,8.026025790577778,True,False
fp16,257,16,scalar_fused,1,control,32,0.0259200006723,0.0261799991131,0.9900688139951119,-1.0030803783035964,False,False
fp16,257,16,vector_fused,1,vector_path,32,0.0230480000377,0.0204960003495,1.1245120825860182,11.07254288452643,True,False
fp16,257,16,quant_only,1,control,32,0.0163680002093,0.0167040005326,0.979885038757976,-2.0527878726998554,False,False
fp16,257,64,scalar_transform,1,control,32,0.0663800001144,0.0650960028172,1.0197246718943045,1.9343134904898178,False,False
fp16,257,64,vector_transform,1,vector_path,32,0.0298079997301,0.0174439996481,1.7087824083593517,41.478798288886466,True,False
fp16,257,64,scalar_split,1,control,32,0.100295996666,0.0990999996662,1.0120685873242028,1.1924673362415834,False,False
fp16,257,64,vector_split,1,vector_path,32,0.0637920022011,0.0515200018883,1.238198755104994,19.23752177289144,True,False
