variant,round,dtype,M,N,block_dim,operation,scalar_median_ms,vector_median_ms,scalar_over_vector_ratio,latency_reduction_pct
old,1,fp16,1,16,32,transform,0.00709600001574,0.00768000036478,0.9239582914971999,-8.229993626614974
old,1,fp16,1,16,32,split,0.01266400069,0.0135040000081,0.9377962590642661,-6.63296961728135
old,1,fp16,1,16,32,fused,0.00713599994779,0.00777600035071,0.9176954251472528,-8.968615577389496
old,1,fp16,1,64,32,transform,0.0108079999685,0.0106720000505,1.012743620441946,1.258326410033059
old,1,fp16,1,64,32,split,0.0175359994173,0.0168080002069,1.0433126607233822,4.151455489225198
old,1,fp16,1,64,32,fused,0.0136240005493,0.0135920003057,1.0023543439435165,0.23488140274366395
old,1,fp16,1,128,32,transform,0.0187480002642,0.0182760000229,1.0258262333502177,2.5176031291257392
old,1,fp16,1,128,32,split,0.0289759993553,0.026848000288,1.0792609894395424,7.344005779427134
old,1,fp16,1,128,32,fused,0.0259440004826,0.0238480001688,1.0878899823450257,8.07894031302434
old,1,fp16,1,256,32,transform,0.0388839989901,0.0334199994802,1.16349490110367,14.052051362544152
old,1,fp16,1,256,32,split,0.0543720006943,0.0489120006561,1.1116290473699744,10.041933290073683
old,1,fp16,1,256,32,fused,0.0493719995022,0.0450080007315,1.0969605114595935,8.83901566616831
old,1,fp16,17,16,32,transform,0.00727600008249,0.00755600035191,0.9629433223425908,-3.8482719385041184
old,1,fp16,17,16,32,split,0.0131439998746,0.0137239992619,0.957738311097832,-4.41265514937211
old,1,fp16,17,16,32,fused,0.0080719999969,0.0078039996326,1.0343414117013114,3.320123444040185
old,1,fp16,17,64,32,transform,0.0119240000844,0.0113519996405,1.0503876375981638,4.7970516592694405
old,1,fp16,17,64,32,split,0.0197119995952,0.0192159995437,1.0258118267734149,2.5162340791686164
old,1,fp16,17,64,32,fused,0.0148919999599,0.0146840006113,1.014165032684617,1.3967187023911103
old,1,fp16,17,128,32,transform,0.0203559994698,0.0180959999561,1.1248894517673877,11.102375577543706
old,1,fp16,17,128,32,split,0.0315200001001,0.0294800013304,1.0691994124028865,6.4720772944842855
old,1,fp16,17,128,32,fused,0.0261000007391,0.0246840000153,1.0573651240853312,5.425289975868525
old,1,fp16,17,256,32,transform,0.0403759986162,0.0334919989109,1.2055416197645816,17.04973236881858
old,1,fp16,17,256,32,split,0.0571879982948,0.0519680023193,1.1004463466466823,9.127782281504759
old,1,fp16,17,256,32,fused,0.049864000082,0.0461600005627,1.0802426229234723,7.428203740592167
old,1,fp16,257,16,32,transform,0.0190720006824,0.0156479999423,1.2188139540340979,17.953023372423278
old,1,fp16,257,16,32,split,0.0346679985523,0.0313479989767,1.1059078628293837,9.576553923617668
old,1,fp16,257,16,32,fused,0.0259200006723,0.0230480000377,1.1246095379166183,11.080249074488759
old,1,fp16,257,64,32,transform,0.0663800001144,0.0298079997301,2.226918971935233,55.094908588839154
old,1,fp16,257,64,32,split,0.100295996666,0.0637920022011,1.5722346564671794,36.39626274063911
old,1,fp16,257,64,32,fused,0.0918919980526,0.0583320021629,1.5753273442591456,36.52112980554616
old,1,fp16,257,128,32,transform,0.140251994133,0.0500320017338,2.803245708201403,64.3270656912336
old,1,fp16,257,128,32,split,0.202035999298,0.112108004093,1.8021549927014988,44.510877030562064
old,1,fp16,257,128,32,fused,0.188815999031,0.104843997955,1.8009233023719826,44.47292682131951
old,1,fp16,257,256,32,transform,0.301740002632,0.092040002346,3.27835718101884,69.4969173648973
old,1,fp16,257,256,32,split,0.419759988785,0.210396003723,1.9950948751747266,49.877070386819476
old,1,fp16,257,256,32,fused,0.396043992043,0.201300001144,1.967431643279971,49.17231287726639
old,1,fp16,4096,16,32,transform,0.228972005844,0.164344000816,1.3932483370680362,28.225286663222676
old,1,fp16,4096,16,32,split,0.391012001038,0.326415991783,1.197894744378649,16.520211421521637
old,1,fp16,4096,16,32,fused,0.327512001991,0.271652007103,1.2056307092434624,17.055861937400085
old,1,fp16,4096,64,32,transform,0.90743598938,0.334091997147,2.716126088410102,63.18285795835955
old,1,fp16,4096,64,32,split,1.35559597015,0.782255983353,1.732931417589778,42.29431183198034
old,1,fp16,4096,64,32,fused,1.26204004288,0.728448009491,1.7325053077732278,42.28011911344212
old,1,fp16,4096,128,32,transform,1.9523399353,0.550871992111,3.5440900304595733,71.78401249952653
old,1,fp16,4096,128,32,split,2.79581604004,1.39495601654,2.004232396498525,50.10558647055898
old,1,fp16,4096,128,32,fused,2.63494796753,1.3254360199,1.9879857857860228,49.697829473935926
old,1,fp16,4096,256,32,transform,4.23415603638,0.988860034943,4.281855759924675,76.64564020676886
old,1,fp16,4096,256,32,split,5.86515197754,2.61998806,2.2386178269606316,55.329579352197925
old,1,fp16,4096,256,32,fused,5.5702041626,2.53436393738,2.1978706690241263,54.50141748131119
old,1,fp16,16384,16,32,transform,0.90375995636,0.641552019119,1.4087087709599488,29.013006760896275
old,1,fp16,16384,16,32,split,1.50939598083,1.24756803513,1.2098706750471662,17.346537888356085
old,1,fp16,16384,16,32,fused,1.29091997147,1.06415195465,1.2130974019538252,17.56638845410177
old,1,fp16,16384,64,32,transform,3.61022415161,1.30580797195,2.764743537458077,63.83027986315844
old,1,fp16,16384,64,32,split,5.3860118866,3.08101196289,1.7481307932176617,42.796042270992196
old,1,fp16,16384,64,32,fused,5.02936401367,2.88326396942,1.7443300603106804,42.67140016942142
old,1,fp16,16384,128,32,transform,7.79677963257,2.16543998718,3.6005521643310727,72.22648209609304
old,1,fp16,16384,128,32,split,11.1529556274,5.52283210754,2.0194268828439528,50.48099990668129
old,1,fp16,16384,128,32,fused,10.5197357178,5.25418014526,2.002165024221764,50.05406707727814
old,1,fp16,16384,256,32,transform,16.9206314087,3.87872009277,4.362426523182311,77.07697780843039
old,1,fp16,16384,256,32,split,23.4251602173,10.3835601807,2.2559854047786536,55.67347209419934
