variant,round,dtype,M,N,method,block_dim,groups,median_ms,median_us,min_group_ms,max_group_ms
new,1,bf16,1,16,quant_only,32,5,0.00745600014925,7.45600014925,0.00732399970293,0.0074960000813
new,1,bf16,1,16,scalar_fused,32,5,0.00743200033903,7.43200033903,0.00731199979782,0.00755999982357
new,1,bf16,1,16,scalar_split,32,5,0.0129280000925,12.9280000925,0.0124080002308,0.0137040004134
new,1,bf16,1,16,scalar_transform,32,5,0.00725200027227,7.25200027227,0.00670799985528,0.00856000036001
new,1,bf16,1,16,vector_fused,32,5,0.00772000029683,7.72000029683,0.00766799971461,0.00777600035071
new,1,bf16,1,16,vector_split,32,5,0.0128360003233,12.8360003233,0.0127800002694,0.0128879994154
new,1,bf16,1,16,vector_transform,32,5,0.00742800012231,7.42800012231,0.00730800032616,0.00750000029802
new,1,bf16,1,64,quant_only,32,5,0.0085199996829,8.5199996829,0.00849599987268,0.00860000029206
new,1,bf16,1,64,scalar_fused,32,5,0.0138040006161,13.8040006161,0.0136439993978,0.0140520006418
new,1,bf16,1,64,scalar_split,32,5,0.0174079999328,17.4079999328,0.0172639995813,0.0183479994535
new,1,bf16,1,64,scalar_transform,32,5,0.0108640000224,10.8640000224,0.00976800024509,0.0128040000796
new,1,bf16,1,64,vector_fused,32,5,0.0124839998782,12.4839998782,0.0123719997704,0.012839999795
new,1,bf16,1,64,vector_split,32,5,0.0172600001097,17.2600001097,0.0169640004635,0.0173559993505
new,1,bf16,1,64,vector_transform,32,5,0.0107239998877,10.7239998877,0.0106440000236,0.0109640002251
new,1,bf16,1,128,quant_only,32,5,0.0105439998209,10.5439998209,0.010447999835,0.0107680000365
new,1,bf16,1,128,scalar_fused,32,5,0.0241520002484,24.1520002484,0.0240679994226,0.0243799999356
new,1,bf16,1,128,scalar_split,32,5,0.028044000268,28.044000268,0.027783998847,0.0283639997244
new,1,bf16,1,128,scalar_transform,32,5,0.0183239996433,18.3239996433,0.0181439995766,0.020068000257
new,1,bf16,1,128,vector_fused,32,5,0.0203920006752,20.3920006752,0.0199479997158,0.0205799996853
new,1,bf16,1,128,vector_split,32,5,0.0248799994588,24.8799994588,0.0247600004077,0.0262519985437
new,1,bf16,1,128,vector_transform,32,5,0.0150999993086,15.0999993086,0.0150319993496,0.015175999701
new,1,bf16,1,256,quant_only,32,5,0.0172519996762,17.2519996762,0.0171320006251,0.0174879997969
new,1,bf16,1,256,scalar_fused,32,5,0.0483159989119,48.3159989119,0.0480599999428,0.0484600007534
new,1,bf16,1,256,scalar_split,32,5,0.0538359999657,53.8359999657,0.053571999073,0.0539120018482
new,1,bf16,1,256,scalar_transform,32,5,0.0368039995432,36.8039995432,0.0365960001945,0.0377000004053
new,1,bf16,1,256,vector_fused,32,5,0.0391240000725,39.1240000725,0.0388080000877,0.0395080000162
new,1,bf16,1,256,vector_split,32,5,0.0445160001516,44.5160001516,0.0442959994078,0.0446079999208
new,1,bf16,1,256,vector_transform,32,5,0.0273999989033,27.3999989033,0.0273680001497,0.0275840014219
new,1,bf16,17,16,quant_only,32,5,0.00745600014925,7.45600014925,0.00740400031209,0.00750399976969
new,1,bf16,17,16,scalar_fused,32,5,0.00845199972391,8.45199972391,0.00814799964428,0.00860399976373
new,1,bf16,17,16,scalar_split,32,5,0.0132760003209,13.2760003209,0.0126880005002,0.0141920000315
