variant,round,dtype,M,N,block_dim,vector_split_median_ms,vector_fused_median_ms,split_over_fused_ratio,latency_reduction_pct
old,1,fp16,1,16,32,0.0135040000081,0.00777600035071,1.7366254371203824,42.4170590488316
old,1,fp16,1,64,32,0.0168080002069,0.0135920003057,1.2366097578625954,19.13374501197217
old,1,fp16,1,128,32,0.026848000288,0.0238480001688,1.125796716620493,11.174017010648207
old,1,fp16,1,256,32,0.0489120006561,0.0450080007315,1.0867401320020795,7.981681125760937
old,1,fp16,17,16,32,0.0137239992619,0.0078039996326,1.7585853290625642,43.13611153954853
old,1,fp16,17,64,32,0.0192159995437,0.0146840006113,1.3086351636973117,23.584507910158774
old,1,fp16,17,128,32,0.0294800013304,0.0246840000153,1.1942959533352486,16.268660443221655
old,1,fp16,17,256,32,0.0519680023193,0.0461600005627,1.1258232600909717,11.176111255758267
old,1,fp16,257,16,32,0.0313479989767,0.0230480000377,1.3601179679548574,26.476965707345894
old,1,fp16,257,64,32,0.0637920022011,0.0583320021629,1.0936021366616597,8.559066732202126
old,1,fp16,257,128,32,0.112108004093,0.104843997955,1.0692839483393008,6.479471467509208
old,1,fp16,257,256,32,0.210396003723,0.201300001144,1.0451863016756426,4.3232772571932765
old,1,fp16,4096,16,32,0.326415991783,0.271652007103,1.2015960981257745,16.777359583658775
old,1,fp16,4096,64,32,0.782255983353,0.728448009491,1.07386659467928,6.878563412370687
old,1,fp16,4096,128,32,1.39495601654,1.3254360199,1.0524506619680103,4.983669435860418
old,1,fp16,4096,256,32,2.61998806,2.53436393738,1.0337852513433872,3.2681111768119906
old,1,fp16,16384,16,32,1.24756803513,1.06415195465,1.172358918929323,14.701890022445754
old,1,fp16,16384,64,32,3.08101196289,2.88326396942,1.0685847690559456,6.418280612078878
old,1,fp16,16384,128,32,5.52283210754,5.25418014526,1.051131090836762,4.8643876375170825
old,1,fp16,16384,256,32,10.3835601807,10.0536880493,1.032811056975551,3.1768692592848446
old,1,bf16,1,16,32,0.0129120007157,0.00759999975562,1.69894751722221,41.14002993835816
old,1,bf16,1,64,32,0.0170000001788,0.0134599998593,1.2630015123703056,20.823531072161924
old,1,bf16,1,128,32,0.0264800012112,0.0236000001431,1.1220339428235993,10.876136466647418
old,1,bf16,1,256,32,0.0503040015697,0.0450439989567,1.1167747698879122,10.456429804519374
old,1,bf16,17,16,32,0.0135159999132,0.00833199992776,1.62217955237473,38.3545429027208
old,1,bf16,17,64,32,0.0193639993668,0.0146999999881,1.3172788695561646,24.08593023761677
old,1,bf16,17,128,32,0.0296079993248,0.0246720001101,1.2000648181206575,16.671167681922864
old,1,bf16,17,256,32,0.0519879996777,0.0461800009012,1.1257687021038814,11.171806594804053
old,1,bf16,257,16,32,0.0314280003309,0.0232840001583,1.3497680861205854,25.913198698145678
old,1,bf16,257,64,32,0.0639039993286,0.0580359995365,1.1011096533007843,9.182523556821886
old,1,bf16,257,128,32,0.111756002903,0.10478399992,1.066536904377796,6.238593723731728
old,1,bf16,257,256,32,0.210563993454,0.201839995384,1.0432223457665197,4.143157586867228
