gpu,sm,cuda_runtime,seed,mode,rows,dim,dtype,scale,threads,group,order,captured_calls,replays,mean_us,check_status
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,32,0,0,64,20,0.9471500292,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,64,0,1,64,20,0.9472000413,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,128,0,2,64,20,0.9375499561,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,256,0,3,64,20,0.9328000247,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,32,1,1,64,20,0.9464000352,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,64,1,0,64,20,0.9472000413,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,128,1,3,64,20,0.9375999682,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,256,1,2,64,20,0.9328000247,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,32,2,2,64,20,0.9471500292,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,64,2,3,64,20,0.9471749887,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,128,2,0,64,20,0.9375999682,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,256,2,1,64,20,0.9328000247,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,32,3,3,64,20,0.9464000352,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,64,3,2,64,20,0.9472000413,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,128,3,1,64,20,0.9375999682,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,256,3,0,64,20,0.9328000247,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,32,4,0,64,20,0.9464000352,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,64,4,1,64,20,0.9472000413,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,128,4,2,64,20,0.9375999682,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,256,4,3,64,20,0.9328000247,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,32,0,0,64,20,1.170399971,PASS
