gpu,sm,cuda_runtime,seed,mode,rows,dim,dtype,scale,threads,group,order,captured_calls,replays,mean_us,check_status
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,32,1,1,64,20,0.8712000214,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,64,1,0,64,20,0.8704000153,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,128,1,3,64,20,0.8616000414,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,256,1,2,64,20,0.8592000231,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,32,2,2,64,20,0.8712000214,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,64,2,3,64,20,0.8710999973,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,128,2,0,64,20,0.8608000353,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,256,2,1,64,20,0.8591249585,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,32,3,3,64,20,0.8712000214,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,64,3,2,64,20,0.8704000153,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,128,3,1,64,20,0.8623999543,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,256,3,0,64,20,0.8592000231,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,32,4,0,64,20,0.8710999973,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,64,4,1,64,20,0.8704000153,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,128,4,2,64,20,0.8616000414,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,256,4,3,64,20,0.8592000231,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,32,0,0,64,20,1.078299992,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,64,0,1,64,20,1.078400016,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,128,0,2,64,20,1.070324983,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,256,0,3,64,20,1.066400018,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,32,1,1,64,20,1.078325044,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,64,1,0,64,20,1.07760001,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,128,1,3,64,20,1.070250012,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,256,1,2,64,20,1.065600011,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,32,2,2,64,20,1.079200022,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,64,2,3,64,20,1.079200022,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,128,2,0,64,20,1.069600042,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,256,2,1,64,20,1.067200024,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,32,3,3,64,20,1.078400016,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,64,3,2,64,20,1.078400016,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,128,3,1,64,20,1.070350036,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,256,3,0,64,20,1.065600011,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,32,4,0,64,20,1.078400016,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,64,4,1,64,20,1.078400016,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,128,4,2,64,20,1.069600042,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,256,4,3,64,20,1.067974977,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,1,32,0,0,64,20,0.8767999709,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,1,64,0,1,64,20,0.8744000457,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,1,128,0,2,64,20,0.8663499728,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,1,256,0,3,64,20,0.8663999848,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,1,32,1,1,64,20,0.8766500279,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,1,64,1,0,64,20,0.8751999587,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,1,128,1,3,64,20,0.8663999848,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,1,256,1,2,64,20,0.8663999848,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,1,32,2,2,64,20,0.8766749874,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,1,64,2,3,64,20,0.8759999648,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,1,128,2,0,64,20,0.8655999787,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,1,256,2,1,64,20,0.8662750013,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,1,32,3,3,64,20,0.8767999709,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,1,64,3,2,64,20,0.8759999648,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,1,128,3,1,64,20,0.8663999848,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,1,256,3,0,64,20,0.8663999848,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,1,32,4,0,64,20,0.8759999648,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,1,64,4,1,64,20,0.8759999648,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,1,128,4,2,64,20,0.8655999787,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,1,256,4,3,64,20,0.8662750013,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,1,32,0,0,64,20,1.109599974,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,1,64,0,1,64,20,1.114299987,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,1,128,0,2,64,20,1.076800004,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,1,256,0,3,64,20,1.09120002,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,1,32,1,1,64,20,1.108799968,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,1,64,1,0,64,20,1.113600004,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,1,128,1,3,64,20,1.07760001,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,1,256,1,2,64,20,1.090400014,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,1,32,2,2,64,20,1.109599974,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,1,64,2,3,64,20,1.114400011,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,1,128,2,0,64,20,1.077499986,PASS
