gpu,sm,cuda_runtime,seed,mode,rows,dim,dtype,scale,threads,group,order,captured_calls,replays,mean_us,check_status
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,32,0,0,64,20,0.9495999664,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,64,0,1,64,20,0.9479999542,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,128,0,2,64,20,0.9391999803,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,256,0,3,64,20,0.9367999621,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,32,1,1,64,20,0.9487999603,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,64,1,0,64,20,0.9487999603,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,128,1,3,64,20,0.9391999803,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,256,1,2,64,20,0.935999956,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,32,2,2,64,20,0.9487999603,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,64,2,3,64,20,0.9487999603,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,128,2,0,64,20,0.9391999803,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,256,2,1,64,20,0.9375499561,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,32,3,3,64,20,0.9503999725,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,64,3,2,64,20,0.9487000294,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,128,3,1,64,20,0.939925015,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,256,3,0,64,20,0.935999956,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,32,4,0,64,20,0.9487999603,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,64,4,1,64,20,0.9479999542,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,128,4,2,64,20,0.9391999803,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,256,4,3,64,20,0.9367999621,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,32,0,0,64,20,1.173599996,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,64,0,1,64,20,1.173599996,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,128,0,2,64,20,1.165550016,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,256,0,3,64,20,1.160799991,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,32,1,1,64,20,1.17279999,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,64,1,0,64,20,1.175174955,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,128,1,3,64,20,1.164800022,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,256,1,2,64,20,1.161599997,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,32,2,2,64,20,1.173599996,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,64,2,3,64,20,1.175200008,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,128,2,0,64,20,1.164000016,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,256,2,1,64,20,1.161599997,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,32,3,3,64,20,1.17279999,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,64,3,2,64,20,1.175200008,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,128,3,1,64,20,1.165574975,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,256,3,0,64,20,1.161599997,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,32,4,0,64,20,1.173599996,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,64,4,1,64,20,1.174400002,PASS
