mode,rows,dim,dtype,scale,threads,run1_median_us,run1_baseline128_us,run1_time_reduction_percent,run2_median_us,run2_baseline128_us,run2_time_reduction_percent,run3_median_us,run3_baseline128_us,run3_time_reduction_percent,min_time_reduction_percent,max_time_reduction_percent,stable_at_least_5_percent,any_run_regression_over_3_percent,all_runs_regression_over_3_percent
fused_int4,1,16,bf16,0.25,32,1.080000028,1.071999967,-0.7462743699879093,1.079200022,1.072799973,-0.5965743065879048,1.083199959,1.072799973,-0.9694245210425834,-0.9694245210425834,-0.5965743065879048,False,False,False
fused_int4,1,16,bf16,0.25,64,1.075999998,1.071999967,-0.3731372316357451,1.075999998,1.072799973,-0.29828719990094843,1.08227497,1.072799973,-0.8832025762923967,-0.8832025762923967,-0.29828719990094843,False,False,False
fused_int4,1,16,bf16,0.25,128,1.071999967,1.071999967,0.0,1.072799973,1.072799973,0.0,1.072799973,1.072799973,0.0,0.0,0.0,False,False,False
fused_int4,1,16,bf16,0.25,256,1.067200024,1.071999967,0.44775589064921517,1.071999967,1.072799973,0.07457177667172799,1.071199961,1.072799973,0.14914355334346707,0.07457177667172799,0.44775589064921517,False,False,False
fused_int4,1,16,bf16,1,32,1.107999962,1.099199988,-0.8005798850136081,1.108799968,1.099149976,-0.8779504354008205,1.104000024,1.094400045,-0.8771910275277905,-0.8779504354008205,-0.8005798850136081,False,False,False
fused_int4,1,16,bf16,1,64,1.107999962,1.099199988,-0.8005798850136081,1.108700037,1.099149976,-0.8688587734636766,1.106400043,1.094400045,-1.0964910002356554,-1.0964910002356554,-0.8005798850136081,False,False,False
fused_int4,1,16,bf16,1,128,1.099199988,1.099199988,0.0,1.099149976,1.099149976,0.0,1.094400045,1.094400045,0.0,0.0,0.0,False,False,False
fused_int4,1,16,bf16,1,256,1.095199957,1.099199988,0.3639038431285102,1.095199957,1.099149976,0.3593703394667691,1.092800032,1.094400045,0.14620001226334223,0.14620001226334223,0.3639038431285102,False,False,False
fused_int4,1,16,fp16,0.25,32,1.169575006,1.160799991,-0.7559454745033722,1.173599996,1.164000016,-0.8247405384915529,1.078400016,1.070250012,-0.7615046866264352,-0.8247405384915529,-0.7559454745033722,False,False,False
fused_int4,1,16,fp16,0.25,64,1.169599965,1.160799991,-0.758095629585509,1.173575036,1.164000016,-0.8225962086241045,1.078400016,1.070250012,-0.7615046866264352,-0.8225962086241045,-0.758095629585509,False,False,False
fused_int4,1,16,fp16,0.25,128,1.160799991,1.160799991,0.0,1.164000016,1.164000016,0.0,1.070250012,1.070250012,0.0,0.0,0.0,False,False,False
fused_int4,1,16,fp16,0.25,256,1.155999955,1.160799991,0.4135110300840794,1.159999985,1.164000016,0.3436452701904402,1.066400018,1.070250012,0.35972847062206714,0.3436452701904402,0.4135110300840794,False,False,False
fused_int4,1,16,fp16,1,32,1.170399971,1.162400004,-0.6882284043763676,1.173599996,1.164800022,-0.755492259082402,1.078400016,1.069600042,-0.8227350088305219,-0.8227350088305219,-0.6882284043763676,False,False,False
fused_int4,1,16,fp16,1,64,1.171199977,1.162400004,-0.7570520448828111,1.175174955,1.164800022,-0.8907050827648311,1.078400016,1.069600042,-0.8227350088305219,-0.8907050827648311,-0.7570520448828111,False,False,False
fused_int4,1,16,fp16,1,128,1.162400004,1.162400004,0.0,1.164800022,1.164800022,0.0,1.069600042,1.069600042,0.0,0.0,0.0,False,False,False
fused_int4,1,16,fp16,1,256,1.157599967,1.162400004,0.41294192906765614,1.161599997,1.164800022,0.2747274158276247,1.065600011,1.069600042,0.37397446175494453,0.2747274158276247,0.41294192906765614,False,False,False
fused_int4,1,256,bf16,0.0625,32,1.336800028,1.327999961,-0.6626556670508821,1.336675044,1.326400042,-0.7746533228773833,1.34150004,1.331999991,-0.7132168967109109,-0.7746533228773833,-0.6626556670508821,False,False,False
fused_int4,1,256,bf16,0.0625,64,1.336000022,1.327999961,-0.6024142496190876,1.336000022,1.326400042,-0.7237620398085065,1.340799965,1.331999991,-0.6606587131726238,-0.7237620398085065,-0.6024142496190876,False,False,False
fused_int4,1,256,bf16,0.0625,128,1.327999961,1.327999961,0.0,1.326400042,1.326400042,0.0,1.331999991,1.331999991,0.0,0.0,0.0,False,False,False
fused_int4,1,256,bf16,0.0625,256,1.323200017,1.327999961,0.36144157687968415,1.323899999,1.326400042,0.1884833323912094,1.328799967,1.331999991,0.24024204366530633,0.1884833323912094,0.36144157687968415,False,False,False
fused_int4,1,256,bf16,1,32,1.342399977,1.333600003,-0.6598660753002417,1.342300046,1.332799997,-0.7127887921206222,1.340799965,1.332749985,-0.6040127623786917,-0.7127887921206222,-0.6040127623786917,False,False,False
fused_int4,1,256,bf16,1,64,1.343199983,1.333600003,-0.7198545274748502,1.342399977,1.332799997,-0.7202866162671517,1.340799965,1.332749985,-0.6040127623786917,-0.7202866162671517,-0.6040127623786917,False,False,False
fused_int4,1,256,bf16,1,128,1.333600003,1.333600003,0.0,1.332799997,1.332799997,0.0,1.332749985,1.332749985,0.0,0.0,0.0,False,False,False
fused_int4,1,256,bf16,1,256,1.330299955,1.333600003,0.24745410862149209,1.331199985,1.332799997,0.120048919838045,1.328799967,1.332749985,0.2963810200305561,0.120048919838045,0.2963810200305561,False,False,False
fused_int4,1,256,fp16,0.0625,32,1.343199983,1.334400009,-0.6594704691732289,1.342399977,1.332799997,-0.7202866162671517,1.339074969,1.329599973,-0.7126200505721325,-0.7202866162671517,-0.6594704691732289,False,False,False
fused_int4,1,256,fp16,0.0625,64,1.342399977,1.334400009,-0.5995179815679874,1.340799965,1.332799997,-0.6002376964291178,1.339124981,1.329599973,-0.7163814826581572,-0.7163814826581572,-0.5995179815679874,False,False,False
fused_int4,1,256,fp16,0.0625,128,1.334400009,1.334400009,0.0,1.332799997,1.332799997,0.0,1.329599973,1.329599973,0.0,0.0,0.0,False,False,False
fused_int4,1,256,fp16,0.0625,256,1.329599973,1.334400009,0.3597149256314158,1.330299955,1.332799997,0.18757818169471419,1.327050012,1.329599973,0.19178407429165656,0.18757818169471419,0.3597149256314158,False,False,False
fused_int4,1,256,fp16,1,32,1.34800002,1.33840004,-0.717272841683414,1.342399977,1.332699973,-0.7278460416086485,1.346325036,1.337600034,-0.6522878123670806,-0.7278460416086485,-0.6522878123670806,False,False,False
fused_int4,1,256,fp16,1,64,1.347950008,1.33840004,-0.7135361412571317,1.340799965,1.332699973,-0.6077881116607564,1.346400008,1.337600034,-0.6578927763394526,-0.7135361412571317,-0.6077881116607564,False,False,False
fused_int4,1,256,fp16,1,128,1.33840004,1.33840004,0.0,1.332699973,1.332699973,0.0,1.337600034,1.337600034,0.0,0.0,0.0,False,False,False
fused_int4,1,256,fp16,1,256,1.336000022,1.33840004,0.1793199288906311,1.330399979,1.332699973,0.17258152972138285,1.335200015,1.337600034,0.17942725321431485,0.17258152972138285,0.17942725321431485,False,False,False
fused_int4,1,64,bf16,0.125,32,1.047124993,1.035999972,-1.0738437548915236,1.029499993,1.020000037,-0.9313682015091862,1.049599983,1.040000003,-0.9230749973372809,-1.0738437548915236,-0.9230749973372809,False,False,False
fused_int4,1,64,bf16,0.125,64,1.044800039,1.035999972,-0.8494273395598162,1.028800011,1.020000037,-0.8627425177240466,1.047999971,1.040000003,-0.7692276900887585,-0.8627425177240466,-0.7692276900887585,False,False,False
fused_int4,1,64,bf16,0.125,128,1.035999972,1.035999972,0.0,1.020000037,1.020000037,0.0,1.040000003,1.040000003,0.0,0.0,0.0,False,False,False
fused_int4,1,64,bf16,0.125,256,1.032800041,1.035999972,0.30887365699657776,1.018400025,1.020000037,0.15686391587845794,1.038399991,1.040000003,0.15384730724853357,0.15384730724853357,0.30887365699657776,False,False,False
fused_int4,1,64,bf16,1,32,1.046399958,1.035999972,-1.003859679641006,1.030400023,1.020000037,-1.0196064336025268,1.049599983,1.040000003,-0.9230749973372809,-1.0196064336025268,-0.9230749973372809,False,False,False
fused_int4,1,64,bf16,1,64,1.044800039,1.035999972,-0.8494273395598162,1.029600017,1.020000037,-0.9411744756632645,1.048799977,1.040000003,-0.8461513437130197,-0.9411744756632645,-0.8461513437130197,False,False,False
fused_int4,1,64,bf16,1,128,1.035999972,1.035999972,0.0,1.020000037,1.020000037,0.0,1.040000003,1.040000003,0.0,0.0,0.0,False,False,False
fused_int4,1,64,bf16,1,256,1.032800041,1.035999972,0.30887365699657776,1.018400025,1.020000037,0.15686391587845794,1.038399991,1.040000003,0.15384730724853357,0.15384730724853357,0.30887365699657776,False,False,False
fused_int4,1,64,fp16,0.125,32,1.031200029,1.020624954,-1.036137217550337,1.032800041,1.02479998,-0.7806460925184666,1.032000035,1.023949962,-0.786178358195988,-1.036137217550337,-0.7806460925184666,False,False,False
fused_int4,1,64,fp16,0.125,64,1.029600017,1.020624954,-0.8793693476555786,1.03439996,1.02479998,-0.9367662165645108,1.032800041,1.023949962,-0.8643077619451045,-0.9367662165645108,-0.8643077619451045,False,False,False
fused_int4,1,64,fp16,0.125,128,1.020624954,1.020624954,0.0,1.02479998,1.02479998,0.0,1.023949962,1.023949962,0.0,0.0,0.0,False,False,False
fused_int4,1,64,fp16,0.125,256,1.018400025,1.020624954,0.21799672752269572,1.021599956,1.02479998,0.31225839797538457,1.022250019,1.023949962,0.16601817111061568,0.16601817111061568,0.31225839797538457,False,False,False
fused_int4,1,64,fp16,1,32,1.031075045,1.020800043,-1.006563633148283,1.033550035,1.023999974,-0.9326231682111219,1.031200029,1.023199968,-0.7818668149137453,-1.006563633148283,-0.7818668149137453,False,False,False
fused_int4,1,64,fp16,1,64,1.030400023,1.020800043,-0.9404368726109169,1.03439996,1.023999974,-1.015623658599818,1.032800041,1.023199968,-0.9382401583499789,-1.015623658599818,-0.9382401583499789,False,False,False
fused_int4,1,64,fp16,1,128,1.020800043,1.020800043,0.0,1.023999974,1.023999974,0.0,1.023199968,1.023199968,0.0,0.0,0.0,False,False,False
fused_int4,1,64,fp16,1,256,1.018400025,1.020800043,0.23511147128741916,1.021500025,1.023999974,0.2441356507300263,1.020800043,1.023199968,0.23455092602191474,0.23455092602191474,0.2441356507300263,False,False,False
fused_int4,16384,16,bf16,0.25,32,8.867975324,3.325574845,-166.65992309068,8.864799887,3.324799985,-166.62656180804817,8.893600106,3.334350139,-166.72664043216722,-166.72664043216722,-166.62656180804817,False,True,True
fused_int4,16384,16,bf16,0.25,64,5.079200119,3.325574845,-52.7314932224898,5.078325048,3.324799985,-52.740768494679834,5.090399832,3.334350139,-52.66542563903185,-52.740768494679834,-52.66542563903185,False,True,True
fused_int4,16384,16,bf16,0.25,128,3.325574845,3.325574845,0.0,3.324799985,3.324799985,0.0,3.334350139,3.334350139,0.0,0.0,0.0,False,False,False
fused_int4,16384,16,bf16,0.25,256,3.244800121,3.325574845,2.428895086256877,3.243999928,3.324799985,2.430223092051653,3.254250064,3.334350139,2.4022694576407932,2.4022694576407932,2.430223092051653,False,False,False
fused_int4,16384,16,bf16,1,32,8.866400272,3.324799985,-166.67469658328935,8.862400055,3.324799985,-166.55438206758774,8.892799914,3.33510004,-166.64267360327818,-166.67469658328935,-166.55438206758774,False,True,True
fused_int4,16384,16,bf16,1,64,5.079200119,3.324799985,-52.76708800273893,5.077600107,3.324799985,-52.71896444621766,5.090374872,3.33510004,-52.63035024280711,-52.76708800273893,-52.63035024280711,False,True,True
fused_int4,16384,16,bf16,1,128,3.324799985,3.324799985,0.0,3.324799985,3.324799985,0.0,3.33510004,3.33510004,0.0,0.0,0.0,False,False,False
fused_int4,16384,16,bf16,1,256,3.243875131,3.324799985,2.4339766110772487,3.244800121,3.324799985,2.4061556893925418,3.253600001,3.33510004,2.4437059765079705,2.4061556893925418,2.4437059765079705,False,False,False
fused_int4,16384,16,fp16,0.25,32,8.852799982,3.303999826,-167.94190218580235,8.863899857,3.303200006,-168.34281426796537,8.867199719,3.307199851,-168.1180490595033,-168.34281426796537,-167.94190218580235,False,True,True
fused_int4,16384,16,fp16,0.25,64,5.075924844,3.303999826,-53.629694652411274,5.076799914,3.303200006,-53.69338534688779,5.078399926,3.307199851,-53.55588276482419,-53.69338534688779,-53.55588276482419,False,True,True
fused_int4,16384,16,fp16,0.25,128,3.303999826,3.303999826,0.0,3.303200006,3.303200006,0.0,3.307199851,3.307199851,0.0,0.0,0.0,False,False,False
fused_int4,16384,16,fp16,0.25,256,3.247199953,3.303999826,1.7191245760071694,3.248000145,3.303200006,1.6711025944458058,3.254399821,3.307199851,1.5965176698963357,1.5965176698963357,1.7191245760071694,False,False,False
fused_int4,16384,16,fp16,1,32,8.852799982,3.300699964,-168.20977606433541,8.854400367,3.301474825,-168.1953016861184,8.865600079,3.306400031,-168.13452685332376,-168.20977606433541,-168.13452685332376,False,True,True
fused_int4,16384,16,fp16,1,64,5.074299872,3.300699964,-53.734054211053994,5.074400082,3.301474825,-53.701007912425936,5.078399926,3.306400031,-53.593028017970056,-53.734054211053994,-53.593028017970056,False,True,True
fused_int4,16384,16,fp16,1,128,3.300699964,3.300699964,0.0,3.301474825,3.301474825,0.0,3.306400031,3.306400031,0.0,0.0,0.0,False,False,False
fused_int4,16384,16,fp16,1,256,3.244800121,3.300699964,1.693575411569892,3.247199953,3.301474825,1.643958378510435,3.253600001,3.306400031,1.5969038684055081,1.5969038684055081,1.693575411569892,False,False,False
fused_int4,16384,256,bf16,0.0625,32,9.395074844,8.577474952,-9.53194146966716,9.39199999,8.575125039,-9.526099587875647,9.465599805,8.547200263,-10.745033622011423,-10.745033622011423,-9.526099587875647,False,True,True
fused_int4,16384,256,bf16,0.0625,64,8.6368002,8.577474952,-0.6916400028212033,8.638399839,8.575125039,-0.7378877825364061,8.62160027,8.547200263,-0.8704605567985801,-0.8704605567985801,-0.6916400028212033,False,False,False
fused_int4,16384,256,bf16,0.0625,128,8.577474952,8.577474952,0.0,8.575125039,8.575125039,0.0,8.547200263,8.547200263,0.0,0.0,0.0,False,False,False
fused_int4,16384,256,bf16,0.0625,256,8.529599756,8.577474952,0.5581502279856432,8.520674706,8.575125039,0.6349800469655831,8.567199856,8.547200263,-0.23398998952413042,-0.23398998952413042,0.6349800469655831,False,False,False
fused_int4,16384,256,bf16,1,32,9.398400038,8.575999737,-9.589556042683455,9.427200258,8.587949723,-9.77242021750946,9.463199973,8.583199978,-10.252586415970377,-10.252586415970377,-9.589556042683455,False,True,True
fused_int4,16384,256,bf16,1,64,8.651199937,8.575999737,-0.8768680306222354,8.649600297,8.587949723,-0.7178730196206073,8.656799793,8.583199978,-0.857486895198134,-0.8768680306222354,-0.7178730196206073,False,False,False
fused_int4,16384,256,bf16,1,128,8.575999737,8.575999737,0.0,8.587949723,8.587949723,0.0,8.583199978,8.583199978,0.0,0.0,0.0,False,False,False
fused_int4,16384,256,bf16,1,256,8.524800092,8.575999737,0.5970108042226974,8.527199924,8.587949723,0.7073841948247783,8.554250002,8.583199978,0.3372865140530701,0.3372865140530701,0.7073841948247783,False,False,False
fused_int4,16384,256,fp16,0.0625,32,9.432800114,8.657500148,-8.955240574602886,9.42960009,8.610399812,-9.514079437499623,9.508799762,8.647999913,-9.953744885057336,-9.953744885057336,-8.955240574602886,False,True,True
fused_int4,16384,256,fp16,0.0625,64,8.686400205,8.657500148,-0.33381526429052677,8.69999975,8.610399812,-1.0406013652830337,8.743924648,8.647999913,-1.1092129505667847,-1.1092129505667847,-0.33381526429052677,False,False,False
fused_int4,16384,256,fp16,0.0625,128,8.657500148,8.657500148,0.0,8.610399812,8.610399812,0.0,8.647999913,8.647999913,0.0,0.0,0.0,False,False,False
fused_int4,16384,256,fp16,0.0625,256,8.598399907,8.657500148,0.6826478774436318,8.587999642,8.610399812,0.2601524956922785,8.590400219,8.647999913,0.6660464220566653,0.2601524956922785,0.6826478774436318,False,False,False
fused_int4,16384,256,fp16,1,32,9.417600185,8.584800363,-9.700864164405276,9.440000355,8.653599769,-9.087554393457653,9.49279964,8.628799766,-10.012978599925471,-10.012978599925471,-9.087554393457653,False,True,True
