mode,dim,rows,dtype,scale,activated,round,original128_ms,original256_ms,auto_ms,baseline_ms,reduction_percent
hadamard,32,17,fp16,1.0,False,2,0.0009167750366032123,0.0009159999899566174,0.0009176000021398067,0.0009167750366032123,-0.08998560210049522
hadamard_int4,4,256,bf16,1.0,True,2,0.0011711499653756618,0.0011504000052809716,0.0010599999688565731,0.0011504000052809716,7.858139430581734
hadamard,256,17,fp16,1.0,False,2,0.0010231999680399896,0.001182399969547987,0.0010223999619483949,0.0010231999680399896,0.07818668066684742
hadamard,1,16384,fp16,1.0,True,2,0.002922400087118149,0.00208320003002882,0.0009096000343561172,0.00208320003002882,56.33640451015482
hadamard,16,16384,fp16,1.0,True,2,0.002960800006985664,0.0022143999114632605,0.0016160000115633011,0.0022143999114632605,27.023117947315168
hadamard,256,17,bf16,1.0,False,2,0.0010463999584317206,0.0011872000060975552,0.0010470500215888023,0.0010463999584317206,-0.06212377512475609
hadamard_int4,4,256,fp16,1.0,True,2,0.001158399973064661,0.0011432000435888767,0.0009688000194728374,0.0011432000435888767,15.2554249008372
hadamard_int4,8,16384,fp16,1.0,True,2,0.0032639998942613603,0.003192000091075897,0.001458400022238493,0.003192000091075897,54.31077754929123
hadamard,1,4096,fp16,1.0,True,2,0.0014936000108718873,0.0012728000059723855,0.0008582750335335732,0.0012728000059723855,32.56795808404528
hadamard,2,16384,fp16,1.0,True,2,0.0029231250286102296,0.002112000063061714,0.0010255999863147736,0.002112000063061714,51.439396037328386
hadamard,16,16384,bf16,1.0,True,2,0.002961600013077259,0.00221599992364645,0.001600000075995922,0.00221599992364645,27.79782801783197
hadamard,8,4096,fp16,1.0,True,2,0.0015320000238716602,0.0013327999971807004,0.0010343999601900578,0.0013327999971807004,22.38895840500108
hadamard_int4,2,1,fp16,1.0,True,2,0.001099925022572279,0.0010967999696731567,0.001027975045144558,0.0010967999696731567,6.275066231913595
hadamard_int4,64,65,fp16,1.0,False,2,0.001095999963581562,0.0011144000105559825,0.0010967999696731567,0.001095999963581562,-0.07299325895782083
hadamard_int4,16,65,bf16,1.0,False,2,0.001134399976581335,0.0011479999870061875,0.0011351999826729297,0.001134399976581335,-0.07052240022127343
hadamard,8,4097,bf16,1.0,True,2,0.0015296000055968761,0.0013295999728143216,0.0010343999601900578,0.0013295999728143216,22.202167468417088
hadamard_int4,8,65,bf16,1.0,True,2,0.0011231999844312668,0.001140000019222498,0.0010647750459611416,0.0011231999844312668,5.201650576919182
hadamard_int4,8,64,fp16,1.0,True,2,0.0011288000270724297,0.0011391500011086464,0.0009920000098645686,0.0011288000270724297,12.119065727049561
hadamard_int4,2,4096,bf16,1.0,True,2,0.001775199919939041,0.0015863999724388123,0.0010528000071644782,0.0015863999724388123,33.63590358956054
