phase,dtype,dim,rows,normalized,shape,scale,scope,threads,method,run1_candidate_us,run1_candidate_ms,run1_thread128_us,run1_dao_us,run1_time_reduction_vs128_percent,run1_dao_over_candidate,run1_time_reduction_vs_dao_percent,run1_near_tie_with_dao,run1_range_percent_of_median,run1_population_cv_percent,run2_candidate_us,run2_candidate_ms,run2_thread128_us,run2_dao_us,run2_time_reduction_vs128_percent,run2_dao_over_candidate,run2_time_reduction_vs_dao_percent,run2_near_tie_with_dao,run2_range_percent_of_median,run2_population_cv_percent,run3_candidate_us,run3_candidate_ms,run3_thread128_us,run3_dao_us,run3_time_reduction_vs128_percent,run3_dao_over_candidate,run3_time_reduction_vs_dao_percent,run3_near_tie_with_dao,run3_range_percent_of_median,run3_population_cv_percent,stable_at_least_5_percent,any_run_regression,every_run_regression,any_run_regression_over_3_percent,every_run_regression_over_3_percent,minimum_time_reduction_percent,maximum_time_reduction_percent,maximum_regression_vs128_percent,all_runs_no_slower_than_dao,all_runs_faster_than_dao_by_more_than_1_percent,any_run_near_tie_with_dao
screen,bf16,64,1,False,"[1, 64]",1.0,graph,32,thread32,1.0192000307142735,0.0010192000307142734,1.0103000327944756,1.0263999924063683,-0.88092622299345,1.0070643264080839,0.7014771770618045,True,0.07849353095427573,0.038441750074668775,1.0192000307142735,0.0010192000307142734,1.009599957615137,1.0247999802231789,-0.9508789126550177,1.0054944557889984,0.5464431710552775,True,0.15698706190855147,0.06276526475990687,1.0215999558568,0.0010215999558568002,1.0127999819815159,1.0287499986588955,-0.8688757930334079,1.0069988675715034,0.6950223875009875,True,0.15661827058787278,0.0766789321804924,False,True,True,False,False,-0.9508789126550177,-0.8688757930334079,0.9508789126550177,True,False,True
screen,bf16,64,1,False,"[1, 64]",1.0,graph,64,thread64,1.0192000307142735,0.0010192000307142734,1.0103000327944756,1.0263999924063683,-0.88092622299345,1.0070643264080839,0.7014771770618045,True,0.07849353095427573,0.03139248416785477,1.0200000368058681,0.001020000036805868,1.009599957615137,1.0247999802231789,-1.0301188220429358,1.0047058267099105,0.4683785626406256,True,0.15686393386806466,0.05716566011058891,1.0215999558568,0.0010215999558568002,1.0127999819815159,1.0287499986588955,-0.8688757930334079,1.0069988675715034,0.6950223875009875,True,0.15660915427410166,0.0495241621412733,False,True,True,False,False,-1.0301188220429358,-0.8688757930334079,1.0301188220429358,True,False,True
screen,bf16,64,1,False,"[1, 64]",1.0,graph,128,thread128,1.0103000327944756,0.0010103000327944755,1.0103000327944756,1.0263999924063683,0.0,1.015935820141825,1.5685853206357403,False,0.15836078382642205,0.061606498294400076,1.009599957615137,0.001009599957615137,1.009599957615137,1.0247999802231789,0.0,1.0150554905370113,1.4832184720311448,False,0.07923990938791828,0.03880716874681447,1.0127999819815159,0.0010127999819815158,1.0127999819815159,1.0287499986588955,0.0,1.0157484369679528,1.5504268965416679,False,15.876778885460286,6.134777558471806,False,False,False,False,False,0.0,0.0,0.0,True,True,False
screen,bf16,64,1,False,"[1, 64]",1.0,graph,256,thread256,1.0072000324726105,0.0010072000324726105,1.0103000327944756,1.0263999924063683,0.3068395745064456,1.019062707818449,1.8706118546185868,False,0.23827691274343654,0.09256670219256999,1.0064000263810158,0.0010064000263810158,1.009599957615137,1.0247999802231789,0.31695041288236636,1.0182829425276634,1.7954678178424666,False,0.15898371832749128,0.05947680456214102,1.0088000446557999,0.0010088000446558,1.0127999819815159,1.0287499986588955,0.3949385265479832,1.0197759249801606,1.939242189949253,False,0.07929350950912803,0.03883341069269777,False,False,False,False,False,0.3068395745064456,0.3949385265479832,0.0,True,True,False
screen,bf16,64,1,False,"[1, 64]",1.0,eager,32,thread32,5.646719932556152,0.005646719932556153,5.693439841270447,13.685760498046875,0.8205919447085819,2.423665537074302,58.74018156782732,False,1.4507542203490449,0.5178934760849649,5.765119791030884,0.005765119791030884,5.780479907989502,13.93664002418518,0.26572390533505796,2.4174068413751235,58.63335939633738,False,1.9538234370311982,0.7423645658862186,6.650879979133606,0.006650879979133606,6.604800224304199,14.873600006103516,-0.697670682904894,2.2363356507361094,55.28399327395952,False,2.999903659375399,0.982980513382249,False,True,False,False,False,-0.697670682904894,0.8205919447085819,0.697670682904894,True,True,False
screen,bf16,64,1,False,"[1, 64]",1.0,eager,64,thread64,5.67296028137207,0.00567296028137207,5.693439841270447,13.685760498046875,0.3597045102668006,2.4124548417844407,58.54844688987747,False,2.4368205254071174,0.8269544875112628,5.765119791030884,0.005765119791030884,5.780479907989502,13.93664002418518,0.26572390533505796,2.4174068413751235,58.63335939633738,False,2.4866871940866804,0.8569428843622262,6.630399823188782,0.006630399823188781,6.604800224304199,14.873600006103516,-0.38759081297239373,2.2432433039837862,55.42168795403979,False,3.2360044282771474,1.0773267231129375,False,True,False,False,False,-0.38759081297239373,0.3597045102668006,0.38759081297239373,True,True,False
screen,bf16,64,1,False,"[1, 64]",1.0,eager,128,thread128,5.693439841270447,0.005693439841270447,5.693439841270447,13.685760498046875,0.0,2.4037771329103927,58.39880551699726,False,1.6187069377147651,0.5542167439699416,5.780479907989502,0.005780479907989502,5.780479907989502,13.93664002418518,0.0,2.4109832135083846,58.523145478693216,False,1.7714720795014578,0.7058521666472465,6.604800224304199,0.006604800224304199,6.604800224304199,14.873600006103516,0.0,2.251937908942646,55.593802296728036,False,2.0930300976011584,0.7917411133274895,False,False,False,False,False,0.0,0.0,0.0,True,True,False
screen,bf16,64,1,False,"[1, 64]",1.0,eager,256,thread256,5.678079724311829,0.005678079724311828,5.693439841270447,13.685760498046875,0.2697862344531399,2.410279735849528,58.511039813080465,False,3.3363331187330316,1.1990144648384304,5.744799971580505,0.005744799971580505,5.780479907989502,13.93664002418518,0.6172486882911166,2.425957403761604,58.77916081917039,False,2.4954724312434666,0.8593558316900096,6.660959720611572,0.006660959720611572,6.604800224304199,14.873600006103516,-0.8502830426379671,2.232951500979487,55.21622392777681,False,1.0016611729720966,0.34900164237960185,False,True,False,False,False,-0.8502830426379671,0.6172486882911166,0.8502830426379671,True,True,False
screen,bf16,64,1,True,"[1, 64]",0.125,graph,32,thread32,1.0192000307142735,0.0010192000307142734,1.0103999637067318,1.0247999802231789,-0.870948864176313,1.0054944557889984,0.5464431710552775,True,0.3139649860370151,0.1215027466492731,1.0191749781370163,0.0010191749781370163,1.009599957615137,1.0255999863147736,-0.9483974766101522,1.006304126686373,0.6264633642248607,True,0.1569909208440446,0.04979018551194594,1.0215999558568,0.0010215999558568002,1.0135499760508537,1.0288000106811523,-0.7942361004547482,1.0070478221764543,0.6998498006998699,True,0.6264730823514911,0.24228879953158694,False,True,True,False,False,-0.9483974766101522,-0.7942361004547482,0.9483974766101522,True,False,True
screen,bf16,64,1,True,"[1, 64]",0.125,graph,64,thread64,1.0192000307142735,0.0010192000307142734,1.0103999637067318,1.0247999802231789,-0.870948864176313,1.0054944557889984,0.5464431710552775,True,0.07849353095427573,0.038441750074668775,1.0200000368058681,0.001020000036805868,1.009599957615137,1.0255999863147736,-1.0301188220429358,1.0054901463792507,0.5460169250808389,True,0.32107801131958635,0.12617828673181658,1.0215999558568,0.0010215999558568002,1.0135499760508537,1.0288000106811523,-0.7942361004547482,1.0070478221764543,0.6998498006998699,True,0.39888430905543504,0.1387399669174151,False,True,True,False,False,-1.0301188220429358,-0.7942361004547482,1.0301188220429358,True,False,True
