dtype,batch,seq,heads,dim,rows,method,group,order,repeats,kernel_us,logical_io_bytes,logical_GBs,input_working_set_bytes,seed,input_read_only,scale,block_dim,warmup,timer,vector_scale_enabled,kernel_ms
fp16,1,257,1,256,257,scalar_transform,0,0,5,296.332001686,263168,0.888084980706,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.296332001686
fp16,1,257,1,256,257,vector_transform,0,1,5,39.8400008678,263168,6.60562234607,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.0398400008678
fp16,1,257,1,256,257,scalar_split,0,2,5,414.224004745,428676,1.03488932338,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.414224004745
fp16,1,257,1,256,257,vector_split,0,3,5,158.039999008,428676,2.71245256068,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.158039999008
fp16,1,257,1,256,257,scalar_fused,0,4,5,394.359993935,165508,0.419687601546,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.394359993935
fp16,1,257,1,256,257,vector_fused,0,5,5,149.684000015,165508,1.10571604168,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.149684000015
fp16,1,257,1,256,257,quant_only,0,6,5,118.400001526,165508,1.39787160361,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.118400001526
fp16,1,257,1,256,257,vector_transform,1,0,5,39.6719992161,263168,6.63359561404,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.0396719992161
fp16,1,257,1,256,257,scalar_split,1,1,5,414.043998718,428676,1.03533924251,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.414043998718
fp16,1,257,1,256,257,vector_split,1,2,5,157.980000973,428676,2.71348270262,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.157980000973
fp16,1,257,1,256,257,scalar_fused,1,3,5,394.600009918,165508,0.419432326001,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.394600009918
fp16,1,257,1,256,257,vector_fused,1,4,5,149.451994896,165508,1.10743252451,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.149451994896
fp16,1,257,1,256,257,quant_only,1,5,5,118.739998341,165508,1.39386897687,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.118739998341
fp16,1,257,1,256,257,scalar_transform,1,6,5,296.072006226,263168,0.888864852017,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.296072006226
fp16,1,257,1,256,257,scalar_split,2,0,5,414.415979385,428676,1.0344099198,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.414415979385
fp16,1,257,1,256,257,vector_split,2,1,5,157.811999321,428676,2.71637139029,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.157811999321
fp16,1,257,1,256,257,scalar_fused,2,2,5,394.023990631,165508,0.420045489451,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.394023990631
fp16,1,257,1,256,257,vector_fused,2,3,5,149.487996101,165508,1.10716582145,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.149487996101
fp16,1,257,1,256,257,quant_only,2,4,5,118.936002254,165508,1.39157191147,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.118936002254
fp16,1,257,1,256,257,scalar_transform,2,5,5,296.047997475,263168,0.888936936729,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.296047997475
fp16,1,257,1,256,257,vector_transform,2,6,5,39.8479998112,263168,6.60429635733,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.0398479998112
fp16,1,257,1,256,257,vector_split,3,0,5,158.06800127,428676,2.71197204086,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.15806800127
fp16,1,257,1,256,257,scalar_fused,3,1,5,394.287991524,165508,0.419764242275,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.394287991524
fp16,1,257,1,256,257,vector_fused,3,2,5,149.451994896,165508,1.10743252451,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.149451994896
fp16,1,257,1,256,257,quant_only,3,3,5,118.747997284,165508,1.39377508493,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.118747997284
fp16,1,257,1,256,257,scalar_transform,3,4,5,296.199989319,263168,0.888480788285,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.296199989319
fp16,1,257,1,256,257,vector_transform,3,5,5,39.7920012474,263168,6.61359046417,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.0397920012474
fp16,1,257,1,256,257,scalar_split,3,6,5,414.387989044,428676,1.03447979028,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.414387989044
fp16,1,257,1,256,257,scalar_fused,4,0,5,394.244003296,165508,0.419811077953,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.394244003296
fp16,1,257,1,256,257,vector_fused,4,1,5,149.595999718,165508,1.10636648247,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.149595999718
fp16,1,257,1,256,257,quant_only,4,2,5,118.508005142,165508,1.39659763745,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.118508005142
fp16,1,257,1,256,257,scalar_transform,4,3,5,296.496009827,263168,0.887593732387,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.296496009827
fp16,1,257,1,256,257,vector_transform,4,4,5,39.8039996624,263168,6.61159688052,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.0398039996624
fp16,1,257,1,256,257,scalar_split,4,5,5,414.292001724,428676,1.03471946892,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.414292001724
fp16,1,257,1,256,257,vector_split,4,6,5,158.264005184,428676,2.70861336727,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.158264005184
bf16,1,257,1,256,257,scalar_transform,0,0,5,296.316003799,263168,0.888132927772,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.296316003799
bf16,1,257,1,256,257,vector_transform,0,1,5,39.7960007191,263168,6.61292580271,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.0397960007191
bf16,1,257,1,256,257,scalar_split,0,2,5,414.603996277,428676,1.03394082992,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.414603996277
bf16,1,257,1,256,257,vector_split,0,3,5,158.355998993,428676,2.70703985151,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.158355998993
bf16,1,257,1,256,257,scalar_fused,0,4,5,394.519996643,165508,0.419517391788,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.394519996643
bf16,1,257,1,256,257,vector_fused,0,5,5,149.60000515,165508,1.10633686031,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.14960000515
bf16,1,257,1,256,257,quant_only,0,6,5,119.239997864,165508,1.38802417784,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.119239997864
bf16,1,257,1,256,257,vector_transform,1,0,5,40.136000514,263168,6.55690643386,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.040136000514
bf16,1,257,1,256,257,scalar_split,1,1,5,414.455986023,428676,1.0343100702,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.414455986023
bf16,1,257,1,256,257,vector_split,1,2,5,158.619999886,428676,2.70253436079,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.158619999886
bf16,1,257,1,256,257,scalar_fused,1,3,5,394.664001465,165508,0.419364318473,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.394664001465
bf16,1,257,1,256,257,vector_fused,1,4,5,149.728000164,165508,1.105391108,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.149728000164
bf16,1,257,1,256,257,quant_only,1,5,5,119.071996212,165508,1.3899825758,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.119071996212
bf16,1,257,1,256,257,scalar_transform,1,6,5,296.104001999,263168,0.888768804959,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.296104001999
bf16,1,257,1,256,257,scalar_split,2,0,5,414.508008957,428676,1.03418025885,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.414508008957
bf16,1,257,1,256,257,vector_split,2,1,5,158.363997936,428676,2.70690311931,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.158363997936
bf16,1,257,1,256,257,scalar_fused,2,2,5,394.679999352,165508,0.419347320036,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.394679999352
bf16,1,257,1,256,257,vector_fused,2,3,5,149.955999851,165508,1.10371042282,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.149955999851
bf16,1,257,1,256,257,quant_only,2,4,5,118.97200346,165508,1.39115081857,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.11897200346
bf16,1,257,1,256,257,scalar_transform,2,5,5,296.111989021,263168,0.888744832216,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.296111989021
bf16,1,257,1,256,257,vector_transform,2,6,5,39.8160010576,263168,6.60960400365,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.0398160010576
bf16,1,257,1,256,257,vector_split,3,0,5,158.288002014,428676,2.70820273517,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.158288002014
bf16,1,257,1,256,257,scalar_fused,3,1,5,394.424009323,165508,0.419619485852,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.394424009323
bf16,1,257,1,256,257,vector_fused,3,2,5,149.668002129,165508,1.10583423074,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.149668002129
bf16,1,257,1,256,257,quant_only,3,3,5,118.975996971,165508,1.39110412363,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.118975996971
bf16,1,257,1,256,257,scalar_transform,3,4,5,297.555994987,263168,0.884431852939,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.297555994987
bf16,1,257,1,256,257,vector_transform,3,5,5,39.9720013142,263168,6.58380844961,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.0399720013142
bf16,1,257,1,256,257,scalar_split,3,6,5,415.019989014,428676,1.03290446568,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.415019989014
bf16,1,257,1,256,257,scalar_fused,4,0,5,394.819998741,165508,0.419198623494,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.394819998741
bf16,1,257,1,256,257,vector_fused,4,1,5,149.811995029,165508,1.10477135003,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.149811995029
bf16,1,257,1,256,257,quant_only,4,2,5,119.192004204,165508,1.38858307741,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.119192004204
bf16,1,257,1,256,257,scalar_transform,4,3,5,296.420001984,263168,0.887821328652,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.296420001984
bf16,1,257,1,256,257,vector_transform,4,4,5,39.9639993906,263168,6.58512671437,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.0399639993906
bf16,1,257,1,256,257,scalar_split,4,5,5,414.483976364,428676,1.03424022265,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.414483976364
bf16,1,257,1,256,257,vector_split,4,6,5,158.34800005,428676,2.70717659753,131584,2909,true,1,32,3,acl_timeline_event_ms,true,0.15834800005
