dtype,batch,seq,heads,dim,rows,method,group,order,repeats,kernel_us,logical_io_bytes,logical_GBs,input_working_set_bytes,seed,input_read_only,scale,block_dim,warmup,timer,vector_scale_enabled,kernel_ms
fp16,1,16384,1,16,16384,scalar_transform,0,0,5,903.092002869,1048576,1.16109543288,524288,2909,true,1,32,3,acl_timeline_event_ms,false,0.903092002869
fp16,1,16384,1,16,16384,vector_transform,0,1,5,641.576004028,1048576,1.63437534044,524288,2909,true,1,32,3,acl_timeline_event_ms,false,0.641576004028
fp16,1,16384,1,16,16384,scalar_split,0,2,5,1508.61597061,1769472,1.17291082321,524288,2909,true,1,32,3,acl_timeline_event_ms,false,1.50861597061
fp16,1,16384,1,16,16384,vector_split,0,3,5,1247.42803574,1769472,1.41849625735,524288,2909,true,1,32,3,acl_timeline_event_ms,false,1.24742803574
fp16,1,16384,1,16,16384,scalar_fused,0,4,5,1290.3960228,720896,0.558662602228,524288,2909,true,1,32,3,acl_timeline_event_ms,false,1.2903960228
fp16,1,16384,1,16,16384,vector_fused,0,5,5,1064.48001862,720896,0.677228306209,524288,2909,true,1,32,3,acl_timeline_event_ms,false,1.06448001862
fp16,1,16384,1,16,16384,quant_only,0,6,5,606.612014771,720896,1.18839716729,524288,2909,true,1,32,3,acl_timeline_event_ms,false,0.606612014771
fp16,1,16384,1,16,16384,vector_transform,1,0,5,642.920017242,1048576,1.63095870696,524288,2909,true,1,32,3,acl_timeline_event_ms,false,0.642920017242
fp16,1,16384,1,16,16384,scalar_split,1,1,5,1509.39598083,1769472,1.17230469835,524288,2909,true,1,32,3,acl_timeline_event_ms,false,1.50939598083
fp16,1,16384,1,16,16384,vector_split,1,2,5,1248.04801941,1769472,1.41779160135,524288,2909,true,1,32,3,acl_timeline_event_ms,false,1.24804801941
fp16,1,16384,1,16,16384,scalar_fused,1,3,5,1290.91997147,720896,0.558435856548,524288,2909,true,1,32,3,acl_timeline_event_ms,false,1.29091997147
fp16,1,16384,1,16,16384,vector_fused,1,4,5,1063.6639595,720896,0.67774788603,524288,2909,true,1,32,3,acl_timeline_event_ms,false,1.0636639595
fp16,1,16384,1,16,16384,quant_only,1,5,5,606.464004517,720896,1.18868720094,524288,2909,true,1,32,3,acl_timeline_event_ms,false,0.606464004517
fp16,1,16384,1,16,16384,scalar_transform,1,6,5,904.148006439,1048576,1.15973932645,524288,2909,true,1,32,3,acl_timeline_event_ms,false,0.904148006439
fp16,1,16384,1,16,16384,scalar_split,2,0,5,1507.82003403,1769472,1.17352997047,524288,2909,true,1,32,3,acl_timeline_event_ms,false,1.50782003403
fp16,1,16384,1,16,16384,vector_split,2,1,5,1248.40803146,1769472,1.41738274298,524288,2909,true,1,32,3,acl_timeline_event_ms,false,1.24840803146
fp16,1,16384,1,16,16384,scalar_fused,2,2,5,1290.93198776,720896,0.558430658496,524288,2909,true,1,32,3,acl_timeline_event_ms,false,1.29093198776
fp16,1,16384,1,16,16384,vector_fused,2,3,5,1063.89198303,720896,0.677602624606,524288,2909,true,1,32,3,acl_timeline_event_ms,false,1.06389198303
fp16,1,16384,1,16,16384,quant_only,2,4,5,608.243989944,720896,1.18520858721,524288,2909,true,1,32,3,acl_timeline_event_ms,false,0.608243989944
fp16,1,16384,1,16,16384,scalar_transform,2,5,5,902.91595459,1048576,1.16132182034,524288,2909,true,1,32,3,acl_timeline_event_ms,false,0.90291595459
fp16,1,16384,1,16,16384,vector_transform,2,6,5,641.552019119,1048576,1.6344364428,524288,2909,true,1,32,3,acl_timeline_event_ms,false,0.641552019119
fp16,1,16384,1,16,16384,vector_split,3,0,5,1247.56803513,1769472,1.41833707676,524288,2909,true,1,32,3,acl_timeline_event_ms,false,1.24756803513
fp16,1,16384,1,16,16384,scalar_fused,3,1,5,1290.87600708,720896,0.55845487564,524288,2909,true,1,32,3,acl_timeline_event_ms,false,1.29087600708
fp16,1,16384,1,16,16384,vector_fused,3,2,5,1064.27202225,720896,0.677360660555,524288,2909,true,1,32,3,acl_timeline_event_ms,false,1.06427202225
fp16,1,16384,1,16,16384,quant_only,3,3,5,606.739997864,720896,1.18814649197,524288,2909,true,1,32,3,acl_timeline_event_ms,false,0.606739997864
fp16,1,16384,1,16,16384,scalar_transform,3,4,5,904.012012482,1048576,1.15991379044,524288,2909,true,1,32,3,acl_timeline_event_ms,false,0.904012012482
fp16,1,16384,1,16,16384,vector_transform,3,5,5,640.503978729,1048576,1.63711082963,524288,2909,true,1,32,3,acl_timeline_event_ms,false,0.640503978729
fp16,1,16384,1,16,16384,scalar_split,3,6,5,1511.80000305,1769472,1.1704405321,524288,2909,true,1,32,3,acl_timeline_event_ms,false,1.51180000305
fp16,1,16384,1,16,16384,scalar_fused,4,0,5,1292.28801727,720896,0.55784468351,524288,2909,true,1,32,3,acl_timeline_event_ms,false,1.29228801727
fp16,1,16384,1,16,16384,vector_fused,4,1,5,1064.15195465,720896,0.677437086733,524288,2909,true,1,32,3,acl_timeline_event_ms,false,1.06415195465
fp16,1,16384,1,16,16384,quant_only,4,2,5,605.772018433,720896,1.19004506327,524288,2909,true,1,32,3,acl_timeline_event_ms,false,0.605772018433
fp16,1,16384,1,16,16384,scalar_transform,4,3,5,903.75995636,1048576,1.16023728715,524288,2909,true,1,32,3,acl_timeline_event_ms,false,0.90375995636
fp16,1,16384,1,16,16384,vector_transform,4,4,5,641.491985321,1048576,1.63458940095,524288,2909,true,1,32,3,acl_timeline_event_ms,false,0.641491985321
fp16,1,16384,1,16,16384,scalar_split,4,5,5,1509.65995789,1769472,1.17209971077,524288,2909,true,1,32,3,acl_timeline_event_ms,false,1.50965995789
fp16,1,16384,1,16,16384,vector_split,4,6,5,1246.71602249,1769472,1.41930637617,524288,2909,true,1,32,3,acl_timeline_event_ms,false,1.24671602249
bf16,1,16384,1,16,16384,scalar_transform,0,0,5,902.388000488,1048576,1.16200126712,524288,2909,true,1,32,3,acl_timeline_event_ms,false,0.902388000488
bf16,1,16384,1,16,16384,vector_transform,0,1,5,642.708015442,1048576,1.63149669026,524288,2909,true,1,32,3,acl_timeline_event_ms,false,0.642708015442
bf16,1,16384,1,16,16384,scalar_split,0,2,5,1507.32002258,1769472,1.17391925636,524288,2909,true,1,32,3,acl_timeline_event_ms,false,1.50732002258
bf16,1,16384,1,16,16384,vector_split,0,3,5,1247.02796936,1769472,1.41895133347,524288,2909,true,1,32,3,acl_timeline_event_ms,false,1.24702796936
