dtype,batch,seq,heads,dim,scale,method,rows,repeats,seed,input_read_only,input_working_set_bytes,logical_io_bytes,run1_count,run1_median_ms,run1_mean_ms,run1_minimum_ms,run1_maximum_ms,run1_population_stddev_ms,run1_cv_percent,run1_range_over_median_percent,run2_count,run2_median_ms,run2_mean_ms,run2_minimum_ms,run2_maximum_ms,run2_population_stddev_ms,run2_cv_percent,run2_range_over_median_percent,run3_count,run3_median_ms,run3_mean_ms,run3_minimum_ms,run3_maximum_ms,run3_population_stddev_ms,run3_cv_percent,run3_range_over_median_percent,across_run_medians_count,across_run_medians_median_ms,across_run_medians_mean_ms,across_run_medians_minimum_ms,across_run_medians_maximum_ms,across_run_medians_population_stddev_ms,across_run_medians_cv_percent,across_run_medians_range_over_median_percent,comparison_role,run1_baseline_over_candidate,run1_time_reduction_percent,run2_baseline_over_candidate,run2_time_reduction_percent,run3_baseline_over_candidate,run3_time_reduction_percent,minimum_time_reduction_percent,maximum_time_reduction_percent,stable_candidate_every_run_at_least_5_percent,every_run_faster,any_run_slowdown,every_run_slowdown,any_run_regression_over_3_percent,every_run_regression_over_3_percent
bf16,1,1,1,64,1.0,baseline_fused,1,100,2909,true,128,164,5,0.0221632003784,0.02218495988846,0.0221119999886,0.0222528004646,0.000053331792376704636,0.24039616318822535,0.6352894599880148,5,0.0221567988396,0.02219135951996,0.0221375989914,0.0222656011581,0.00005846183267948197,0.263444123947875,0.5777105602061368,5,0.0221632003784,0.02217727994918,0.0221311998367,0.0222207999229,0.00003467861085417268,0.15636999187294343,0.4042741331135734,3,0.0221632003784,0.022161066532133333,0.0221567988396,0.0221632003784,0.000003017714330338592,0.013617189073291826,0.028883639053489694,baseline,,,,,,,,,,,,,,
bf16,1,1,1,64,1.0,baseline_split,1,100,2909,true,128,420,5,0.0352512001991,0.03523200035094,0.0351424002647,0.0352640008926,0.000045254858287612144,0.12844816597648773,0.3449545752008349,5,0.0352575993538,0.0352371201515,0.0351487994194,0.0352640008926,0.00004441474005353045,0.12604531772906466,0.3267422493630055,5,0.0352575993538,0.035235839366920004,0.0351487994194,0.0352575993538,0.000043519973760001565,0.12351053513105423,0.30858576985978947,3,0.0352575993538,0.03525546630223334,0.0352512001991,0.0352575993538,0.000003016590454823883,0.008556376560059257,0.018149717556751488,baseline,,,,,,,,,,,,,,
bf16,1,1,1,64,1.0,baseline_transform,1,100,2909,true,128,256,5,0.0158975994587,0.015924479961400001,0.0158783996105,0.0160064005852,0.00004914302445820735,0.30860049795865946,0.8051591375951542,5,0.0159039998055,0.01590143990518,0.0158464002609,0.0159552001953,0.00004590195157775235,0.28866537779889656,0.6841042236580928,5,0.0158975994587,0.01591167974472,0.0158527994156,0.0159552001953,0.00003911895014813651,0.24585053731437384,0.6441273096987034,3,0.0158975994587,0.015899732907633334,0.0158975994587,0.0159039998055,0.0000030171524161502093,0.018976120125273922,0.0402598317854647,baseline,,,,,,,,,,,,,,
bf16,1,1,1,64,1.0,optimized_fused,1,100,2909,true,128,164,5,0.0179328000546,0.0179174399376,0.0178431999683,0.0179776000977,0.000055292465229775885,0.30859578947851735,0.7494653873951357,5,0.0179263997078,0.01791359996798,0.0178623998165,0.0179776000977,0.00004302783118120905,0.24019644994931194,0.642629212099264,5,0.0179200005531,0.01790592002868,0.0178559994698,0.0179711997509,0.00004253007297451569,0.23751961868697652,0.6428586916537206,3,0.0179263997078,0.017926400105166667,0.0179200005531,0.0179328000546,0.000005225374613719861,0.02914904600513645,0.07140029068096998,candidate_vs_matching_baseline,1.2359029438191302,19.087497525505825,1.235987102862562,19.09300690241935,1.2367856972284503,19.145248668307737,19.087497525505825,19.145248668307737,True,True,False,False,False,False
bf16,1,1,1,64,1.0,optimized_split,1,100,2909,true,128,420,5,0.0312703990936,0.03126911973954,0.0312511992455,0.0312831997871,0.000011011240320442182,0.035214423725904886,0.10233493184469172,5,0.0312768006325,0.03122431993482,0.0310080003738,0.0312831997871,0.00010826388039578626,0.34672934629732355,0.8798835166472732,5,0.0312703990936,0.03124480009078,0.0311488008499,0.0312768006325,0.000048403232464907485,0.15491612148029313,0.40933210419497695,3,0.0312703990936,0.0312725329399,0.0312703990936,0.0312768006325,0.0000030177143774798854,0.009649728032198006,0.02047156123859859,candidate_vs_matching_baseline,1.1273025359729014,11.292668286515916,1.1272764042612313,11.290611936887196,1.1275071753406578,11.308768416674042,11.290611936887196,11.308768416674042,True,True,False,False,False,False
bf16,1,1,1,64,1.0,optimized_transform,1,100,2909,true,128,256,5,0.0157439994812,0.0157375998497,0.0156607997417,0.0157951998711,0.000043406943643006415,0.2758167958110453,0.8536593866157544,5,0.0157439994812,0.01574783968924,0.0156799995899,0.0157887995243,0.00004019275308275782,0.25522709067339727,0.6910565166742986,5,0.0157439994812,0.0157465596199,0.0156672000885,0.0157887995243,0.00004445101324333652,0.2822903181159696,0.7723541654406361,3,0.0157439994812,0.0157439994812,0.0157439994812,0.0157439994812,0.0000,0.0,0.0,candidate_vs_matching_baseline,1.009756096453345,0.9661834662461732,1.0101626225592206,1.0060382687169578,1.009756096453345,0.9661834662461732,0.9661834662461732,1.0060382687169578,False,True,False,False,False,False
bf16,1,1,1,64,1.0,warp32_fused,1,100,2909,true,128,164,5,0.0152704000473,0.01527679991722,0.0152576005459,0.0153087997437,0.000018101734281471576,0.11849166304172978,0.33528393258467193,5,0.0152768003941,0.01527552008628,0.0152383995056,0.0152960002422,0.00002118803941050725,0.13870584628760163,0.3770471244897938,5,0.0152831995487,0.01528575992584,0.0152639997005,0.0153216004372,0.000019242837278281334,0.12588734463735782,0.3768892535653693,3,0.0152768003941,0.015276799996700001,0.0152704000473,0.0152831995487,0.000005225374572895571,0.03420464085426479,0.08378391462745838,candidate_vs_matching_baseline,1.4513830881803738,31.10020309980883,1.4503559821438199,31.0514099771653,1.450167571769042,31.042451957458127,31.042451957458127,31.10020309980883,True,True,False,False,False,False
bf16,1,1,1,64,1.0,warp32_split,1,100,2909,true,128,420,5,0.0298496007919,0.0298636803627,0.0298304009438,0.0299519991875,0.00004478113837998549,0.14995184061746633,0.4073697485863742,5,0.0298559999466,0.0298944005966,0.0298496007919,0.0299584007263,0.000052308102863652686,0.17497625581963291,0.3644156437386063,5,0.0298623991013,0.0298956799507,0.0298368000984,0.0299711990356,0.000057157271970187655,0.1911890683351035,0.45006074945314595,3,0.0298559999466,0.0298559999466,0.0298496007919,0.0298623991013,0.000005224887933377922,0.017500294556280407,0.042866792011293155,candidate_vs_matching_baseline,1.1809605242246919,15.323164535367816,1.180921738238921,15.3203834242839,1.1806686808450408,15.302233706727165,15.302233706727165,15.323164535367816,True,True,False,False,False,False
bf16,1,1,1,64,1.0,warp32_transform,1,100,2909,true,128,256,5,0.015232000351,0.0152281599045,0.0151935994625,0.0152831995487,0.00003176877588201931,0.2086186123684679,0.5882358464764509,5,0.0152639997005,0.01524991989136,0.0151935994625,0.0152831995487,0.000033230825085543224,0.21790819441858508,0.5870026726813014,5,0.0152576005459,0.01524095988274,0.0151935994625,0.0152831995487,0.000039576917808192655,0.2596747062697311,0.5872488661008891,3,0.0152576005459,0.015251200199133333,0.015232000351,0.0152639997005,0.000013825409485339474,0.09065128845482678,0.2097272726713134,candidate_vs_matching_baseline,1.0436974194040314,4.1867900209031195,1.0419287288756325,4.0241455786403595,1.0419462359677505,4.025758193635697,4.0241455786403595,4.1867900209031195,False,True,False,False,False,False
bf16,1,1,1,128,1.0,baseline_fused,1,100,2909,true,256,324,5,0.0279871988297,0.02801151943208,0.0279615998268,0.0280640006065,0.00004135832897721449,0.14764757433989514,0.3658843470655967,5,0.0279871988297,0.02800895929338,0.0279615998268,0.0280767989159,0.00004079962295209119,0.14566632956524844,0.4116135015904121,5,0.0279936003685,0.02801279973984,0.0279679989815,0.0280640006065,0.00004007052902295468,0.1430436421746381,0.3429413285045894,3,0.0279871988297,0.027989332675966665,0.0279871988297,0.0279936003685,0.0000030177143303402668,0.01078165873147615,0.02287309579981603,baseline,,,,,,,,,,,,,,
