dtype,batch,seq,heads,dim,rows,method,group,order,repeats,kernel_us,logical_io_bytes,logical_GBs,input_working_set_bytes,seed,input_read_only,scale,kernel_ms
fp16,1,1,1,64,1,baseline_transform,0,0,100,9.09074246883,256,0.028160516138,128,2909,true,1,0.00909074246883
fp16,1,1,1,64,1,control_optimized_transform,0,1,100,9.24388587475,256,0.0276939810236,128,2909,true,1,0.00924388587475
fp16,1,1,1,64,1,optimized_transform,0,2,100,9.22537088394,256,0.0277495618572,128,2909,true,1,0.00922537088394
fp16,1,1,1,64,1,control_shuffle32_transform,0,3,100,8.01919996738,256,0.0319233840085,128,2909,true,1,0.00801919996738
fp16,1,1,1,64,1,shuffle32_transform,0,4,100,7.86331415176,256,0.0325562472844,128,2909,true,1,0.00786331415176
fp16,1,1,1,64,1,baseline_split,0,5,100,69.9149703979,420,0.00600729711547,128,2909,true,1,0.0699149703979
fp16,1,1,1,64,1,control_optimized_split,0,6,100,64.0070867538,420,0.00656177341136,128,2909,true,1,0.0640070867538
fp16,1,1,1,64,1,optimized_split,0,7,100,33.7442278862,420,0.012446573127,128,2909,true,1,0.0337442278862
fp16,1,1,1,64,1,control_shuffle32_split,0,8,100,93.9005661011,420,0.00447281648492,128,2909,true,1,0.0939005661011
fp16,1,1,1,64,1,shuffle32_split,0,9,100,35.4717707634,420,0.0118404012814,128,2909,true,1,0.0354717707634
fp16,1,1,1,64,1,baseline_fused,0,10,100,65.4450273514,164,0.00250591995507,128,2909,true,1,0.0654450273514
fp16,1,1,1,64,1,control_optimized_fused,0,11,100,58.670630455,164,0.00279526568452,128,2909,true,1,0.058670630455
fp16,1,1,1,64,1,optimized_fused,0,12,100,28.5595417023,164,0.00574238906596,128,2909,true,1,0.0285595417023
fp16,1,1,1,64,1,control_shuffle32_fused,0,13,100,89.2463970184,164,0.00183760919745,128,2909,true,1,0.0892463970184
fp16,1,1,1,64,1,shuffle32_fused,0,14,100,29.7213721275,164,0.00551791482898,128,2909,true,1,0.0297213721275
fp16,1,1,1,64,1,control_optimized_transform,1,0,100,9.3327999115,256,0.0274301391252,128,2909,true,1,0.0093327999115
fp16,1,1,1,64,1,optimized_transform,1,1,100,9.28548574448,256,0.0275699093235,128,2909,true,1,0.00928548574448
fp16,1,1,1,64,1,control_shuffle32_transform,1,2,100,7.9243427515,256,0.0323055183285,128,2909,true,1,0.0079243427515
fp16,1,1,1,64,1,shuffle32_transform,1,3,100,8.07474315166,256,0.031703794807,128,2909,true,1,0.00807474315166
fp16,1,1,1,64,1,baseline_split,1,4,100,69.9234294891,420,0.00600657037374,128,2909,true,1,0.0699234294891
