dtype,batch,seq,heads,dim,rows,method,group,order,repeats,kernel_us,logical_io_bytes,logical_GBs,input_working_set_bytes,seed,input_read_only,scale,kernel_ms
fp16,1,1,1,64,1,baseline_transform,0,0,100,8.9780575037,256,0.0285139630588,128,2909,true,1,0.0089780575037
fp16,1,1,1,64,1,control_optimized_transform,0,1,100,9.23520028591,256,0.0277200268618,128,2909,true,1,0.00923520028591
fp16,1,1,1,64,1,optimized_transform,0,2,100,9.32022869587,256,0.0274671371651,128,2909,true,1,0.00932022869587
fp16,1,1,1,64,1,control_shuffle32_transform,0,3,100,7.87908554077,256,0.0324910801736,128,2909,true,1,0.00787908554077
fp16,1,1,1,64,1,shuffle32_transform,0,4,100,7.89874315262,256,0.0324102195822,128,2909,true,1,0.00789874315262
fp16,1,1,1,64,1,baseline_split,0,5,100,69.9092578888,420,0.00600778799094,128,2909,true,1,0.0699092578888
fp16,1,1,1,64,1,control_optimized_split,0,6,100,64.604344368,420,0.00650111078611,128,2909,true,1,0.064604344368
fp16,1,1,1,64,1,optimized_split,0,7,100,33.7078857422,420,0.012459992395,128,2909,true,1,0.0337078857422
fp16,1,1,1,64,1,control_shuffle32_split,0,8,100,94.5702838898,420,0.00444114136836,128,2909,true,1,0.0945702838898
fp16,1,1,1,64,1,shuffle32_split,0,9,100,34.929599762,420,0.0120241858728,128,2909,true,1,0.034929599762
fp16,1,1,1,64,1,baseline_fused,0,10,100,65.4630851746,164,0.00250522870352,128,2909,true,1,0.0654630851746
fp16,1,1,1,64,1,control_optimized_fused,0,11,100,58.6957740784,164,0.0027940682711,128,2909,true,1,0.0586957740784
fp16,1,1,1,64,1,optimized_fused,0,12,100,28.5122299194,164,0.0057519177021,128,2909,true,1,0.0285122299194
fp16,1,1,1,64,1,control_shuffle32_fused,0,13,100,89.2457199097,164,0.00183762313942,128,2909,true,1,0.0892457199097
fp16,1,1,1,64,1,shuffle32_fused,0,14,100,29.7817134857,164,0.00550673486529,128,2909,true,1,0.0297817134857
fp16,1,1,1,64,1,control_optimized_transform,1,0,100,9.18697178364,256,0.0278655476504,128,2909,true,1,0.00918697178364
fp16,1,1,1,64,1,optimized_transform,1,1,100,9.32571411133,256,0.0274509809055,128,2909,true,1,0.00932571411133
fp16,1,1,1,64,1,control_shuffle32_transform,1,2,100,8.09074282646,256,0.0316410996482,128,2909,true,1,0.00809074282646
fp16,1,1,1,64,1,shuffle32_transform,1,3,100,8.07999968529,256,0.0316831695509,128,2909,true,1,0.00807999968529
fp16,1,1,1,64,1,baseline_split,1,4,100,69.8902893066,420,0.00600941853535,128,2909,true,1,0.0698902893066
fp16,1,1,1,64,1,control_optimized_split,1,5,100,64.1247987747,420,0.00654972815549,128,2909,true,1,0.0641247987747
fp16,1,1,1,64,1,optimized_split,1,6,100,33.7154269218,420,0.01245720545,128,2909,true,1,0.0337154269218
fp16,1,1,1,64,1,control_shuffle32_split,1,7,100,94.5785140991,420,0.00444075490084,128,2909,true,1,0.0945785140991
fp16,1,1,1,64,1,shuffle32_split,1,8,100,34.8450279236,420,0.0120533695918,128,2909,true,1,0.0348450279236
fp16,1,1,1,64,1,baseline_fused,1,9,100,65.4601144791,164,0.00250534239521,128,2909,true,1,0.0654601144791
fp16,1,1,1,64,1,control_optimized_fused,1,10,100,58.6639976501,164,0.00279558172933,128,2909,true,1,0.0586639976501
fp16,1,1,1,64,1,optimized_fused,1,11,100,28.569829464,164,0.00574032127867,128,2909,true,1,0.028569829464
fp16,1,1,1,64,1,control_shuffle32_fused,1,12,100,89.2482280731,164,0.00183757149627,128,2909,true,1,0.0892482280731
fp16,1,1,1,64,1,shuffle32_fused,1,13,100,29.7309708595,164,0.00551613335383,128,2909,true,1,0.0297309708595
fp16,1,1,1,64,1,baseline_transform,1,14,100,9.02742862701,256,0.0283580198279,128,2909,true,1,0.00902742862701
fp16,1,1,1,64,1,optimized_transform,2,0,100,9.2699432373,256,0.027616134581,128,2909,true,1,0.0092699432373
fp16,1,1,1,64,1,control_shuffle32_transform,2,1,100,7.95588612556,256,0.0321774339099,128,2909,true,1,0.00795588612556
fp16,1,1,1,64,1,shuffle32_transform,2,2,100,7.926171422,256,0.0322980650266,128,2909,true,1,0.007926171422
fp16,1,1,1,64,1,baseline_split,2,3,100,70.0034284592,420,0.00599970614646,128,2909,true,1,0.0700034284592
fp16,1,1,1,64,1,control_optimized_split,2,4,100,64.1126823425,420,0.00655096596577,128,2909,true,1,0.0641126823425
fp16,1,1,1,64,1,optimized_split,2,5,100,33.6701726913,420,0.0124739484959,128,2909,true,1,0.0336701726913
fp16,1,1,1,64,1,control_shuffle32_split,2,6,100,93.9197731018,420,0.00447190177456,128,2909,true,1,0.0939197731018
fp16,1,1,1,64,1,shuffle32_split,2,7,100,34.8029708862,420,0.0120679352741,128,2909,true,1,0.0348029708862
fp16,1,1,1,64,1,baseline_fused,2,8,100,65.4578304291,164,0.00250542981527,128,2909,true,1,0.0654578304291
fp16,1,1,1,64,1,control_optimized_fused,2,9,100,58.6738300323,164,0.00279511325423,128,2909,true,1,0.0586738300323
