round,position,method,sample,rows,n,dtype,scale_kind,scale_float_bits,threads,grid_x,grid_y,shared_bytes,input_offset_bytes,iterations,event_elapsed_ms,kernel_ms,timer,validation_passed
1,1,old_wmma,1,4096,256,bf16,normalized,1031798784,128,256,16,9216,32,100,3.2153599262237549,0.032153599262237549,cuda_event_batched_launches,true
1,2,four_warp_wmma,1,4096,256,bf16,normalized,1031798784,128,256,4,12288,32,100,2.821120023727417,0.028211200237274171,cuda_event_batched_launches,true
1,3,warp128,1,4096,256,bf16,normalized,1031798784,128,1024,1,0,32,100,0.2937920093536377,0.0029379200935363771,cuda_event_batched_launches,true
1,1,old_wmma,2,4096,256,bf16,normalized,1031798784,128,256,16,9216,32,100,3.2059519290924072,0.032059519290924071,cuda_event_batched_launches,true
1,2,four_warp_wmma,2,4096,256,bf16,normalized,1031798784,128,256,4,12288,32,100,2.8223040103912354,0.028223040103912352,cuda_event_batched_launches,true
1,3,warp128,2,4096,256,bf16,normalized,1031798784,128,1024,1,0,32,100,0.29094401001930237,0.0029094401001930237,cuda_event_batched_launches,true
1,1,old_wmma,3,4096,256,bf16,normalized,1031798784,128,256,16,9216,32,100,3.2051200866699219,0.032051200866699221,cuda_event_batched_launches,true
1,2,four_warp_wmma,3,4096,256,bf16,normalized,1031798784,128,256,4,12288,32,100,2.821120023727417,0.028211200237274171,cuda_event_batched_launches,true
1,3,warp128,3,4096,256,bf16,normalized,1031798784,128,1024,1,0,32,100,0.29286399483680725,0.0029286399483680727,cuda_event_batched_launches,true
1,1,old_wmma,4,4096,256,bf16,normalized,1031798784,128,256,16,9216,32,100,3.2061440944671631,0.032061440944671629,cuda_event_batched_launches,true
1,2,four_warp_wmma,4,4096,256,bf16,normalized,1031798784,128,256,4,12288,32,100,2.8241920471191406,0.028241920471191406,cuda_event_batched_launches,true
1,3,warp128,4,4096,256,bf16,normalized,1031798784,128,1024,1,0,32,100,0.29171198606491089,0.002917119860649109,cuda_event_batched_launches,true
1,1,old_wmma,5,4096,256,bf16,normalized,1031798784,128,256,16,9216,32,100,3.2020480632781982,0.032020480632781984,cuda_event_batched_launches,true
1,2,four_warp_wmma,5,4096,256,bf16,normalized,1031798784,128,256,4,12288,32,100,2.8252160549163818,0.028252160549163817,cuda_event_batched_launches,true
1,3,warp128,5,4096,256,bf16,normalized,1031798784,128,1024,1,0,32,100,0.29183998703956604,0.0029183998703956604,cuda_event_batched_launches,true
1,1,old_wmma,6,4096,256,bf16,normalized,1031798784,128,256,16,9216,32,100,3.2040960788726807,0.032040960788726806,cuda_event_batched_launches,true
1,2,four_warp_wmma,6,4096,256,bf16,normalized,1031798784,128,256,4,12288,32,100,2.8252160549163818,0.028252160549163817,cuda_event_batched_launches,true
1,3,warp128,6,4096,256,bf16,normalized,1031798784,128,1024,1,0,32,100,0.29286399483680725,0.0029286399483680727,cuda_event_batched_launches,true
1,1,old_wmma,7,4096,256,bf16,normalized,1031798784,128,256,16,9216,32,100,3.2039361000061035,0.032039361000061037,cuda_event_batched_launches,true
1,2,four_warp_wmma,7,4096,256,bf16,normalized,1031798784,128,256,4,12288,32,100,2.8200960159301758,0.028200960159301756,cuda_event_batched_launches,true
1,3,warp128,7,4096,256,bf16,normalized,1031798784,128,1024,1,0,32,100,0.29187199473381042,0.0029187199473381044,cuda_event_batched_launches,true
1,1,old_wmma,8,4096,256,bf16,normalized,1031798784,128,256,16,9216,32,100,3.2020480632781982,0.032020480632781984,cuda_event_batched_launches,true
1,2,four_warp_wmma,8,4096,256,bf16,normalized,1031798784,128,256,4,12288,32,100,2.829279899597168,0.028292798995971681,cuda_event_batched_launches,true
1,3,warp128,8,4096,256,bf16,normalized,1031798784,128,1024,1,0,32,100,0.29183998703956604,0.0029183998703956604,cuda_event_batched_launches,true
1,1,old_wmma,9,4096,256,bf16,normalized,1031798784,128,256,16,9216,32,100,3.2061440944671631,0.032061440944671629,cuda_event_batched_launches,true
1,2,four_warp_wmma,9,4096,256,bf16,normalized,1031798784,128,256,4,12288,32,100,2.8293120861053467,0.028293120861053466,cuda_event_batched_launches,true
1,3,warp128,9,4096,256,bf16,normalized,1031798784,128,1024,1,0,32,100,0.29283198714256287,0.0029283198714256287,cuda_event_batched_launches,true
