round,position,method,sample,rows,n,dtype,scale_kind,scale_float_bits,threads,grid_x,grid_y,shared_bytes,input_offset_bytes,iterations,event_elapsed_ms,kernel_ms,timer,validation_passed
1,1,old_wmma,1,17,256,bf16,normalized,1031798784,128,2,16,9216,32,100,0.74137598276138306,0.0074137598276138306,cuda_event_batched_launches,true
1,2,four_warp_wmma,1,17,256,bf16,normalized,1031798784,128,2,4,12288,32,100,0.80486398935317993,0.0080486398935317987,cuda_event_batched_launches,true
1,3,warp128,1,17,256,bf16,normalized,1031798784,128,5,1,0,32,100,0.20787200331687927,0.0020787200331687928,cuda_event_batched_launches,true
1,1,old_wmma,2,17,256,bf16,normalized,1031798784,128,2,16,9216,32,100,0.74035197496414185,0.0074035197496414183,cuda_event_batched_launches,true
1,2,four_warp_wmma,2,17,256,bf16,normalized,1031798784,128,2,4,12288,32,100,0.80486398935317993,0.0080486398935317987,cuda_event_batched_launches,true
1,3,warp128,2,17,256,bf16,normalized,1031798784,128,5,1,0,32,100,0.2099200040102005,0.0020992000401020049,cuda_event_batched_launches,true
1,1,old_wmma,3,17,256,bf16,normalized,1031798784,128,2,16,9216,32,100,0.73932802677154541,0.0073932802677154543,cuda_event_batched_launches,true
1,2,four_warp_wmma,3,17,256,bf16,normalized,1031798784,128,2,4,12288,32,100,0.80588799715042114,0.0080588799715042118,cuda_event_batched_launches,true
1,3,warp128,3,17,256,bf16,normalized,1031798784,128,5,1,0,32,100,0.21081599593162537,0.0021081599593162537,cuda_event_batched_launches,true
1,1,old_wmma,4,17,256,bf16,normalized,1031798784,128,2,16,9216,32,100,0.74028801918029785,0.0074028801918029786,cuda_event_batched_launches,true
1,2,four_warp_wmma,4,17,256,bf16,normalized,1031798784,128,2,4,12288,32,100,0.80486398935317993,0.0080486398935317987,cuda_event_batched_launches,true
1,3,warp128,4,17,256,bf16,normalized,1031798784,128,5,1,0,32,100,0.20684799551963806,0.0020684799551963806,cuda_event_batched_launches,true
1,1,old_wmma,5,17,256,bf16,normalized,1031798784,128,2,16,9216,32,100,0.73932802677154541,0.0073932802677154543,cuda_event_batched_launches,true
1,2,four_warp_wmma,5,17,256,bf16,normalized,1031798784,128,2,4,12288,32,100,0.80588799715042114,0.0080588799715042118,cuda_event_batched_launches,true
1,3,warp128,5,17,256,bf16,normalized,1031798784,128,5,1,0,32,100,0.2099200040102005,0.0020992000401020049,cuda_event_batched_launches,true
1,1,old_wmma,6,17,256,bf16,normalized,1031798784,128,2,16,9216,32,100,0.74028801918029785,0.0074028801918029786,cuda_event_batched_launches,true
1,2,four_warp_wmma,6,17,256,bf16,normalized,1031798784,128,2,4,12288,32,100,0.80588799715042114,0.0080588799715042118,cuda_event_batched_launches,true
1,3,warp128,6,17,256,bf16,normalized,1031798784,128,5,1,0,32,100,0.20787200331687927,0.0020787200331687928,cuda_event_batched_launches,true
1,1,old_wmma,7,17,256,bf16,normalized,1031798784,128,2,16,9216,32,100,0.73932802677154541,0.0073932802677154543,cuda_event_batched_launches,true
1,2,four_warp_wmma,7,17,256,bf16,normalized,1031798784,128,2,4,12288,32,100,0.80486398935317993,0.0080486398935317987,cuda_event_batched_launches,true
1,3,warp128,7,17,256,bf16,normalized,1031798784,128,5,1,0,32,100,0.20684799551963806,0.0020684799551963806,cuda_event_batched_launches,true
1,1,old_wmma,8,17,256,bf16,normalized,1031798784,128,2,16,9216,32,100,0.74137598276138306,0.0074137598276138306,cuda_event_batched_launches,true
1,2,four_warp_wmma,8,17,256,bf16,normalized,1031798784,128,2,4,12288,32,100,0.80486398935317993,0.0080486398935317987,cuda_event_batched_launches,true
1,3,warp128,8,17,256,bf16,normalized,1031798784,128,5,1,0,32,100,0.20889599621295929,0.0020889599621295931,cuda_event_batched_launches,true
1,1,old_wmma,9,17,256,bf16,normalized,1031798784,128,2,16,9216,32,100,0.7383040189743042,0.007383040189743042,cuda_event_batched_launches,true
1,2,four_warp_wmma,9,17,256,bf16,normalized,1031798784,128,2,4,12288,32,100,0.80486398935317993,0.0080486398935317987,cuda_event_batched_launches,true
1,3,warp128,9,17,256,bf16,normalized,1031798784,128,5,1,0,32,100,0.20582400262355804,0.0020582400262355804,cuda_event_batched_launches,true
1,1,old_wmma,10,17,256,bf16,normalized,1031798784,128,2,16,9216,32,100,0.74035197496414185,0.0074035197496414183,cuda_event_batched_launches,true
1,2,four_warp_wmma,10,17,256,bf16,normalized,1031798784,128,2,4,12288,32,100,0.80486398935317993,0.0080486398935317987,cuda_event_batched_launches,true
1,3,warp128,10,17,256,bf16,normalized,1031798784,128,5,1,0,32,100,0.2099200040102005,0.0020992000401020049,cuda_event_batched_launches,true
1,1,old_wmma,11,17,256,bf16,normalized,1031798784,128,2,16,9216,32,100,0.74035197496414185,0.0074035197496414183,cuda_event_batched_launches,true
1,2,four_warp_wmma,11,17,256,bf16,normalized,1031798784,128,2,4,12288,32,100,0.80383998155593872,0.0080383998155593873,cuda_event_batched_launches,true
1,3,warp128,11,17,256,bf16,normalized,1031798784,128,5,1,0,32,100,0.20684799551963806,0.0020684799551963806,cuda_event_batched_launches,true
1,1,old_wmma,12,17,256,bf16,normalized,1031798784,128,2,16,9216,32,100,0.74035197496414185,0.0074035197496414183,cuda_event_batched_launches,true
1,2,four_warp_wmma,12,17,256,bf16,normalized,1031798784,128,2,4,12288,32,100,0.80483198165893555,0.0080483198165893551,cuda_event_batched_launches,true
1,3,warp128,12,17,256,bf16,normalized,1031798784,128,5,1,0,32,100,0.20787200331687927,0.0020787200331687928,cuda_event_batched_launches,true
1,1,old_wmma,13,17,256,bf16,normalized,1031798784,128,2,16,9216,32,100,0.74035197496414185,0.0074035197496414183,cuda_event_batched_launches,true
1,2,four_warp_wmma,13,17,256,bf16,normalized,1031798784,128,2,4,12288,32,100,0.80486398935317993,0.0080486398935317987,cuda_event_batched_launches,true
1,3,warp128,13,17,256,bf16,normalized,1031798784,128,5,1,0,32,100,0.21094399690628052,0.0021094399690628051,cuda_event_batched_launches,true
1,1,old_wmma,14,17,256,bf16,normalized,1031798784,128,2,16,9216,32,100,0.73932802677154541,0.0073932802677154543,cuda_event_batched_launches,true
1,2,four_warp_wmma,14,17,256,bf16,normalized,1031798784,128,2,4,12288,32,100,0.80486398935317993,0.0080486398935317987,cuda_event_batched_launches,true
1,3,warp128,14,17,256,bf16,normalized,1031798784,128,5,1,0,32,100,0.20985600352287292,0.0020985600352287294,cuda_event_batched_launches,true
