round,position,method,sample,rows,n,dtype,scale_kind,scale_float_bits,threads,grid_x,grid_y,shared_bytes,input_offset_bytes,iterations,event_elapsed_ms,kernel_ms,timer,validation_passed
1,1,old_wmma,13,17,64,fp16,unit,1065353216,128,2,4,3072,32,100,0.28672000765800476,0.0028672000765800477,cuda_event_batched_launches,true
1,2,four_warp_wmma,13,17,64,fp16,unit,1065353216,128,2,1,6144,32,100,0.31231999397277832,0.0031231999397277831,cuda_event_batched_launches,true
1,3,warp128,13,17,64,fp16,unit,1065353216,128,5,1,0,32,100,0.19763199985027313,0.0019763199985027313,cuda_event_batched_launches,true
1,1,old_wmma,14,17,64,fp16,unit,1065353216,128,2,4,3072,32,100,0.28569599986076355,0.0028569599986076354,cuda_event_batched_launches,true
1,2,four_warp_wmma,14,17,64,fp16,unit,1065353216,128,2,1,6144,32,100,0.31129598617553711,0.0031129598617553713,cuda_event_batched_launches,true
1,3,warp128,14,17,64,fp16,unit,1065353216,128,5,1,0,32,100,0.19968000054359436,0.0019968000054359438,cuda_event_batched_launches,true
1,1,old_wmma,15,17,64,fp16,unit,1065353216,128,2,4,3072,32,100,0.28652799129486084,0.0028652799129486083,cuda_event_batched_launches,true
1,2,four_warp_wmma,15,17,64,fp16,unit,1065353216,128,2,1,6144,32,100,0.31321600079536438,0.003132160007953644,cuda_event_batched_launches,true
1,3,warp128,15,17,64,fp16,unit,1065353216,128,5,1,0,32,100,0.19968000054359436,0.0019968000054359438,cuda_event_batched_launches,true
1,1,old_wmma,16,17,64,fp16,unit,1065353216,128,2,4,3072,32,100,0.28672000765800476,0.0028672000765800477,cuda_event_batched_launches,true
1,2,four_warp_wmma,16,17,64,fp16,unit,1065353216,128,2,1,6144,32,100,0.31231999397277832,0.0031231999397277831,cuda_event_batched_launches,true
1,3,warp128,16,17,64,fp16,unit,1065353216,128,5,1,0,32,100,0.18739199638366699,0.0018739199638366699,cuda_event_batched_launches,true
1,1,old_wmma,17,17,64,fp16,unit,1065353216,128,2,4,3072,32,100,0.28569599986076355,0.0028569599986076354,cuda_event_batched_launches,true
1,2,four_warp_wmma,17,17,64,fp16,unit,1065353216,128,2,1,6144,32,100,0.31334400177001953,0.0031334400177001954,cuda_event_batched_launches,true
1,3,warp128,17,17,64,fp16,unit,1065353216,128,5,1,0,32,100,0.18943999707698822,0.0018943999707698822,cuda_event_batched_launches,true
1,1,old_wmma,18,17,64,fp16,unit,1065353216,128,2,4,3072,32,100,0.28569599986076355,0.0028569599986076354,cuda_event_batched_launches,true
