category,measurement,dtype,shape,dim,rows,scale,block_threads,ours_us,ours_ms,dao_us,dao_ms,dao_over_ours,time_reduction_vs_dao_percent,ours_slower_than_dao,scope,raw_samples_json
dao_default128,eager_api,fp16,"[17, 16]",16,17,1.0,128,5.109760165214539,0.005109760165214539,11.796480417251587,0.011796480417251587,2.3086172414818806,56.684027909359756,False,"CUDA events around allocating eager API calls, including GPU idle gaps from host dispatch; excludes H2D/D2H/build/validation. Not kernel-only or host end-to-end.","{""dao"": {""max_us"": 11.924480199813843, ""median_ms"": 0.011796480417251587, ""median_us"": 11.796480417251587, ""min_us"": 11.770880222320557, ""population_cv_percent"": 0.5202724055959321, ""range_percent_of_median"": 1.302083096485763, ""samples_us"": [11.770880222320557, 11.924480199813843, 11.79136037826538, 11.893759965896606, 11.796480417251587]}, ""ours"": {""max_us"": 5.166079998016357, ""median_ms"": 0.005109760165214539, ""median_us"": 5.109760165214539, ""min_us"": 5.053439736366272, ""population_cv_percent"": 0.8099142605513439, ""range_percent_of_median"": 2.2044138669540887, ""samples_us"": [5.145599842071533, 5.109760165214539, 5.166079998016357, 5.053439736366272, 5.079039931297302]}}"
dao_default128,eager_api,fp16,"[4, 128, 8, 16]",16,4096,1.0,128,5.0278401374816895,0.00502784013748169,11.934720277786255,0.011934720277786255,2.3737270779185984,57.872157700756,False,"CUDA events around allocating eager API calls, including GPU idle gaps from host dispatch; excludes H2D/D2H/build/validation. Not kernel-only or host end-to-end.","{""dao"": {""max_us"": 12.282880544662476, ""median_ms"": 0.011934720277786255, ""median_us"": 11.934720277786255, ""min_us"": 11.622400283813477, ""population_cv_percent"": 2.01607826515365, ""range_percent_of_median"": 5.5341075909280555, ""samples_us"": [12.282880544662476, 12.139519453048706, 11.622400283813477, 11.760640144348145, 11.934720277786255]}, ""ours"": {""max_us"": 5.089280009269714, ""median_ms"": 0.00502784013748169, ""median_us"": 5.0278401374816895, ""min_us"": 4.930559992790222, ""population_cv_percent"": 1.2137255257267243, ""range_percent_of_median"": 3.1568230520350395, ""samples_us"": [5.089280009269714, 5.048320293426514, 5.0278401374816895, 4.94592010974884, 4.930559992790222]}}"
dao_default128,eager_api,fp16,"[17, 64]",64,17,1.0,128,5.125120282173157,0.005125120282173157,11.770880222320557,0.011770880222320557,2.2967032136325707,56.459328568694154,False,"CUDA events around allocating eager API calls, including GPU idle gaps from host dispatch; excludes H2D/D2H/build/validation. Not kernel-only or host end-to-end.","{""dao"": {""max_us"": 12.200959920883179, ""median_ms"": 0.011770880222320557, ""median_us"": 11.770880222320557, ""min_us"": 11.59168004989624, ""population_cv_percent"": 1.8009043911682683, ""range_percent_of_median"": 5.176162355569554, ""samples_us"": [12.200959920883179, 11.868159770965576, 11.770880222320557, 11.663360595703125, 11.59168004989624]}, ""ours"": {""max_us"": 5.2019202709198, ""median_ms"": 0.005125120282173157, ""median_us"": 5.125120282173157, ""min_us"": 4.935680031776428, ""population_cv_percent"": 2.1166023073412275, ""range_percent_of_median"": 5.19480957489802, ""samples_us"": [5.2019202709198, 5.140479803085327, 5.125120282173157, 4.951040148735046, 4.935680031776428]}}"
dao_default128,eager_api,fp16,"[4, 128, 8, 64]",64,4096,1.0,128,5.1046401262283325,0.005104640126228332,11.816960573196411,0.011816960573196412,2.3149448895484848,56.80242737031016,False,"CUDA events around allocating eager API calls, including GPU idle gaps from host dispatch; excludes H2D/D2H/build/validation. Not kernel-only or host end-to-end.","{""dao"": {""max_us"": 12.057600021362305, ""median_ms"": 0.011816960573196412, ""median_us"": 11.816960573196411, ""min_us"": 11.673599481582642, ""population_cv_percent"": 1.2806879396495834, ""range_percent_of_median"": 3.2495711346508576, ""samples_us"": [12.052479982376099, 11.79136037826538, 12.057600021362305, 11.816960573196411, 11.673599481582642]}, ""ours"": {""max_us"": 5.186560153961182, ""median_ms"": 0.005104640126228332, ""median_us"": 5.1046401262283325, ""min_us"": 5.012480020523071, ""population_cv_percent"": 1.1178484710953545, ""range_percent_of_median"": 3.4102332218027094, ""samples_us"": [5.186560153961182, 5.1046401262283325, 5.084159970283508, 5.130239725112915, 5.012480020523071]}}"
dao_default128,eager_api,fp16,"[17, 256]",256,17,1.0,128,4.986880123615265,0.004986880123615265,11.658240556716919,0.01165824055671692,2.337782394549564,57.22441907632396,False,"CUDA events around allocating eager API calls, including GPU idle gaps from host dispatch; excludes H2D/D2H/build/validation. Not kernel-only or host end-to-end.","{""dao"": {""max_us"": 12.006399631500244, ""median_ms"": 0.01165824055671692, ""median_us"": 11.658240556716919, ""min_us"": 11.550719738006592, ""population_cv_percent"": 1.5497548922409992, ""range_percent_of_median"": 3.9086506345171568, ""samples_us"": [12.006399631500244, 11.904000043869019, 11.658240556716919, 11.550719738006592, 11.581439971923828]}, ""ours"": {""max_us"": 5.263360142707825, ""median_ms"": 0.004986880123615265, ""median_us"": 4.986880123615265, ""min_us"": 4.94592010974884, ""population_cv_percent"": 2.260933247574582, ""range_percent_of_median"": 6.365503583207341, ""samples_us"": [5.263360142707825, 5.0329601764678955, 4.981760084629059, 4.986880123615265, 4.94592010974884]}}"
dao_default128,eager_api,fp16,"[4, 128, 8, 256]",256,4096,1.0,128,5.145599842071533,0.005145599842071533,11.924480199813843,0.011924480199813842,2.317413045281276,56.848434851257814,False,"CUDA events around allocating eager API calls, including GPU idle gaps from host dispatch; excludes H2D/D2H/build/validation. Not kernel-only or host end-to-end.","{""dao"": {""max_us"": 12.001279592514038, ""median_ms"": 0.011924480199813842, ""median_us"": 11.924480199813843, ""min_us"": 11.571199893951416, ""population_cv_percent"": 1.2828795897315286, ""range_percent_of_median"": 3.60669556539107, ""samples_us"": [12.001279592514038, 11.878399848937988, 11.950080394744873, 11.924480199813843, 11.571199893951416]}, ""ours"": {""max_us"": 5.155839920043945, ""median_ms"": 0.005145599842071533, ""median_us"": 5.145599842071533, ""min_us"": 5.125120282173157, ""population_cv_percent"": 0.23054698859803197, ""range_percent_of_median"": 0.5970079060485465, ""samples_us"": [5.130239725112915, 5.155839920043945, 5.145599842071533, 5.150719881057739, 5.125120282173157]}}"
dao_default128,eager_api,bf16,"[17, 16]",16,17,1.0,128,5.237759947776794,0.005237759947776794,12.021759748458862,0.012021759748458863,2.29521014103779,56.431004633508394,False,"CUDA events around allocating eager API calls, including GPU idle gaps from host dispatch; excludes H2D/D2H/build/validation. Not kernel-only or host end-to-end.","{""dao"": {""max_us"": 12.40064024925232, ""median_ms"": 0.012021759748458863, ""median_us"": 12.021759748458862, ""min_us"": 11.893759965896606, ""population_cv_percent"": 1.4215905226702739, ""range_percent_of_median"": 4.216356789368485, ""samples_us"": [12.40064024925232, 12.001279592514038, 12.021759748458862, 11.893759965896606, 12.10368037223816]}, ""ours"": {""max_us"": 5.345280170440674, ""median_ms"": 0.005237759947776794, ""median_us"": 5.237759947776794, ""min_us"": 5.135359764099121, ""population_cv_percent"": 1.5006346387967875, ""range_percent_of_median"": 4.007827934738685, ""samples_us"": [5.345280170440674, 5.304319858551025, 5.237759947776794, 5.135359764099121, 5.1712000370025635]}}"
dao_default128,eager_api,bf16,"[4, 128, 8, 16]",16,4096,1.0,128,5.0329601764678955,0.005032960176467895,11.796480417251587,0.011796480417251587,2.3438453720351693,57.33506945760265,False,"CUDA events around allocating eager API calls, including GPU idle gaps from host dispatch; excludes H2D/D2H/build/validation. Not kernel-only or host end-to-end.","{""dao"": {""max_us"": 12.231680154800415, ""median_ms"": 0.011796480417251587, ""median_us"": 11.796480417251587, ""min_us"": 11.68895959854126, ""population_cv_percent"": 1.6389469876917169, ""range_percent_of_median"": 4.6006989971810714, ""samples_us"": [12.231680154800415, 11.83743953704834, 11.68895959854126, 11.729919910430908, 11.796480417251587]}, ""ours"": {""max_us"": 5.130239725112915, ""median_ms"": 0.005032960176467895, ""median_us"": 5.0329601764678955, ""min_us"": 4.971520006656647, ""population_cv_percent"": 1.0291670925269918, ""range_percent_of_median"": 3.153605689120651, ""samples_us"": [5.130239725112915, 5.048320293426514, 5.017600059509277, 5.0329601764678955, 4.971520006656647]}}"
dao_default128,eager_api,bf16,"[17, 64]",64,17,1.0,128,4.997119903564453,0.004997119903564453,11.586560010910034,0.011586560010910034,2.318647587912654,56.871410506145835,False,"CUDA events around allocating eager API calls, including GPU idle gaps from host dispatch; excludes H2D/D2H/build/validation. Not kernel-only or host end-to-end.","{""dao"": {""max_us"": 11.750400066375732, ""median_ms"": 0.011586560010910034, ""median_us"": 11.586560010910034, ""min_us"": 11.519999504089355, ""population_cv_percent"": 0.6619626229256431, ""range_percent_of_median"": 1.988515677383358, ""samples_us"": [11.576319932937622, 11.519999504089355, 11.750400066375732, 11.586560010910034, 11.601920127868652]}, ""ours"": {""max_us"": 5.048320293426514, ""median_ms"": 0.004997119903564453, ""median_us"": 4.997119903564453, ""min_us"": 4.915199875831604, ""population_cv_percent"": 0.9040501791309592, ""range_percent_of_median"": 2.6639428343505362, ""samples_us"": [5.048320293426514, 4.956159889698029, 4.915199875831604, 4.997119903564453, 5.002239942550659]}}"
dao_default128,eager_api,bf16,"[4, 128, 8, 64]",64,4096,1.0,128,5.0278401374816895,0.00502784013748169,11.965440511703491,0.011965440511703491,2.379837103909326,57.9803172932587,False,"CUDA events around allocating eager API calls, including GPU idle gaps from host dispatch; excludes H2D/D2H/build/validation. Not kernel-only or host end-to-end.","{""dao"": {""max_us"": 12.180479764938354, ""median_ms"": 0.011965440511703491, ""median_us"": 11.965440511703491, ""min_us"": 11.770880222320557, ""population_cv_percent"": 1.2844343029774659, ""range_percent_of_median"": 3.423188157737823, ""samples_us"": [12.180479764938354, 11.965440511703491, 11.857919692993164, 12.119040489196777, 11.770880222320557]}, ""ours"": {""max_us"": 5.1712000370025635, ""median_ms"": 0.00502784013748169, ""median_us"": 5.0278401374816895, ""min_us"": 4.966399967670441, ""population_cv_percent"": 1.485283499566502, ""range_percent_of_median"": 4.073321023183957, ""samples_us"": [5.1712000370025635, 5.09440004825592, 5.0278401374816895, 4.966399967670441, 4.986880123615265]}}"
dao_default128,eager_api,bf16,"[17, 256]",256,17,1.0,128,4.966399967670441,0.004966399967670441,11.61728024482727,0.01161728024482727,2.3391753222559153,57.24989099852533,False,"CUDA events around allocating eager API calls, including GPU idle gaps from host dispatch; excludes H2D/D2H/build/validation. Not kernel-only or host end-to-end.","{""dao"": {""max_us"": 11.873279809951782, ""median_ms"": 0.01161728024482727, ""median_us"": 11.61728024482727, ""min_us"": 11.535359621047974, ""population_cv_percent"": 1.0832963987385622, ""range_percent_of_median"": 2.908771948187025, ""samples_us"": [11.873279809951782, 11.61728024482727, 11.535359621047974, 11.796480417251587, 11.612160205841064]}, ""ours"": {""max_us"": 5.089280009269714, ""median_ms"": 0.004966399967670441, ""median_us"": 4.966399967670441, ""min_us"": 4.89984005689621, ""population_cv_percent"": 1.3144649255805962, ""range_percent_of_median"": 3.814432055547151, ""samples_us"": [5.089280009269714, 4.986880123615265, 4.89984005689621, 4.925439953804016, 4.966399967670441]}}"
dao_default128,eager_api,bf16,"[4, 128, 8, 256]",256,4096,1.0,128,5.084159970283508,0.0050841599702835085,11.729919910430908,0.011729919910430908,2.3071500462202827,56.65648180800974,False,"CUDA events around allocating eager API calls, including GPU idle gaps from host dispatch; excludes H2D/D2H/build/validation. Not kernel-only or host end-to-end.","{""dao"": {""max_us"": 12.108800411224365, ""median_ms"": 0.011729919910430908, ""median_us"": 11.729919910430908, ""min_us"": 11.61728024482727, ""population_cv_percent"": 1.5449803419423906, ""range_percent_of_median"": 4.190311358903714, ""samples_us"": [12.108800411224365, 11.868159770965576, 11.632640361785889, 11.729919910430908, 11.61728024482727]}, ""ours"": {""max_us"": 5.0995200872421265, ""median_ms"": 0.0050841599702835085, ""median_us"": 5.084159970283508, ""min_us"": 5.06879985332489, ""population_cv_percent"": 0.19531493979930675, ""range_percent_of_median"": 0.6042342116847923, ""samples_us"": [5.084159970283508, 5.0995200872421265, 5.06879985332489, 5.084159970283508, 5.079039931297302]}}"
dao_default128,cuda_graph,fp16,"[17, 16]",16,17,1.0,128,1.9936000928282738,0.0019936000928282736,2.046399936079979,0.002046399936079979,1.0264846713448932,2.580133155831066,False,"CUDA events around 20 replays of 64 retained independent outputs, divided by 1280 calls; median of 5 groups. Captured GPU work plus amortized replay scheduling; not isolated kernel latency or host end-to-end.","{""dao"": {""max_us"": 2.0479999482631683, ""median_ms"": 0.002046399936079979, ""median_us"": 2.046399936079979, ""min_us"": 2.046399936079979, ""population_cv_percent"": 0.031267338198577264, ""range_percent_of_median"": 0.07818668066684592, ""samples_us"": [2.0479999482631683, 2.046399936079979, 2.046399936079979, 2.0471999421715736, 2.046399936079979]}, ""ours"": {""max_us"": 1.995999924838543, ""median_ms"": 0.0019936000928282736, ""median_us"": 1.9936000928282738, ""min_us"": 1.992800086736679, ""population_cv_percent"": 0.05442092083169909, ""range_percent_of_median"": 0.16050551529240378, ""samples_us"": [1.995999924838543, 1.9936000928282738, 1.9936000928282738, 1.992800086736679, 1.9936000928282738]}}"
dao_default128,cuda_graph,fp16,"[4, 128, 8, 16]",16,4096,1.0,128,3.1168000772595406,0.0031168000772595406,6.556800007820129,0.00655680000782013,2.103696048925032,52.464615764668565,False,"CUDA events around 20 replays of 64 retained independent outputs, divided by 1280 calls; median of 5 groups. Captured GPU work plus amortized replay scheduling; not isolated kernel latency or host end-to-end.","{""dao"": {""max_us"": 6.560000032186508, ""median_ms"": 0.00655680000782013, ""median_us"": 6.556800007820129, ""min_us"": 6.55440017580986, ""population_cv_percent"": 0.03143693565868536, ""range_percent_of_median"": 0.08540532531065675, ""samples_us"": [6.556800007820129, 6.55440017580986, 6.559199839830399, 6.55599981546402, 6.560000032186508]}, ""ours"": {""max_us"": 3.11840008944273, ""median_ms"": 0.0031168000772595406, ""median_us"": 3.1168000772595406, ""min_us"": 3.115200065076351, ""population_cv_percent"": 0.03629939157692404, ""range_percent_of_median"": 0.10267018374795533, ""samples_us"": [3.11840008944273, 3.116000071167946, 3.1176000833511353, 3.115200065076351, 3.1168000772595406]}}"
dao_default128,cuda_graph,fp16,"[17, 64]",64,17,1.0,128,1.8944000825285912,0.0018944000825285912,1.982400007545948,0.001982400007545948,1.0464526610978062,4.439059961783077,False,"CUDA events around 20 replays of 64 retained independent outputs, divided by 1280 calls; median of 5 groups. Captured GPU work plus amortized replay scheduling; not isolated kernel latency or host end-to-end.","{""dao"": {""max_us"": 1.9864000380039215, ""median_ms"": 0.001982400007545948, ""median_us"": 1.982400007545948, ""min_us"": 1.9816000014543533, ""population_cv_percent"": 0.08613390991124784, ""range_percent_of_median"": 0.24213259338665136, ""samples_us"": [1.9840000197291374, 1.9864000380039215, 1.982400007545948, 1.9816000014543533, 1.982400007545948]}, ""ours"": {""max_us"": 1.8959999084472656, ""median_ms"": 0.0018944000825285912, ""median_us"": 1.8944000825285912, ""min_us"": 1.8936000764369965, ""population_cv_percent"": 0.04305601186505609, ""range_percent_of_median"": 0.12668031596926124, ""samples_us"": [1.8959999084472656, 1.8944000825285912, 1.8952000886201859, 1.8944000825285912, 1.8936000764369965]}}"
dao_default128,cuda_graph,fp16,"[4, 128, 8, 64]",64,4096,1.0,128,3.046399913728237,0.003046399913728237,6.312800198793411,0.006312800198793411,2.0722165104934294,51.74249433222191,False,"CUDA events around 20 replays of 64 retained independent outputs, divided by 1280 calls; median of 5 groups. Captured GPU work plus amortized replay scheduling; not isolated kernel latency or host end-to-end.","{""dao"": {""max_us"": 6.34239986538887, ""median_ms"": 0.006312800198793411, ""median_us"": 6.312800198793411, ""min_us"": 6.306400150060654, ""population_cv_percent"": 0.20334374120772694, ""range_percent_of_median"": 0.570265400370145, ""samples_us"": [6.310400366783142, 6.306400150060654, 6.314399838447571, 6.312800198793411, 6.34239986538887]}, ""ours"": {""max_us"": 3.062400035560131, ""median_ms"": 0.003046399913728237, ""median_us"": 3.046399913728237, ""min_us"": 3.0424000695347786, ""population_cv_percent"": 0.22961871448833532, ""range_percent_of_median"": 0.6565115083947127, ""samples_us"": [3.046399913728237, 3.0424000695347786, 3.046399913728237, 3.0527999624609947, 3.062400035560131]}}"
dao_default128,cuda_graph,fp16,"[17, 256]",256,17,1.0,128,1.7599999904632568,0.001759999990463257,1.7416000366210938,0.0017416000366210938,0.9895454807148494,-1.0564970977987143,True,"CUDA events around 20 replays of 64 retained independent outputs, divided by 1280 calls; median of 5 groups. Captured GPU work plus amortized replay scheduling; not isolated kernel latency or host end-to-end.","{""dao"": {""max_us"": 1.7424000427126884, ""median_ms"": 0.0017416000366210938, ""median_us"": 1.7416000366210938, ""min_us"": 1.740800030529499, ""population_cv_percent"": 0.034377855581884775, ""range_percent_of_median"": 0.0918702428540138, ""samples_us"": [1.7424000427126884, 1.7416000366210938, 1.740800030529499, 1.7416000366210938, 1.740800030529499]}, ""ours"": {""max_us"": 1.7616000026464462, ""median_ms"": 0.001759999990463257, ""median_us"": 1.7599999904632568, ""min_us"": 1.7591999843716621, ""population_cv_percent"": 0.04634664934202595, ""range_percent_of_median"": 0.13636467544254754, ""samples_us"": [1.7616000026464462, 1.7599999904632568, 1.7607999965548515, 1.7591999843716621, 1.7599999904632568]}}"
dao_default128,cuda_graph,fp16,"[4, 128, 8, 256]",256,4096,1.0,128,3.872000053524971,0.003872000053524971,5.442399904131889,0.00544239990413189,1.4055784682072165,28.854914711700353,False,"CUDA events around 20 replays of 64 retained independent outputs, divided by 1280 calls; median of 5 groups. Captured GPU work plus amortized replay scheduling; not isolated kernel latency or host end-to-end.","{""dao"": {""max_us"": 5.444800108671188, ""median_ms"": 0.00544239990413189, ""median_us"": 5.442399904131889, ""min_us"": 5.438400059938431, ""population_cv_percent"": 0.040529211359828614, ""range_percent_of_median"": 0.11759607609684523, ""samples_us"": [5.438400059938431, 5.442399904131889, 5.44000007212162, 5.442399904131889, 5.444800108671188]}, ""ours"": {""max_us"": 3.87439988553524, ""median_ms"": 0.003872000053524971, ""median_us"": 3.872000053524971, ""min_us"": 3.8711998611688614, ""population_cv_percent"": 0.037866136952518024, ""range_percent_of_median"": 0.0826452562536915, ""samples_us"": [3.87439988553524, 3.87439988553524, 3.8711998611688614, 3.872000053524971, 3.8711998611688614]}}"
