category,measurement,dtype,shape,rows,dim,scale,scope,block_threads,mean_us,mean_ms,raw_csv_row_json
cli_default128,fused_int4,fp16,"[1, 1, 1, 16]",1,16,1.0,kernel_only,128,3.13002665838,0.00313002665838,"{""batch"": ""1"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""1"", ""dim"": ""16"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""1"", ""input_elements_per_second"": ""5111777.54898"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.00313002665838"", ""mean_us"": ""3.13002665838"", ""method"": ""fused_int4"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""1"", ""timestamp_utc"": ""2026-09-05T18:55:22Z"", ""warp_block_threads"": ""128""}"
cli_default128,cpu_fp32_fwht,fp16,"[1, 1, 1, 16]",1,16,1.0,cpu_compute,,0.0684,6.84e-05,"{""batch"": ""1"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""1"", ""dim"": ""16"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""1"", ""input_elements_per_second"": ""233918128.655"", ""max_abs_error"": ""0"", ""mean_ms"": ""6.84e-05"", ""mean_us"": ""0.0684"", ""method"": ""cpu_fp32_fwht"", ""repetitions"": ""20"", ""scale"": ""1"", ""scope"": ""cpu_compute"", ""seq"": ""1"", ""timestamp_utc"": ""2026-09-05T18:55:22Z"", ""warp_block_threads"": """"}"
cli_default128,warp_h2d_d2h,fp16,"[1, 1, 1, 16]",1,16,1.0,host_e2e,128,21.8435,0.0218435,"{""batch"": ""1"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""1"", ""dim"": ""16"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""1"", ""input_elements_per_second"": ""732483.347449"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.0218435"", ""mean_us"": ""21.8435"", ""method"": ""warp_h2d_d2h"", ""repetitions"": ""20"", ""scale"": ""1"", ""scope"": ""host_e2e"", ""seq"": ""1"", ""timestamp_utc"": ""2026-09-05T18:55:22Z"", ""warp_block_threads"": ""128""}"
cli_default128,naive_global,fp16,"[1, 1, 17, 256]",17,256,1.0,kernel_only,,25.6819200516,0.0256819200516,"{""batch"": ""1"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""17"", ""dim"": ""256"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""17"", ""input_elements_per_second"": ""169457734.907"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.0256819200516"", ""mean_us"": ""25.6819200516"", ""method"": ""naive_global"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""1"", ""timestamp_utc"": ""2026-09-05T18:55:22Z"", ""warp_block_threads"": """"}"
cli_default128,warp,fp16,"[1, 1, 17, 256]",17,256,1.0,kernel_only,128,2.94229328632,0.00294229328632,"{""batch"": ""1"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""17"", ""dim"": ""256"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""17"", ""input_elements_per_second"": ""1479118353.1"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.00294229328632"", ""mean_us"": ""2.94229328632"", ""method"": ""warp"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""1"", ""timestamp_utc"": ""2026-09-05T18:55:22Z"", ""warp_block_threads"": ""128""}"
cli_default128,tensor_core,fp16,"[1, 1, 17, 256]",17,256,1.0,kernel_only,,12.3528536161,0.0123528536161,"{""batch"": ""1"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""17"", ""dim"": ""256"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""17"", ""input_elements_per_second"": ""352307259.137"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.0123528536161"", ""mean_us"": ""12.3528536161"", ""method"": ""tensor_core"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""1"", ""timestamp_utc"": ""2026-09-05T18:55:22Z"", ""warp_block_threads"": """"}"
cli_default128,split_int4,fp16,"[1, 1, 17, 256]",17,256,1.0,kernel_only,128,6.61162654559,0.00661162654559,"{""batch"": ""1"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""17"", ""dim"": ""256"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""17"", ""input_elements_per_second"": ""658234395.121"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.00661162654559"", ""mean_us"": ""6.61162654559"", ""method"": ""split_int4"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""1"", ""timestamp_utc"": ""2026-09-05T18:55:22Z"", ""warp_block_threads"": ""128""}"
cli_default128,fused_int4,fp16,"[1, 1, 17, 256]",17,256,1.0,kernel_only,128,3.85023991267,0.00385023991267,"{""batch"": ""1"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""17"", ""dim"": ""256"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""17"", ""input_elements_per_second"": ""1130319174.57"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.00385023991267"", ""mean_us"": ""3.85023991267"", ""method"": ""fused_int4"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""1"", ""timestamp_utc"": ""2026-09-05T18:55:22Z"", ""warp_block_threads"": ""128""}"
cli_default128,cpu_fp32_fwht,fp16,"[1, 1, 17, 256]",17,256,1.0,cpu_compute,,10.52315,0.01052315,"{""batch"": ""1"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""17"", ""dim"": ""256"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""17"", ""input_elements_per_second"": ""413564379.487"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.01052315"", ""mean_us"": ""10.52315"", ""method"": ""cpu_fp32_fwht"", ""repetitions"": ""20"", ""scale"": ""1"", ""scope"": ""cpu_compute"", ""seq"": ""1"", ""timestamp_utc"": ""2026-09-05T18:55:22Z"", ""warp_block_threads"": """"}"
cli_default128,warp_h2d_d2h,fp16,"[1, 1, 17, 256]",17,256,1.0,host_e2e,128,23.50775,0.02350775,"{""batch"": ""1"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""17"", ""dim"": ""256"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""17"", ""input_elements_per_second"": ""185130435.707"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.02350775"", ""mean_us"": ""23.50775"", ""method"": ""warp_h2d_d2h"", ""repetitions"": ""20"", ""scale"": ""1"", ""scope"": ""host_e2e"", ""seq"": ""1"", ""timestamp_utc"": ""2026-09-05T18:55:22Z"", ""warp_block_threads"": ""128""}"
cli_default128,naive_global,fp16,"[4, 128, 8, 16]",4096,16,1.0,kernel_only,,16.8106667201,0.0168106667201,"{""batch"": ""4"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""32"", ""dim"": ""16"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""8"", ""input_elements_per_second"": ""3898477144.98"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.0168106667201"", ""mean_us"": ""16.8106667201"", ""method"": ""naive_global"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""128"", ""timestamp_utc"": ""2026-09-05T18:55:23Z"", ""warp_block_threads"": """"}"
cli_default128,warp,fp16,"[4, 128, 8, 16]",4096,16,1.0,kernel_only,128,3.51573348045,0.00351573348045,"{""batch"": ""4"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""32"", ""dim"": ""16"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""8"", ""input_elements_per_second"": ""18640775919"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.00351573348045"", ""mean_us"": ""3.51573348045"", ""method"": ""warp"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""128"", ""timestamp_utc"": ""2026-09-05T18:55:23Z"", ""warp_block_threads"": ""128""}"
cli_default128,tensor_core,fp16,"[4, 128, 8, 16]",4096,16,1.0,kernel_only,,3.76832008362,0.00376832008362,"{""batch"": ""4"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""32"", ""dim"": ""16"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""8"", ""input_elements_per_second"": ""17391303961.9"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.00376832008362"", ""mean_us"": ""3.76832008362"", ""method"": ""tensor_core"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""128"", ""timestamp_utc"": ""2026-09-05T18:55:23Z"", ""warp_block_threads"": """"}"
cli_default128,split_int4,fp16,"[4, 128, 8, 16]",4096,16,1.0,kernel_only,128,7.51616001129,0.00751616001129,"{""batch"": ""4"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""32"", ""dim"": ""16"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""8"", ""input_elements_per_second"": ""8719346035.95"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.00751616001129"", ""mean_us"": ""7.51616001129"", ""method"": ""split_int4"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""128"", ""timestamp_utc"": ""2026-09-05T18:55:23Z"", ""warp_block_threads"": ""128""}"
cli_default128,fused_int4,fp16,"[4, 128, 8, 16]",4096,16,1.0,kernel_only,128,4.04479980469,0.00404479980469,"{""batch"": ""4"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""32"", ""dim"": ""16"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""8"", ""input_elements_per_second"": ""16202532427.9"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.00404479980469"", ""mean_us"": ""4.04479980469"", ""method"": ""fused_int4"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""128"", ""timestamp_utc"": ""2026-09-05T18:55:23Z"", ""warp_block_threads"": ""128""}"
cli_default128,cpu_fp32_fwht,fp16,"[4, 128, 8, 16]",4096,16,1.0,cpu_compute,,151.1951,0.1511951,"{""batch"": ""4"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""32"", ""dim"": ""16"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""8"", ""input_elements_per_second"": ""433453200.534"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.1511951"", ""mean_us"": ""151.1951"", ""method"": ""cpu_fp32_fwht"", ""repetitions"": ""20"", ""scale"": ""1"", ""scope"": ""cpu_compute"", ""seq"": ""128"", ""timestamp_utc"": ""2026-09-05T18:55:23Z"", ""warp_block_threads"": """"}"
cli_default128,warp_h2d_d2h,fp16,"[4, 128, 8, 16]",4096,16,1.0,host_e2e,128,55.5791,0.0555791,"{""batch"": ""4"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""32"", ""dim"": ""16"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""8"", ""input_elements_per_second"": ""1179148276.96"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.0555791"", ""mean_us"": ""55.5791"", ""method"": ""warp_h2d_d2h"", ""repetitions"": ""20"", ""scale"": ""1"", ""scope"": ""host_e2e"", ""seq"": ""128"", ""timestamp_utc"": ""2026-09-05T18:55:23Z"", ""warp_block_threads"": ""128""}"
cli_default128,naive_global,fp16,"[4, 128, 8, 64]",4096,64,1.0,kernel_only,,27.7128537496,0.0277128537496,"{""batch"": ""4"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""32"", ""dim"": ""64"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""8"", ""input_elements_per_second"": ""9459292874.3"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.0277128537496"", ""mean_us"": ""27.7128537496"", ""method"": ""naive_global"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""128"", ""timestamp_utc"": ""2026-09-05T18:55:23Z"", ""warp_block_threads"": """"}"
cli_default128,warp,fp16,"[4, 128, 8, 64]",4096,64,1.0,kernel_only,128,3.73418649038,0.00373418649038,"{""batch"": ""4"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""32"", ""dim"": ""64"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""8"", ""input_elements_per_second"": ""70201100206.3"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.00373418649038"", ""mean_us"": ""3.73418649038"", ""method"": ""warp"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""128"", ""timestamp_utc"": ""2026-09-05T18:55:23Z"", ""warp_block_threads"": ""128""}"
cli_default128,tensor_core,fp16,"[4, 128, 8, 64]",4096,64,1.0,kernel_only,,7.87797371546,0.00787797371546,"{""batch"": ""4"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""32"", ""dim"": ""64"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""8"", ""input_elements_per_second"": ""33275561644.2"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.00787797371546"", ""mean_us"": ""7.87797371546"", ""method"": ""tensor_core"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""128"", ""timestamp_utc"": ""2026-09-05T18:55:23Z"", ""warp_block_threads"": """"}"
cli_default128,split_int4,fp16,"[4, 128, 8, 64]",4096,64,1.0,kernel_only,128,7.66976038615,0.00766976038615,"{""batch"": ""4"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""32"", ""dim"": ""64"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""8"", ""input_elements_per_second"": ""34178903486.1"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.00766976038615"", ""mean_us"": ""7.66976038615"", ""method"": ""split_int4"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""128"", ""timestamp_utc"": ""2026-09-05T18:55:23Z"", ""warp_block_threads"": ""128""}"
cli_default128,fused_int4,fp16,"[4, 128, 8, 64]",4096,64,1.0,kernel_only,128,4.41685318947,0.00441685318947,"{""batch"": ""4"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""32"", ""dim"": ""64"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""8"", ""input_elements_per_second"": ""59350852010.4"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.00441685318947"", ""mean_us"": ""4.41685318947"", ""method"": ""fused_int4"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""128"", ""timestamp_utc"": ""2026-09-05T18:55:23Z"", ""warp_block_threads"": ""128""}"
cli_default128,cpu_fp32_fwht,fp16,"[4, 128, 8, 64]",4096,64,1.0,cpu_compute,,617.3689,0.6173689,"{""batch"": ""4"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""32"", ""dim"": ""64"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""8"", ""input_elements_per_second"": ""424614845.354"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.6173689"", ""mean_us"": ""617.3689"", ""method"": ""cpu_fp32_fwht"", ""repetitions"": ""20"", ""scale"": ""1"", ""scope"": ""cpu_compute"", ""seq"": ""128"", ""timestamp_utc"": ""2026-09-05T18:55:23Z"", ""warp_block_threads"": """"}"
cli_default128,warp_h2d_d2h,fp16,"[4, 128, 8, 64]",4096,64,1.0,host_e2e,128,120.2399,0.1202399,"{""batch"": ""4"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""32"", ""dim"": ""64"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""8"", ""input_elements_per_second"": ""2180174800.54"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.1202399"", ""mean_us"": ""120.2399"", ""method"": ""warp_h2d_d2h"", ""repetitions"": ""20"", ""scale"": ""1"", ""scope"": ""host_e2e"", ""seq"": ""128"", ""timestamp_utc"": ""2026-09-05T18:55:23Z"", ""warp_block_threads"": ""128""}"
