dtype,dim,rows,normalized,shape,scale,mode,scope,run1_original_us,run1_original_ms,run1_contiguous256_us,run1_contiguous256_ms,run1_original_over_contiguous256,run1_time_reduction_percent,run1_regression_over_3_percent,run1_original_range_percent,run1_contiguous256_range_percent,run1_contiguous256_population_cv_percent,run2_original_us,run2_original_ms,run2_contiguous256_us,run2_contiguous256_ms,run2_original_over_contiguous256,run2_time_reduction_percent,run2_regression_over_3_percent,run2_original_range_percent,run2_contiguous256_range_percent,run2_contiguous256_population_cv_percent,run3_original_us,run3_original_ms,run3_contiguous256_us,run3_contiguous256_ms,run3_original_over_contiguous256,run3_time_reduction_percent,run3_regression_over_3_percent,run3_original_range_percent,run3_contiguous256_range_percent,run3_contiguous256_population_cv_percent,stable_at_least_5_percent,any_run_regression,every_run_regression,any_run_regression_over_3_percent,every_run_regression_over_3_percent,minimum_time_reduction_percent,maximum_time_reduction_percent,maximum_regression_percent,validation_revision
bf16,256,2,False,"[2, 256]",1.0,fused_int4,cuda_graph,1.3744000345468521,0.0013744000345468522,1.2911999598145485,0.0012911999598145484,1.0644362432788903,6.053555925566833,False,0.17461620213927717,0.0,0.0,1.386400032788515,0.001386400032788515,1.2991749681532383,0.0012991749681532383,1.0671388125336698,6.291478835285225,False,0.2308086525131703,0.12315601996733283,0.04899572261210117,1.4911999925971031,0.0014911999925971032,1.396000012755394,0.001396000012755394,1.0681948273437374,6.384118851550358,False,0.21459390975489204,0.11461405218982222,0.04585613239023088,True,False,False,False,False,6.053555925566833,6.384118851550358,0.0,2
bf16,256,2,True,"[2, 256]",0.0625,fused_int4,cuda_graph,1.508800033479929,0.001508800033479929,1.4127999544143677,0.0014127999544143676,1.0679502280316502,6.3626774214833866,False,0.1590680157428572,0.22649570621254406,0.07679191118931745,1.5087749809026718,0.0015087749809026719,1.4120000414550304,0.0014120000414550304,1.06853749051446,6.414139992548307,False,0.21209420933426862,0.11330871132859559,0.035831361162783404,1.4936000108718872,0.0014936000108718873,1.396000012755394,0.001396000012755394,1.0699140381265846,6.534547228579579,False,0.21090066424699053,0.11461405218982222,0.05008690037330353,True,False,False,False,False,6.3626774214833866,6.534547228579579,0.0,2
bf16,256,3,False,"[3, 256]",1.0,fused_int4,cuda_graph,1.5239750035107136,0.0015239750035107135,1.4232000336050987,0.0014232000336050986,1.0708087180481176,6.612639293522793,False,0.1574779859904543,0.11242356277468682,0.0420697750443307,1.5111999586224556,0.0015111999586224557,1.4096000231802464,0.0014096000231802464,1.0720771380330898,6.723129845425834,False,0.1588092382370295,0.2837639940365228,0.09759671186990623,1.539199985563755,0.001539199985563755,1.4279999770224094,0.0014279999770224095,1.0778711556937235,7.224532847212628,False,0.10395089645244271,0.224091345789186,0.08674160991681705,True,False,False,False,False,6.612639293522793,7.224532847212628,0.0,2
bf16,256,3,True,"[3, 256]",0.0625,fused_int4,cuda_graph,1.3895999640226364,0.0013895999640226365,1.297600008547306,0.001297600008547306,1.0709000885244495,6.620607214828034,False,1.554409319231061,0.18495825053754164,0.0628892244206292,1.39359999448061,0.00139359999448061,1.2959999963641167,0.0012959999963641166,1.0753086407332613,7.003444209460441,False,0.11481143725073789,0.18518659579608462,0.07404721321574663,1.5375999733805656,0.0015375999733805656,1.4312000013887882,0.0014312000013887883,1.074343188854479,6.9198734283174135,False,0.20324225762384088,0.16594226489815156,0.06059443419438544,True,False,False,False,False,6.620607214828034,7.003444209460441,0.0,2
bf16,256,16,False,"[16, 256]",1.0,fused_int4,cuda_graph,1.5696000307798386,0.0015696000307798385,1.4663999900221825,0.0014663999900221825,1.0703764603517865,6.574926015157012,False,0.10193757338259248,0.27277894743527453,0.09509014295673175,1.5623999759554863,0.0015623999759554863,1.4720000326633453,0.0014720000326633453,1.0614130035911595,5.785966761607053,False,0.20481467073895773,0.05434823871214288,0.02174165872657409,1.560799963772297,0.0015607999637722969,1.4736000448465347,0.0014736000448465347,1.059174753170453,5.586873459108032,False,0.051256157750104094,0.16286136465044437,0.05534962187343682,True,False,False,False,False,5.586873459108032,6.574926015157012,0.0,2
bf16,256,16,True,"[16, 256]",0.0625,fused_int4,cuda_graph,1.5695249661803246,0.0015695249661803246,1.4712000265717506,0.0014712000265717506,1.0668331551337005,6.26463049185273,False,0.1529136730220287,0.1631333762531739,0.06340796198845003,1.5680000185966492,0.0015680000185966491,1.4663999900221825,0.0014663999900221825,1.0692853445620454,6.479593582237209,False,0.15306238815813858,0.21822315794821964,0.0872321549503042,1.5688000246882439,0.0015688000246882438,1.4712000265717506,0.0014712000265717506,1.0663403999141603,6.22131543731258,False,0.10198955622195065,0.16653277955344375,0.06386667097377606,True,False,False,False,False,6.22131543731258,6.479593582237209,0.0,2
bf16,256,18,False,"[18, 256]",1.0,fused_int4,cuda_graph,1.559200044721365,0.001559200044721365,1.4663999900221825,0.0014663999900221825,1.0632842712292836,5.951773475979227,False,0.10261153187805624,0.16366736846116473,0.06544552479082574,1.571200042963028,0.001571200042963028,1.474399957805872,0.0014743999578058719,1.0656538849208927,6.160901381762107,False,0.1527506497681889,0.16277932334966116,0.06509053855222048,1.4448000118136406,0.0014448000118136406,1.3543999753892422,0.001354399975389242,1.0667454504334426,6.2569238431082415,False,0.06056046177303757,0.17720158877693015,0.07144181023632687,True,False,False,False,False,5.951773475979227,6.2569238431082415,0.0,2
bf16,256,18,True,"[18, 256]",0.0625,fused_int4,cuda_graph,1.4352000318467617,0.0014352000318467617,1.3472000136971474,0.0013472000136971474,1.065320677891113,6.131550738357994,False,0.21948246057858672,0.11876574873232426,0.04748937915791214,1.5599999576807022,0.0015599999576807022,1.4680000022053719,0.0014680000022053719,1.0626702693032146,5.897433203274527,False,0.10255891630347075,0.2179853107337464,0.080084188819565,1.565600000321865,0.001565600000321865,1.4696000143885612,0.0014696000143885612,1.065323887447868,6.13183354072353,False,0.15329702825055433,0.10887399071339081,0.03442897886063353,True,False,False,False,False,5.897433203274527,6.13183354072353,0.0,2
bf16,256,63,False,"[63, 256]",1.0,fused_int4,cuda_graph,1.5751499682664871,0.001575149968266487,1.482400018721819,0.0014824000187218188,1.0625674233494955,5.88832501115707,False,0.25234960661132316,0.10793390198206979,0.05285377830262218,1.4999999664723873,0.0014999999664723873,1.4072000049054623,0.0014072000049054623,1.0659465330041407,6.1866642427443885,False,0.0533337406317484,0.2274036636742171,0.08039933632535194,1.581599935889244,0.001581599935889244,1.4816000126302242,0.0014816000126302241,1.0674945480605755,6.322706582736148,False,0.10116415326545874,0.1619882731050625,0.06294253266119042,True,False,False,False,False,5.88832501115707,6.322706582736148,0.0,2
bf16,256,63,True,"[63, 256]",0.0625,fused_int4,cuda_graph,1.577574945986271,0.0015775749459862709,1.4791999943554401,0.00147919999435544,1.0665055110912824,6.235833795479595,False,0.25354384611869757,0.10816740057429461,0.03420553543945761,1.5776000916957855,0.0015776000916957855,1.482400018721819,0.0014824000187218188,1.0642202319020824,6.034487033506364,False,0.15371308182272853,0.055656952133827486,0.02671572443008252,1.4519999735057354,0.0014519999735057355,1.3679999858140945,0.0013679999858140946,1.0614035004113342,5.785123224818644,False,0.16529051780830545,0.1754399341865374,0.06797964091949626,True,False,False,False,False,5.785123224818644,6.235833795479595,0.0,2
