run_index,dtype,dim,rows,normalized,shape,scale,mode,scope,method,group,event_interval_ms,calls_per_interval,per_call_us,per_call_ms,validation_revision
1,bf16,256,256,False,"[256, 256]",1.0,fused_int4,cuda_graph,contiguous256,2,1.964959979057312,1280,1.535124983638525,0.001535124983638525,2
1,bf16,256,256,False,"[256, 256]",1.0,fused_int4,cuda_graph,contiguous256,3,1.9660799503326416,1280,1.5359999611973763,0.0015359999611973762,2
1,bf16,256,256,False,"[256, 256]",1.0,fused_int4,cuda_graph,contiguous256,4,1.9640320539474487,1280,1.5344000421464443,0.0015344000421464443,2
1,bf16,256,256,False,"[256, 256]",1.0,fused_int4,cuda_graph,contiguous256,5,1.9640320539474487,1280,1.5344000421464443,0.0015344000421464443,2
1,bf16,256,63,True,"[63, 256]",0.0625,fused_int4,cuda_graph,original,1,2.023423910140991,1280,1.5807999297976494,0.0015807999297976494,2
1,bf16,256,63,True,"[63, 256]",0.0625,fused_int4,cuda_graph,original,2,2.0192959308624268,1280,1.577574945986271,0.0015775749459862709,2
1,bf16,256,63,True,"[63, 256]",0.0625,fused_int4,cuda_graph,original,3,2.0203518867492676,1280,1.5783999115228653,0.0015783999115228653,2
1,bf16,256,63,True,"[63, 256]",0.0625,fused_int4,cuda_graph,original,4,2.0183041095733643,1280,1.5768000856041908,0.0015768000856041908,2
1,bf16,256,63,True,"[63, 256]",0.0625,fused_int4,cuda_graph,original,5,2.0183041095733643,1280,1.5768000856041908,0.0015768000856041908,2
1,bf16,256,63,True,"[63, 256]",0.0625,fused_int4,cuda_graph,contiguous256,1,1.8944000005722046,1280,1.4800000004470348,0.0014800000004470347,2
1,bf16,256,63,True,"[63, 256]",0.0625,fused_int4,cuda_graph,contiguous256,2,1.8933759927749634,1280,1.4791999943554401,0.00147919999435544,2
1,bf16,256,63,True,"[63, 256]",0.0625,fused_int4,cuda_graph,contiguous256,3,1.8923519849777222,1280,1.4783999882638454,0.0014783999882638454,2
1,bf16,256,63,True,"[63, 256]",0.0625,fused_int4,cuda_graph,contiguous256,4,1.8933759927749634,1280,1.4791999943554401,0.00147919999435544,2
1,bf16,256,63,True,"[63, 256]",0.0625,fused_int4,cuda_graph,contiguous256,5,1.8933759927749634,1280,1.4791999943554401,0.00147919999435544,2
1,bf16,256,258,True,"[258, 256]",0.0625,fused_int4,cuda_graph,original,1,2.0868799686431885,1280,1.630374975502491,0.001630374975502491,2
1,bf16,256,258,True,"[258, 256]",0.0625,fused_int4,cuda_graph,original,2,2.085887908935547,1280,1.629599928855896,0.001629599928855896,2
1,bf16,256,258,True,"[258, 256]",0.0625,fused_int4,cuda_graph,original,3,2.0848639011383057,1280,1.6287999227643013,0.0016287999227643014,2
1,bf16,256,258,True,"[258, 256]",0.0625,fused_int4,cuda_graph,original,4,2.0838398933410645,1280,1.6279999166727066,0.0016279999166727067,2
1,bf16,256,258,True,"[258, 256]",0.0625,fused_int4,cuda_graph,original,5,2.086911916732788,1280,1.6303999349474907,0.0016303999349474908,2
