run,rows,scale,warmup_replays,method,group,event_ms,per_call_ms
1,16385,1.0,5,original,0,25.051136016845703,0.019571200013160706
1,16385,1.0,5,original,1,24.72652816772461,0.01931760013103485
1,16385,1.0,5,original,2,21.01759910583496,0.016419999301433563
1,16385,1.0,5,original,3,20.588544845581055,0.0160848006606102
1,16385,1.0,5,original,4,20.84454345703125,0.016284799575805663
1,16385,1.0,5,contiguous256,0,23.07379150390625,0.018026399612426757
1,16385,1.0,5,contiguous256,1,23.06559944152832,0.018019999563694
1,16385,1.0,5,contiguous256,2,19.325952529907227,0.01509840041399002
1,16385,1.0,5,contiguous256,3,19.161088943481445,0.01496960073709488
1,16385,1.0,5,contiguous256,4,19.208192825317383,0.015006400644779205
1,16385,1.0,256,original,0,20.85683250427246,0.01629440039396286
1,16385,1.0,256,original,1,20.921344757080078,0.01634480059146881
1,16385,1.0,256,original,2,20.85683250427246,0.01629440039396286
1,16385,1.0,256,original,3,20.84454345703125,0.016284799575805663
1,16385,1.0,256,original,4,20.46668815612793,0.015989600121974944
1,16385,1.0,256,contiguous256,0,19.2491512298584,0.015038399398326874
1,16385,1.0,256,contiguous256,1,19.387392044067383,0.015146400034427642
1,16385,1.0,256,contiguous256,2,19.299327850341797,0.015077599883079528
1,16385,1.0,256,contiguous256,3,19.21945571899414,0.015015199780464172
1,16385,1.0,256,contiguous256,4,19.0883846282959,0.01491280049085617
1,16385,0.0625,5,original,0,19.516416549682617,0.015247200429439545
1,16385,0.0625,5,original,1,20.553728103637695,0.01605760008096695
1,16385,0.0625,5,original,2,20.83123207092285,0.016274400055408478
1,16385,0.0625,5,original,3,20.795391082763672,0.016246399283409117
1,16385,0.0625,5,original,4,20.717567443847656,0.01618559956550598
1,16385,0.0625,5,contiguous256,0,18.545663833618164,0.014488799870014191
1,16385,0.0625,5,contiguous256,1,18.934783935546875,0.014792799949645996
1,16385,0.0625,5,contiguous256,2,19.21945571899414,0.015015199780464172
1,16385,0.0625,5,contiguous256,3,19.22559928894043,0.01501999944448471
1,16385,0.0625,5,contiguous256,4,19.288063049316406,0.015068799257278442
1,16383,1.0,5,original,0,19.738624572753906,0.01542080044746399
1,16383,1.0,5,original,1,20.509695053100586,0.016023199260234832
1,16383,1.0,5,original,2,20.4902400970459,0.016008000075817107
1,16383,1.0,5,original,3,20.720640182495117,0.01618800014257431
1,16383,1.0,5,original,4,20.49126434326172,0.016008800268173216
1,16383,1.0,5,contiguous256,0,18.134016036987305,0.014167200028896331
1,16383,1.0,5,contiguous256,1,19.0699520111084,0.014898400008678436
1,16383,1.0,5,contiguous256,2,19.06585693359375,0.014895200729370117
1,16383,1.0,5,contiguous256,3,19.075071334838867,0.014902399480342865
1,16383,1.0,5,contiguous256,4,19.074047088623047,0.014901599287986756
1,16383,1.0,256,original,0,20.382720947265625,0.01592400074005127
1,16383,1.0,256,original,1,20.85478401184082,0.01629280000925064
1,16383,1.0,256,original,2,20.850688934326172,0.016289600729942323
1,16383,1.0,256,original,3,20.700159072875977,0.016171999275684357
1,16383,1.0,256,original,4,20.702207565307617,0.016173599660396575
1,16383,1.0,256,contiguous256,0,19.124223709106445,0.01494079977273941
1,16383,1.0,256,contiguous256,1,19.2225284576416,0.015017600357532501
1,16383,1.0,256,contiguous256,2,19.165184020996094,0.014972800016403198
1,16383,1.0,256,contiguous256,3,19.07097625732422,0.014899200201034546
1,16383,1.0,256,contiguous256,4,19.078144073486328,0.014904800057411193
1,16383,0.0625,256,original,0,20.962303161621094,0.016376799345016478
1,16383,0.0625,256,original,1,20.957183837890625,0.01637279987335205
1,16383,0.0625,256,original,2,20.84659194946289,0.016286399960517884
1,16383,0.0625,256,original,3,20.923391342163086,0.01634639948606491
1,16383,0.0625,256,original,4,21.023744583129883,0.01642480045557022
1,16383,0.0625,256,contiguous256,0,19.320831298828125,0.015094399452209473
1,16383,0.0625,256,contiguous256,1,19.311616897583008,0.015087200701236725
1,16383,0.0625,256,contiguous256,2,19.22047996520996,0.015015999972820281
1,16383,0.0625,256,contiguous256,3,19.3832950592041,0.015143199265003205
1,16383,0.0625,256,contiguous256,4,19.385343551635742,0.015144799649715424
1,16383,0.0625,5,original,0,19.536895751953125,0.015263199806213379
1,16383,0.0625,5,original,1,20.64691162109375,0.016130399703979493
1,16383,0.0625,5,original,2,20.824064254760742,0.01626880019903183
1,16383,0.0625,5,original,3,20.82918357849121,0.01627279967069626
1,16383,0.0625,5,original,4,20.893695831298828,0.016323199868202208
1,16383,0.0625,5,contiguous256,0,18.358272552490234,0.014342400431632995
1,16383,0.0625,5,contiguous256,1,18.83545684814453,0.014715200662612915
1,16383,0.0625,5,contiguous256,2,19.2040958404541,0.015003199875354766
1,16383,0.0625,5,contiguous256,3,19.206144332885742,0.015004800260066986
1,16383,0.0625,5,contiguous256,4,19.301376342773438,0.015079200267791748
1,16385,0.0625,256,original,0,20.841472625732422,0.016282400488853453
1,16385,0.0625,256,original,1,20.86195182800293,0.01629839986562729
1,16385,0.0625,256,original,2,20.841472625732422,0.016282400488853453
1,16385,0.0625,256,original,3,20.85273551940918,0.01629119962453842
1,16385,0.0625,256,original,4,20.69196891784668,0.01616560071706772
1,16385,0.0625,256,contiguous256,0,19.353599548339844,0.015119999647140503
1,16385,0.0625,256,contiguous256,1,19.346431732177734,0.015114399790763854
1,16385,0.0625,256,contiguous256,2,19.21945571899414,0.015015199780464172
1,16385,0.0625,256,contiguous256,3,19.349504470825195,0.015116800367832185
1,16385,0.0625,256,contiguous256,4,19.121152877807617,0.0149384006857872
2,16385,1.0,5,original,0,25.041919708251953,0.01956399977207184
2,16385,1.0,5,original,1,25.044992446899414,0.019566400349140166
2,16385,1.0,5,original,2,25.027584075927734,0.019552800059318542
2,16385,1.0,5,original,3,25.048063278198242,0.019568799436092375
2,16385,1.0,5,original,4,20.548608779907227,0.01605360060930252
2,16385,1.0,5,contiguous256,0,23.08095932006836,0.018031999468803406
2,16385,1.0,5,contiguous256,1,23.06662368774414,0.01802079975605011
2,16385,1.0,5,contiguous256,2,23.05945587158203,0.018015199899673463
2,16385,1.0,5,contiguous256,3,20.24550437927246,0.01581680029630661
2,16385,1.0,5,contiguous256,4,19.02182388305664,0.014860799908638
2,16383,0.0625,5,original,0,19.504127502441406,0.015237599611282349
2,16383,0.0625,5,original,1,20.46976089477539,0.015992000699043274
2,16383,0.0625,5,original,2,20.703231811523438,0.016174399852752687
2,16383,0.0625,5,original,3,20.776960372924805,0.016232000291347505
2,16383,0.0625,5,original,4,20.85683250427246,0.01629440039396286
2,16383,0.0625,5,contiguous256,0,18.544639587402344,0.01448799967765808
2,16383,0.0625,5,contiguous256,1,18.897920608520508,0.014764000475406647
2,16383,0.0625,5,contiguous256,2,19.303424835205078,0.015080800652503968
2,16383,0.0625,5,contiguous256,3,19.08940887451172,0.014913600683212281
2,16383,0.0625,5,contiguous256,4,19.368959426879883,0.01513199955224991
2,16385,0.0625,256,original,0,20.88857650756836,0.01631920039653778
2,16385,0.0625,256,original,1,20.83942413330078,0.016280800104141235
2,16385,0.0625,256,original,2,20.85171127319336,0.01629039943218231
2,16385,0.0625,256,original,3,20.85683250427246,0.01629440039396286
2,16385,0.0625,256,original,4,20.84761619567871,0.016287200152873993
2,16385,0.0625,256,contiguous256,0,19.375104904174805,0.015136800706386566
2,16385,0.0625,256,contiguous256,1,19.208192825317383,0.015006400644779205
2,16385,0.0625,256,contiguous256,2,19.21228790283203,0.015009599924087524
2,16385,0.0625,256,contiguous256,3,19.21945571899414,0.015015199780464172
2,16385,0.0625,256,contiguous256,4,19.216384887695312,0.015012800693511963
