dtype,rows,scale,run1_reduction_pct,run2_reduction_pct,run3_reduction_pct,minimum_reduction_pct,median_reduction_pct,all_three_at_least_5pct,any_over_3pct_regression
bf16,2,0.0625,5.346742028693264,5.216501937463736,5.326877000825503,5.216501937463736,5.326877000825503,True,False
bf16,2,1.0,5.480403582797544,5.315162653425276,5.373131178620982,5.315162653425276,5.373131178620982,True,False
bf16,3,0.0625,5.592762194914657,5.433684205894274,5.8313589310461715,5.433684205894274,5.592762194914657,True,False
bf16,3,1.0,5.446543744791144,5.799592266730902,5.739967933454871,5.446543744791144,5.739967933454871,True,False
bf16,16,0.0625,5.540231315413213,5.500157903963987,5.524858701230229,5.500157903963987,5.524858701230229,True,False
bf16,16,1.0,5.588973981322198,5.639478276467047,5.767304810217921,5.588973981322198,5.639478276467047,True,False
bf16,18,0.0625,5.689204840182871,5.8162679000918205,5.642319345118352,5.642319345118352,5.689204840182871,True,False
bf16,18,1.0,5.579180361559144,5.409467070294216,5.611414939707204,5.409467070294216,5.579180361559144,True,False
bf16,63,0.0625,5.260545581712062,5.27662580676338,5.179030236571713,5.179030236571713,5.260545581712062,True,False
bf16,63,1.0,5.487957389045251,5.568005061626358,5.51657927226612,5.487957389045251,5.51657927226612,True,False
bf16,65,0.0625,5.561049908507798,5.309947682394844,5.414719343659414,5.309947682394844,5.414719343659414,True,False
bf16,65,1.0,5.421396481193563,5.446033611379852,5.502542067810145,5.421396481193563,5.446033611379852,True,False
bf16,255,0.0625,5.141201693824627,5.450733343300163,5.303974333744376,5.141201693824627,5.303974333744376,True,False
bf16,255,1.0,5.19319581762746,5.232194870747997,5.53836540493875,5.19319581762746,5.232194870747997,True,False
bf16,256,0.0625,5.289728893080847,5.3819960190496285,5.478132436441207,5.289728893080847,5.3819960190496285,True,False
bf16,256,1.0,5.51108260942933,5.128201070733263,5.23408900157184,5.128201070733263,5.23408900157184,True,False
bf16,258,0.0625,5.159587616515903,12.043688907470129,5.3391012020399975,5.159587616515903,5.3391012020399975,True,False
bf16,258,1.0,5.3819960190496285,5.207684075509301,5.529810558427439,5.207684075509301,5.3819960190496285,True,False
bf16,4095,0.0625,7.007494191291153,7.049904200826873,7.417223567066178,7.007494191291153,7.049904200826873,True,False
bf16,4095,1.0,7.108328307683931,7.078082155378218,6.885248448050185,6.885248448050185,7.078082155378218,True,False
bf16,4097,0.0625,7.026146526055221,6.9383132486637855,7.384103022779065,6.9383132486637855,7.026146526055221,True,False
bf16,4097,1.0,7.155102911340605,6.910336597195332,6.901468051472803,6.901468051472803,6.910336597195332,True,False
bf16,16383,0.0625,7.888850576890283,7.699119625949846,8.731395654763741,7.699119625949846,7.888850576890283,True,False
bf16,16383,1.0,7.741843099432688,0.29193115198935526,7.9038507319021845,0.29193115198935526,7.741843099432688,False,False
bf16,16385,0.0625,7.8134525988155845,7.835271351964812,7.915255046579627,7.8134525988155845,7.835271351964812,True,False
bf16,16385,1.0,7.303755091653197,7.299600212984947,-8.432459129446347,-8.432459129446347,7.299600212984947,False,True
fp16,2,0.0625,5.228757908192483,5.3483460217296,5.106243938364507,5.106243938364507,5.228757908192483,True,False
fp16,2,1.0,5.239098814422105,5.196145394964812,5.2778745531885445,5.196145394964812,5.239098814422105,True,False
fp16,3,0.0625,5.5632841944100235,5.6924707290831655,5.51870391726278,5.51870391726278,5.5632841944100235,True,False
fp16,3,1.0,6.089305896242347,5.808148411449487,5.4358912148339105,5.4358912148339105,5.808148411449487,True,False
fp16,16,0.0625,5.704096017060256,5.218802693499624,5.580788948385862,5.218802693499624,5.580788948385862,True,False
fp16,16,1.0,5.475405831453517,5.275156758855015,5.468349177606758,5.275156758855015,5.468349177606758,True,False
fp16,18,0.0625,5.5779865143923635,5.191530785222531,5.5739325908747634,5.191530785222531,5.5739325908747634,True,False
fp16,18,1.0,5.240748642424975,5.283633009393074,5.2737872067820435,5.240748642424975,5.2737872067820435,True,False
fp16,63,0.0625,5.291856722085042,4.945054903707524,5.164663788582324,4.945054903707524,5.164663788582324,False,False
fp16,63,1.0,5.494167334917311,5.391523858640412,5.358298770108605,5.358298770108605,5.391523858640412,True,False
fp16,65,0.0625,5.170275416129055,5.602803052538885,5.011172229049754,5.011172229049754,5.170275416129055,True,False
fp16,65,1.0,5.116045186460328,5.1331426019351145,5.099424210862424,5.099424210862424,5.116045186460328,True,False
fp16,255,0.0625,5.264794084505919,5.161084290230655,5.11700012422478,5.11700012422478,5.161084290230655,True,False
fp16,255,1.0,5.246717229649766,4.967192044916457,5.237639115455883,4.967192044916457,5.237639115455883,False,False
fp16,256,0.0625,5.329453123202166,5.3204771796631745,5.228764137655828,5.228764137655828,5.3204771796631745,True,False
fp16,256,1.0,5.085982117884824,5.212121417371362,5.197002748718504,5.085982117884824,5.197002748718504,True,False
fp16,258,0.0625,5.274653324685752,5.039230627528446,5.128833329484895,5.039230627528446,5.128833329484895,True,False
fp16,258,1.0,5.382098764363685,5.153025071468898,5.055635487446796,5.055635487446796,5.153025071468898,True,False
fp16,4095,0.0625,7.613783310165811,7.88549737303299,7.665009674782675,7.613783310165811,7.665009674782675,True,False
fp16,4095,1.0,7.711968811473113,7.678117422512598,7.7544683084296295,7.678117422512598,7.711968811473113,True,False
fp16,4097,0.0625,7.781879811513647,7.656252015357568,7.7227337238006015,7.656252015357568,7.7227337238006015,True,False
fp16,4097,1.0,7.9729872842671075,8.05744101921524,7.017152519513703,7.017152519513703,7.9729872842671075,True,False
fp16,16383,0.0625,6.737755212438756,6.683269904942469,5.774526733534824,5.774526733534824,6.683269904942469,True,False
fp16,16383,1.0,2.3232883392065418,5.591329638171105,6.288246033365452,2.3232883392065418,5.591329638171105,False,False
fp16,16385,0.0625,6.727538583500725,6.1680853145484775,6.727355798428924,6.1680853145484775,6.727355798428924,True,False
fp16,16385,1.0,6.560750830331141,5.960269445896715,5.329062478280722,5.329062478280722,5.960269445896715,True,False
