dtype,dim,rows,normalized,mode,original_target,run1_baseline128_us,run1_candidate256_us,run1_time_reduction_percent,run1_dao_us,run1_dao_over_candidate,run2_baseline128_us,run2_candidate256_us,run2_time_reduction_percent,run2_dao_us,run2_dao_over_candidate,run3_baseline128_us,run3_candidate256_us,run3_time_reduction_percent,run3_dao_us,run3_dao_over_candidate,min_time_reduction_percent,max_time_reduction_percent,stable_at_least_5_percent,any_run_regression_over_3_percent,every_run_regression_over_3_percent
bf16,16,4095,False,fused_int4,False,1.8160000443458557,1.664000004529953,8.370046040976554,,,1.8144000321626663,1.6623999923467636,8.377427090029698,,,1.8175000324845314,1.6631999984383583,8.48968535286595,,,8.370046040976554,8.48968535286595,True,False,False
bf16,16,4095,False,transform,False,1.5535750426352024,1.3352000154554844,14.056290889515466,2.9848000034689903,2.2354703182434945,1.551199983805418,1.3344000093638897,13.97627492940482,2.9839999973773956,2.236211013517508,1.553600002080202,1.3352000154554844,14.057671622830181,2.9848000034689903,2.2354703182434945,13.97627492940482,14.057671622830181,True,False,False
bf16,16,4095,True,fused_int4,False,1.8119249492883682,1.6752000898122787,7.5458345849141235,,,1.8095999956130981,1.6736000776290894,7.51546851866186,,,1.8112000077962875,1.6752000898122787,7.508829361671754,,,7.508829361671754,7.5458345849141235,True,False,False
bf16,16,4095,True,transform,False,1.5544000081717968,1.336000021547079,14.050436533488453,2.9823999851942062,2.232335282255914,1.553600002080202,1.3358750380575657,14.014222691240485,2.980799973011017,2.231346411970734,1.5552000142633915,1.3376000337302685,13.991768167272522,2.983199991285801,2.230263095139375,13.991768167272522,14.050436533488453,True,False,False
bf16,16,4096,False,fused_int4,True,1.8144000321626663,1.6648000106215477,8.245150952891212,,,1.8120000138878822,1.6631249338388443,8.216063957395182,,,1.8136000260710716,1.6648000106215477,8.204676516898813,,,8.204676516898813,8.245150952891212,True,False,False
bf16,16,4096,False,transform,True,1.5544000081717968,1.336000021547079,14.050436533488453,2.9839999973773956,2.233532896146172,1.5527999959886074,1.3352000154554844,14.013393939673835,2.9815999791026115,2.233073655324578,1.5552000142633915,1.336000021547079,14.094649608149268,2.9839999973773956,2.233532896146172,14.013393939673835,14.094649608149268,True,False,False
bf16,16,4096,True,fused_int4,True,1.812800019979477,1.6750749200582504,7.597368623307144,,,1.9807999953627586,1.8295250833034515,7.6370614102108325,,,1.9840000197291374,1.8319999799132347,7.661292253245755,,,7.597368623307144,7.661292253245755,True,False,False
bf16,16,4096,True,transform,True,1.5552000142633915,1.3367249630391598,14.048035572306162,2.9848000034689903,2.2329200740613007,1.5543250367045403,1.336000021547079,14.046290833759656,2.9823999851942062,2.232335282255914,1.5560000203549862,1.336000021547079,14.138817219148637,2.9848000034689903,2.234131703091301,14.046290833759656,14.138817219148637,True,False,False
bf16,16,4097,False,fused_int4,False,1.9943999126553535,1.839200034737587,7.781783228777462,,,1.9816000014543533,1.83119997382164,7.589827791801085,,,1.9840000197291374,1.8327999860048294,7.620969365965546,,,7.589827791801085,7.781783228777462,True,False,False
bf16,16,4097,False,transform,False,1.5527999959886074,1.3352000154554844,14.013393939673835,2.980799973011017,2.232474489594849,1.6992000862956047,1.4592000283300877,14.124296479335573,3.2623250037431717,2.2356941751684207,1.7000000923871994,1.4599500223994255,14.120591584832631,3.2638750970363617,2.2356074159800268,14.013393939673835,14.124296479335573,True,False,False
bf16,16,4097,True,fused_int4,False,1.9872000440955162,1.8200000748038292,8.41384689923298,,,1.9856000319123268,1.8192000687122345,8.380336448717362,,,1.988000050187111,1.820800080895424,8.410461019653903,,,8.380336448717362,8.41384689923298,True,False,False
bf16,16,4097,True,transform,False,1.7015999183058739,1.4600000344216824,14.198395362214766,3.267199918627739,2.2378081106839858,1.7000000923871994,1.4576000161468983,14.25882723923353,3.266400098800659,2.240944060521654,1.7015999183058739,1.4592000283300877,14.24541029698223,3.2680001109838486,2.2395833659102626,14.198395362214766,14.25882723923353,True,False,False
