dtype,batch,seq,heads,dim,rows,method,group,order,repeats,kernel_us,logical_io_bytes,logical_GBs,input_working_set_bytes,seed,input_read_only,scale,block_dim,warmup,timer,vector_scale_enabled,kernel_ms
fp16,1,257,1,64,257,scalar_transform,0,0,5,66.9839978218,65792,0.982204737541,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0669839978218
fp16,1,257,1,64,257,vector_transform,0,1,5,17.5119996071,65792,3.75696673573,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0175119996071
fp16,1,257,1,64,257,scalar_split,0,2,5,99.1159975529,107940,1.08902702556,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0991159975529
fp16,1,257,1,64,257,vector_split,0,3,5,51.5720009804,107940,2.0929961597,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0515720009804
fp16,1,257,1,64,257,scalar_fused,0,4,5,91.083997488,42148,0.462737705441,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.091083997488
fp16,1,257,1,64,257,vector_fused,0,5,5,45.4239994287,42148,0.927879546717,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0454239994287
fp16,1,257,1,64,257,quant_only,0,6,5,34.1520011425,42148,1.23412973149,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0341520011425
fp16,1,257,1,64,257,vector_transform,1,0,5,17.4239993095,65792,3.77594138012,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0174239993095
fp16,1,257,1,64,257,scalar_split,1,1,5,98.9759981632,107940,1.09056743052,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0989759981632
fp16,1,257,1,64,257,vector_split,1,2,5,51.1439979076,107940,2.11051158329,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0511439979076
fp16,1,257,1,64,257,scalar_fused,1,3,5,91.2240028381,42148,0.462027522239,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0912240028381
fp16,1,257,1,64,257,vector_fused,1,4,5,45.107999444,42148,0.934379722433,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.045107999444
fp16,1,257,1,64,257,quant_only,1,5,5,34.2960000038,42148,1.22894798214,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0342960000038
fp16,1,257,1,64,257,scalar_transform,1,6,5,65.2840018272,65792,1.00778135774,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0652840018272
fp16,1,257,1,64,257,scalar_split,2,0,5,98.6199975014,107940,1.0945041851,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0986199975014
fp16,1,257,1,64,257,vector_split,2,1,5,51.4720022678,107940,2.09706238818,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0514720022678
fp16,1,257,1,64,257,scalar_fused,2,2,5,91.592001915,42148,0.46017118437,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.091592001915
fp16,1,257,1,64,257,vector_fused,2,3,5,44.7800010443,42148,0.941223738658,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0447800010443
fp16,1,257,1,64,257,quant_only,2,4,5,34.3639999628,42148,1.22651612285,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0343639999628
fp16,1,257,1,64,257,scalar_transform,2,5,5,65.0039970875,65792,1.01212237628,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0650039970875
fp16,1,257,1,64,257,vector_transform,2,6,5,17.4280002713,65792,3.77507453384,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0174280002713
fp16,1,257,1,64,257,vector_split,3,0,5,51.139998436,107940,2.11067663866,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.051139998436
fp16,1,257,1,64,257,scalar_fused,3,1,5,91.2639975548,42148,0.461825047437,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0912639975548
fp16,1,257,1,64,257,vector_fused,3,2,5,45.1279997826,42148,0.933965613435,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0451279997826
fp16,1,257,1,64,257,quant_only,3,3,5,34.3560010195,42148,1.22680168673,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0343560010195
fp16,1,257,1,64,257,scalar_transform,3,4,5,65.2719974518,65792,1.00796670193,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0652719974518
fp16,1,257,1,64,257,vector_transform,3,5,5,17.3840001225,65792,3.78462951773,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0173840001225
fp16,1,257,1,64,257,scalar_split,3,6,5,98.860001564,107940,1.09184703917,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.098860001564
fp16,1,257,1,64,257,scalar_fused,4,0,5,90.9799993038,42148,0.463266655556,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0909799993038
fp16,1,257,1,64,257,vector_fused,4,1,5,45.3200012445,42148,0.930008800586,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0453200012445
fp16,1,257,1,64,257,quant_only,4,2,5,34.2440009117,42148,1.23081412446,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0342440009117
fp16,1,257,1,64,257,scalar_transform,4,3,5,65.2079999447,65792,1.00895595718,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0652079999447
fp16,1,257,1,64,257,vector_transform,4,4,5,17.4160003662,65792,3.77767562107,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0174160003662
fp16,1,257,1,64,257,scalar_split,4,5,5,99.2399990559,107940,1.08766627395,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0992399990559
fp16,1,257,1,64,257,vector_split,4,6,5,51.1839985847,107940,2.10886220273,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0511839985847
bf16,1,257,1,64,257,scalar_transform,0,0,5,66.8760001659,65792,0.983790894144,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0668760001659
bf16,1,257,1,64,257,vector_transform,0,1,5,17.567999661,65792,3.7449909648,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.017567999661
bf16,1,257,1,64,257,scalar_split,0,2,5,99.4360029697,107940,1.08552231361,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0994360029697
bf16,1,257,1,64,257,vector_split,0,3,5,51.4039993286,107940,2.09983661602,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0514039993286
bf16,1,257,1,64,257,scalar_fused,0,4,5,91.5560007095,42148,0.460352130645,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0915560007095
bf16,1,257,1,64,257,vector_fused,0,5,5,45.0879991055,42148,0.934794198816,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0450879991055
bf16,1,257,1,64,257,quant_only,0,6,5,34.5880001783,42148,1.21857290918,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0345880001783
bf16,1,257,1,64,257,vector_transform,1,0,5,17.9279997945,65792,3.66979031427,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0179279997945
bf16,1,257,1,64,257,scalar_split,1,1,5,99.1680026054,107940,1.08845592494,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0991680026054
bf16,1,257,1,64,257,vector_split,1,2,5,51.7719984055,107940,2.08491082679,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0517719984055
bf16,1,257,1,64,257,scalar_fused,1,3,5,91.4479970932,42148,0.460895824291,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0914479970932
bf16,1,257,1,64,257,vector_fused,1,4,5,44.9680000544,42148,0.937288737526,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0449680000544
bf16,1,257,1,64,257,quant_only,1,5,5,34.5959991217,42148,1.21829116285,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0345959991217
bf16,1,257,1,64,257,scalar_transform,1,6,5,65.1960015297,65792,1.00914164146,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0651960015297
bf16,1,257,1,64,257,scalar_split,2,0,5,98.9359974861,107940,1.09100835634,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0989359974861
bf16,1,257,1,64,257,vector_split,2,1,5,51.700001955,107940,2.0878142344,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.051700001955
bf16,1,257,1,64,257,scalar_fused,2,2,5,91.7720019817,42148,0.45926861232,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0917720019817
bf16,1,257,1,64,257,vector_fused,2,3,5,45.0480014086,42148,0.935624193796,32896,2909,true,1,32,3,acl_timeline_event_ms,true,0.0450480014086
