dtype,batch,seq,heads,dim,rows,method,group,order,repeats,kernel_us,logical_io_bytes,logical_GBs,input_working_set_bytes,seed,input_read_only,scale,block_dim,warmup,timer,vector_scale_enabled,kernel_ms
fp16,1,17,1,64,17,scalar_transform,0,0,5,13.1080001593,4352,0.332010981624,2176,2909,true,1,32,3,acl_timeline_event_ms,true,0.0131080001593
fp16,1,17,1,64,17,vector_transform,0,1,5,11.6879999638,4352,0.372347708204,2176,2909,true,1,32,3,acl_timeline_event_ms,true,0.0116879999638
fp16,1,17,1,64,17,scalar_split,0,2,5,19.6600005031,7140,0.363173947981,2176,2909,true,1,32,3,acl_timeline_event_ms,true,0.0196600005031
fp16,1,17,1,64,17,vector_split,0,3,5,18.7839999795,7140,0.380110732953,2176,2909,true,1,32,3,acl_timeline_event_ms,true,0.0187839999795
fp16,1,17,1,64,17,scalar_fused,0,4,5,14.9159997702,2788,0.186913384484,2176,2909,true,1,32,3,acl_timeline_event_ms,true,0.0149159997702
fp16,1,17,1,64,17,vector_fused,0,5,5,13.1799995899,2788,0.211532631771,2176,2909,true,1,32,3,acl_timeline_event_ms,true,0.0131799995899
fp16,1,17,1,64,17,quant_only,0,6,5,9.13200005889,2788,0.305300041833,2176,2909,true,1,32,3,acl_timeline_event_ms,true,0.00913200005889
fp16,1,17,1,64,17,vector_transform,1,0,5,10.5599999428,4352,0.412121214354,2176,2909,true,1,32,3,acl_timeline_event_ms,true,0.0105599999428
fp16,1,17,1,64,17,scalar_split,1,1,5,19.5680007339,7140,0.3648814254,2176,2909,true,1,32,3,acl_timeline_event_ms,true,0.0195680007339
fp16,1,17,1,64,17,vector_split,1,2,5,18.520000577,7140,0.385529145657,2176,2909,true,1,32,3,acl_timeline_event_ms,true,0.018520000577
fp16,1,17,1,64,17,scalar_fused,1,3,5,14.8080006242,2788,0.188276599303,2176,2909,true,1,32,3,acl_timeline_event_ms,true,0.0148080006242
fp16,1,17,1,64,17,vector_fused,1,4,5,13.3200004697,2788,0.209309301929,2176,2909,true,1,32,3,acl_timeline_event_ms,true,0.0133200004697
fp16,1,17,1,64,17,quant_only,1,5,5,9.23599973321,2788,0.301862286762,2176,2909,true,1,32,3,acl_timeline_event_ms,true,0.00923599973321
fp16,1,17,1,64,17,scalar_transform,1,6,5,11.6319999099,4352,0.374140305512,2176,2909,true,1,32,3,acl_timeline_event_ms,true,0.0116319999099
fp16,1,17,1,64,17,scalar_split,2,0,5,19.6879997849,7140,0.36265746028,2176,2909,true,1,32,3,acl_timeline_event_ms,true,0.0196879997849
fp16,1,17,1,64,17,vector_split,2,1,5,18.3479994535,7140,0.38914324246,2176,2909,true,1,32,3,acl_timeline_event_ms,true,0.0183479994535
fp16,1,17,1,64,17,scalar_fused,2,2,5,14.8039996624,2788,0.188327483354,2176,2909,true,1,32,3,acl_timeline_event_ms,true,0.0148039996624
fp16,1,17,1,64,17,vector_fused,2,3,5,13.259999454,2788,0.210256418914,2176,2909,true,1,32,3,acl_timeline_event_ms,true,0.013259999454
fp16,1,17,1,64,17,quant_only,2,4,5,9.26799997687,2788,0.300820026646,2176,2909,true,1,32,3,acl_timeline_event_ms,true,0.00926799997687
fp16,1,17,1,64,17,scalar_transform,2,5,5,11.4440001547,4352,0.380286607931,2176,2909,true,1,32,3,acl_timeline_event_ms,true,0.0114440001547
fp16,1,17,1,64,17,vector_transform,2,6,5,10.7680000365,4352,0.404160474114,2176,2909,true,1,32,3,acl_timeline_event_ms,true,0.0107680000365
